concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
 Alexander the Great was known for his bravery.,Alexander the Great,0.966947235661986,0.0,1.0,0.966947235661986,-2.01017126981169,0.4591975029599249,0.0017472204620804285,-6.349729061126709,0.4061285619887834,-1.1100823283195496,7.464595697744146,0.1756023653808872,4.647337916775177,1.1778190760999698,-20.1017126981169,-6.35671969963781,-2.7777726785945043,0.30731013861033,0.0017472204620804285,-6.349729061126709,0.04388155378722714,-3.1262612342834473,16.083158660880226,0.1671267100806089,4.663692610100557,0.7045553419070701,-19.44440875016153,-7.349295706230809
 Alexander the Great was known for his excessive drinking.,Alexander the Great,0.989286140650054,0.0016853672270853,1.0,0.989286140650054,-2.0909107755869627,0.48991161413326284,0.001747216296387195,-6.3497314453125,0.643508138642553,-0.4408206045627594,8.09228206194539,0.17355597414478507,5.875777803349942,1.234535612887066,-23.00001853145659,-6.934766512732957,-2.792839328525588,0.36852794455187377,0.001747216296387195,-6.3497314453125,0.10599620967184356,-2.460123062133789,16.327312654946304,0.17863454394828804,6.262707649314972,0.7612720879835767,-22.342714628204703,-7.899342511859708
 Alexander the Great was known for his intense ambition.,Alexander the Great,0.9956822533869228,0.0,1.0,0.9956822533869228,-2.548139913007617,0.4193360650907549,0.0002909428867732267,-8.142383575439453,0.1687485952056247,-1.7793452739715576,12.783303597576383,0.17574864957697892,7.356252869817859,1.212353396080002,-28.029539043083787,-8.451224004775115,-3.4215293924789876,0.27148656461842524,0.0002909428867732267,-8.142383575439453,0.04845560120336899,-3.167591691017151,30.616203424266445,0.1555227143216849,7.307974071165572,0.7390898711765128,-27.3722351398319,-9.67754654180392
 Alexander the Great was known for his strategic genius.,Alexander the Great,0.9958043514305112,0.0,1.0,0.9958043514305112,-2.119425280019641,0.42903502494114326,0.001747216296387195,-6.3497314453125,0.1687485952056247,-1.7793452739715576,8.326350792150937,0.16927428611893755,4.708465889630829,1.3920436736532449,-23.31367808021605,-7.029338425019076,-2.8320467721205205,0.2848226344127094,0.001747216296387195,-6.3497314453125,0.097501528719089,-2.519306480884552,16.98017984016204,0.15051542232951481,4.602192876848096,0.9187801487497557,-22.656374176964164,-8.010237908815572
Alexander achieved significant cultural accomplishments.,Alexander the Great,0.9831721952320078,0.0,1.0,0.9831721952320078,-4.81740140914917,0.045562958123821024,0.00020588347847422825,-8.488200187683105,0.012489614399906184,-4.572664737701416,123.64337441473971,0.006482469146467412,4.586236767450221,0.5390221913964591,-28.90440845489502,-11.800175338580122,-4.81740140914917,0.045562958123821024,0.00020588347847422825,-8.488200187683105,0.012489614399906184,-4.572664737701416,123.64337441473971,0.006482469146467412,4.586236767450221,0.5390221913964591,-28.90440845489502,-11.800175338580122
Alexander achieved significant intellectual accomplishments.,Alexander the Great,0.9896947764558576,0.0019105597825385,1.0,0.9896947764558576,-5.113677938779195,0.04709112733615234,0.00020588347847422825,-8.488200187683105,0.014246870544228973,-4.489845156669617,166.28080220229546,0.006431534750445958,6.356531651918741,0.5571150776084103,-30.68206763267517,-12.525901658936265,-5.113677938779195,0.04709112733615234,0.00020588347847422825,-8.488200187683105,0.014246870544228973,-4.489845156669617,166.28080220229546,0.006431534750445958,6.356531651918741,0.5571150776084103,-30.68206763267517,-12.525901658936265
Alexander died at the age of 32.,Alexander the Great,0.9981271356033709,0.0,1.0,0.9981271356033709,-1.4905413790968143,0.5597772767706629,0.0014631404191431264,-6.527170181274414,0.749990512588331,-0.2876947224140167,4.439498320122685,0.16776276364725182,4.272442814445111,1.1628422211133145,-13.414872411871329,-4.471624137290443,-1.9151014721331496,0.5159374875129233,0.0014631404191431264,-6.527170181274414,0.5453900003715298,-0.8183378055691719,6.787627517098957,0.1896514800204843,5.614969296908043,0.6253593966862286,-11.490608832798898,-4.691021412379115
Alexander died in 323 BCE.,Alexander the Great,0.991267318312824,0.0,1.0,0.991267318312824,-2.0696248475994383,0.35627397872829797,0.0014631383261054648,-6.527171611785889,0.22399988869046228,-1.4961097240447998,7.921850659030193,0.12417031763582233,4.246091853311417,1.3332170627965387,-14.487373933196068,-5.475712653948067,-2.1546987667679787,0.38060161298437517,0.0014631383261054648,-6.527171611785889,0.22436425325906906,-1.4944857358932495,8.625291563138989,0.14072253405564386,4.903110826804454,1.0053084850651042,-12.928192600607872,-5.277912527985728
Alexander established one of the largest empires in history.,Alexander the Great,0.9985914725073166,0.0,1.0,0.9985914725073166,-2.173162090107574,0.5866230318781984,2.697633041218023e-05,-10.520550727844238,0.8174424164377974,-0.20157481729984283,8.786022356479766,0.1623583202068214,12.07886702210118,1.2123186837260882,-23.90478299118331,-7.207563261511334,-2.9441239185721315,0.4720849919262895,2.697633041218023e-05,-10.520550727844238,0.48298366156245676,-0.896148070693016,18.994014791609295,0.17328167857161586,14.426789146784138,0.9148616623111783,-23.552991348577052,-8.32723994990346
Alexander possibly died due to a fever.,Alexander the Great,0.9943973686079178,0.0,1.0,0.9943973686079178,-3.677877423768223,0.2952999571042568,9.272352972923536e-08,-16.19364356994629,0.14682852829731483,-2.0837740898132324,39.562330825724395,0.12894151804630366,24.0951717266259,1.2345978102778892,-29.423019390145782,-10.402608266877678,-4.657687306404114,0.1891205632094298,9.272352972923536e-08,-16.19364356994629,0.050860123374401295,-3.0461314916610718,105.3920605483302,0.07734184106308427,28.10544461622057,0.896393862452103,-27.946123838424683,-11.408957282128288
