concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Cleopatra VII was known as Cleopatra Philopator.,Cleopatra,0.9976317964292232,0.0,1.0,0.9976317964292232,-1.7473745899114874,0.4964573144686635,0.0034400924031949133,-5.672256946563721,0.30555158464787663,-1.2004948258399963,5.739514299339659,0.18533846289026293,4.07510032657789,1.7059353488545104,-24.463244258760824,-6.538077041803404,-1.8314677625397355,0.5299878381161707,0.0034400924031949133,-5.672256946563721,0.5784849823667655,-0.7372810766100883,6.243043242040339,0.20770582570279386,4.69706844030751,0.9989103609632584,-21.977613150476827,-6.344390434286628
Cleopatra VII was an Egyptian queen.,Cleopatra,0.9831484578090854,0.008505902029738,1.0,0.9831484578090854,-1.5105809850206748,0.473445258689166,0.007595694668703813,-4.880173683166504,0.35783624945220344,-1.0276798009872437,4.529361521230844,0.15707350189528096,2.5256672462750944,1.4351881953186836,-13.595228865186073,-4.5317429550620245,-1.4903374845697337,0.5407069370418093,0.007595694668703813,-4.880173683166504,0.7541664628555415,-0.28214216232299805,4.43859322298754,0.17749199227855944,3.1578301147558996,0.8150199617945311,-10.432362391988136,-3.9430623537290765
Cleopatra VII was from the Ptolemaic Kingdom.,Cleopatra,0.9953366881608596,0.0,1.0,0.9953366881608596,-1.6614784928686797,0.548959139001217,0.00026568982533092974,-8.23318099975586,0.6204684391726258,-0.5759990252554417,5.267092449130588,0.19540306634963425,5.326976945573454,1.473527656020967,-23.260698900161515,-6.216683275808131,-1.1831533098866203,0.6213202427903367,0.007595647584026764,-4.8801798820495605,0.940760418068534,-0.0629484984674491,3.2646524499707796,0.19536637014650873,2.568458593094886,0.8552908007349259,-11.831533098866203,-3.7414592804087348
Cleopatra VII was the last active ruler of the Ptolemaic Kingdom.,Cleopatra,0.9967052192419132,0.0,1.0,0.9967052192419132,-0.9931686676296623,0.6497204117931178,0.007595676559178099,-4.880176067352295,0.9317830376241163,-0.07125237584114075,2.6997756247958455,0.15899261322513014,2.2173194279324115,2.070558607809009,-17.87703601733392,-4.213657798457656,-1.1224998665625558,0.6684412710581196,0.007595676559178099,-4.880176067352295,0.9639730283311172,-0.03669196367263794,3.072525514467023,0.1782217948851306,2.8981257323047176,0.9714497197484575,-14.592498265313225,-4.047230825592781
Cleopatra VII was born in 69 BC.,Cleopatra,0.9941124265901476,2.7374325757334182e-05,1.0,0.9941124265901476,-1.4769962964581447,0.45535972297834065,0.007595658449695562,-4.880178451538086,0.35783514036139036,-1.027682900428772,4.3797703716852014,0.14458779751378506,2.2393104026251636,1.9782152772751527,-16.246959261039592,-4.898642532096196,-1.6569906960968284,0.4350000349878824,0.007595658449695562,-4.880178451538086,0.2526092139118127,-1.3759115934371948,5.243507769847682,0.16648854470484087,2.5298401034978264,1.3849559699004332,-14.912916264871455,-4.970972088290485
Cleopatra VII died in 30 BC.,Cleopatra,0.995069968694421,0.0,1.0,0.995069968694421,-1.7780534594694473,0.4311892290059303,0.006076549780331521,-5.103318214416504,0.25654764102740113,-1.363886535167694,5.918324939618683,0.15331799666331342,3.2867765275074063,1.6107485484453443,-17.780534594694473,-5.622698733465335,-1.8333010507336036,0.44823159046094474,0.006076549780331521,-5.103318214416504,0.23528730614400128,-1.4469479322433472,6.254499037188252,0.16744890878627017,3.6214509560477612,1.2549251093363223,-16.49970945660243,-5.499903152200811
She was an Egyptian queen.,Cleopatra,0.9873364955918152,0.0,1.0,0.9873364955918152,-1.8292539541920025,0.37778201592859045,0.01408621052509992,-4.262558937072754,0.26820261669179846,-1.5950952470302582,6.2292376279261195,0.12538614088798364,2.4163600058645565,1.0724415927719586,-10.975523725152016,-4.48073879773888,-2.104983989149332,0.3342813196161087,0.01408621052509992,-4.262558937072754,0.2428712106818608,-1.9899000823497772,8.206971607947034,0.11321376137661389,2.7919068150422452,0.7027231731777812,-8.419935956597328,-4.209967978298664
She belonged to the Ptolemaic Kingdom.,Cleopatra,0.9987330710330016,0.0,1.0,0.9987330710330016,-1.9811166494460353,0.5946310531210807,5.949609054497995e-05,-9.729599952697754,0.8856151696627973,-0.12147276848554611,7.250835107294174,0.2015671273727109,8.74794900643704,0.7139101768647023,-21.79228314390639,-6.570620592138549,-2.655681349853694,0.49550149391232223,5.949609054497995e-05,-9.729599952697754,0.47013090604152163,-1.5141701363027096,14.23468155413774,0.22667098243619452,10.335640626169504,0.39417310343162804,-21.245450798829552,-7.511401164608764
She started her rule in 51 BC.,Cleopatra,0.9932606668545158,0.0,1.0,0.9932606668545158,-2.706519709693061,0.26967056502668874,0.00020047881471593952,-8.514801979064941,0.09156426820085264,-2.390714168548584,14.977060187933269,0.07550335652177645,6.153994320515749,1.7545051149870954,-24.35867738723755,-8.119559129079184,-2.7459954023361206,0.29193385212991824,0.00020047881471593952,-8.514801979064941,0.205519049846335,-2.0227025747299194,15.580114698723218,0.08048039051323108,6.909218637793374,1.5356011216665344,-21.967963218688965,-7.766847880395811
She ruled until her death.,Cleopatra,0.9930533689649168,0.0,1.0,0.9930533689649168,-3.8152698452274003,0.2572346671522651,3.102624113862573e-05,-10.380677223205566,0.03236959838664381,-3.6226580142974854,45.3890027363278,0.11773455499386908,11.52480008057359,0.6951841772671656,-22.891619071364403,-9.345464351834481,-3.8152698452274003,0.2572346671522651,3.102624113862573e-05,-10.380677223205566,0.03236959838664381,-3.6226580142974854,45.3890027363278,0.11773455499386908,11.52480008057359,0.6951841772671656,-22.891619071364403,-9.345464351834481
