concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Julius Caesar was a Roman general.,Julius Caesar,0.9727982107989296,0.0,1.0,0.9727982107989296,-1.3303577499963077,0.4451151592389398,0.015674109105557704,-4.155745029449463,0.37813553507651654,-0.972502589225769,3.782396297814111,0.11057572716616242,1.704955131241611,1.567966905620375,-9.312504249974154,-3.5197957612376696,-1.669986260565929,0.36373876003621103,0.015674109105557704,-4.155745029449463,0.28724155703864923,-1.247431755065918,5.312094811503336,0.11614216382389812,1.9439714426463475,1.0669556940323683,-8.349931302829646,-3.7342028001160936
Julius Caesar was a statesman.,Julius Caesar,0.9893066784435156,0.0,1.0,0.9893066784435156,-2.1597993703991443,0.49401918284789675,0.00019385429458460156,-8.5484037399292,0.4517920853631979,-0.7945331931114197,8.669398146080745,0.17440751440348737,8.307256828041467,0.8780102541804198,-15.118595592794009,-5.714292015870012,-2.8312045291299,0.43220439308875064,0.00019385429458460156,-8.5484037399292,0.13906262724396812,-1.972830891609192,16.965884423664427,0.21531034135597366,10.013163051241284,0.3769990425924129,-14.1560226456495,-6.330765785339739
Julius Caesar lived in ancient Rome.,Julius Caesar,0.9889406898259532,0.0,1.0,0.9889406898259532,-1.900886897978905,0.39633509902304614,0.0012438851766323209,-6.689515590667725,0.44421806800154834,-0.8114396929740906,6.691826778847097,0.11008459439126798,4.531838992413169,1.4615561114512259,-13.306208285852335,-5.029274002513191,-2.1512553101056255,0.3505229735013311,0.0012438851766323209,-6.689515590667725,0.29164034762275826,-1.3921352922916412,8.595641823535228,0.11374077087609101,4.84835509861271,1.1939613643760913,-12.907531860633753,-5.269477816211575
Julius Caesar played a critical role in the events that led to the demise of the Roman Republic.,Julius Caesar,0.9951809301575444,0.0,1.0,0.9951809301575444,-1.6676708320829723,0.5827753728569659,0.00044794195398573637,-7.710846900939941,0.9083949851414629,-0.09607598930597305,5.29980926451411,0.1940705347907543,5.316112115572683,1.6133331335570809,-31.685745809576474,-7.269208628140063,-2.4023689043630534,0.4374082598613438,0.00044794195398573637,-7.710846900939941,0.21241342166285548,-1.612710416316986,11.049320185124715,0.1933738285076224,6.485802624944302,1.1792008393149362,-28.828426852356642,-8.322050001760772
Julius Caesar was assassinated in 44 BCE.,Julius Caesar,0.9970503119036476,0.0,1.0,0.9970503119036476,-1.1219483509281418,0.5121173675818511,0.05379471753384053,-2.9225800037384033,0.512712114395145,-0.7210462540388107,3.0708314358070323,0.1415964475876196,1.1745856557932366,1.832017153816038,-11.219483509281417,-3.5479122060028154,-1.0487715955350723,0.5257492488928528,0.05379471753384053,-2.9225800037384033,0.512712114395145,-0.7210462540388107,2.8541429218536223,0.13848268824013638,1.052945192024515,1.5040551086656102,-8.390172764280578,-2.9663740284747386
Julius Caesar was a member of the Julian clan.,Julius Caesar,0.9944458218001344,0.0,1.0,0.9944458218001344,-2.022769888842595,0.4899289264971089,0.00046494159318168863,-7.673598766326904,0.46619628448491635,-0.7636261284351349,7.55923420059163,0.16309741805121777,6.606239805289293,1.3715818963121527,-20.227698888425948,-6.396560031148213,-3.1985298698418774,0.2789139182717652,0.00046494159318168863,-7.673598766326904,0.0954818259805223,-2.4656261205673218,24.496490682491153,0.13057040684739063,7.488314420617687,0.8018400251801863,-19.191179219051264,-7.834766108163293
Julius Caesar authored works on the Gallic Wars.,Julius Caesar,0.9982353422426528,0.0,1.0,0.9982353422426528,-3.31069023105083,0.3423176226912681,2.270028884007955e-06,-12.995718002319336,0.10105696688461097,-2.368320345878601,27.40403406073167,0.17698144571293214,14.529059870984332,1.088444148529686,-33.1069023105083,-10.46932175738973,-3.5829454597405856,0.39456694393441705,2.270028884007955e-06,-12.995718002319336,0.10105696688461097,-2.368320345878601,35.97936068491073,0.20607242664783026,17.68006417813621,0.5992717844825338,-28.663563677924685,-10.13410012481648
Julius Caesar was an iconic figure.,Julius Caesar,0.983898092328389,0.0,1.0,0.983898092328389,-3.30850519710553,0.3188069567758152,4.801961128732999e-05,-9.943901062011719,0.13906262724396812,-1.972830891609192,27.344220686994422,0.152049727866414,11.186372592367189,0.8829096849160819,-23.15953637973871,-8.753481962905967,-3.948284352454357,0.2695114326264697,4.801961128732999e-05,-9.943901062011719,0.13906262724396812,-1.972830891609192,51.84634044098327,0.1393123318850961,13.278416801090174,0.6148526371785192,-19.741421762271784,-8.828632206586681
Julius Caesar was part of Roman history.,Julius Caesar,0.9993182984041864,0.0,1.0,0.9993182984041864,-3.2403781647299184,0.38108760982753315,0.0001904425084182309,-8.566160202026367,0.10705678477456221,-2.2812095284461975,25.543379526340516,0.1932643964916641,10.112451053058207,0.6568310626974025,-25.923025317839347,-9.16517349555738,-4.290064047304138,0.2029793079537047,0.0001904425084182309,-8.566160202026367,0.03962380396924665,-4.031526565551758,72.97114195489215,0.12915795033614969,9.073944315331866,0.500394027781797,-25.740384283824824,-10.508467879754372
Julius Caesar's full name was Gaius Julius Caesar.,Julius Caesar,0.9981906786988264,0.0,1.0,0.9981906786988264,-1.6823831022387215,0.5772367486620074,0.00015932368992348312,-8.744572639465332,0.7382039287974929,-0.31052102893590927,5.378357887648013,0.1760571663928849,6.50641766992818,1.3220139481244704,-20.18859722686466,-5.827946021745622,-1.817855992978862,0.5546985212186825,0.00015932368992348312,-8.744572639465332,0.6512506070564041,-0.42886075377464294,6.158640117196043,0.18596670298224807,6.877675335870314,1.1634341516307258,-19.996415922767483,-6.029146251609825
