concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Leonardo da Vinci was an Italian polymath.,Leonardo da Vinci,0.9990870461961422,0.0,1.0,0.9990870461961422,-1.210956900410464,0.5065531336135178,0.04875166723201171,-3.0210158824920654,0.3202957963957676,-1.1385103464126587,3.3566951392025555,0.16677344658387228,1.3612821138394313,1.4366263421508754,-10.898612103694177,-3.632870701231392,-1.2929226552919968,0.5071788042852232,0.04875166723201171,-3.0210158824920654,0.3202957963957676,-1.1385103464126587,3.643419469206277,0.18674851139473078,1.5717829493539721,0.9527706215069657,-9.050458587043977,-3.4207518103439116
He lived during the Renaissance.,Leonardo da Vinci,0.9974608585867883,0.0,1.0,0.9974608585867883,-2.8522770369114974,0.2778786295060468,0.003358320319642635,-5.696314334869385,0.0338194246170872,-3.436034083366394,17.327191609658005,0.14390481691311638,3.9623879621310305,0.6413905652551956,-17.113662221468985,-6.98662334549071,-3.420204961299896,0.13596593503840207,0.003358320319642635,-5.696314334869385,0.02345496895759562,-3.7526729106903076,30.575681210231195,0.051850503189337205,2.819612790756548,0.6289118496558304,-17.10102480649948,-7.647810790448605
"He was born on April 15, 1452.",Leonardo da Vinci,0.9979524745459654,0.0,1.0,0.9979524745459654,-1.0929718727711588,0.6251250897070217,0.018204779842012773,-4.006071090698242,0.8080768005989936,-0.21445456892251968,2.9831263841498417,0.17106461077818821,2.083483780209708,1.2217772266492353,-13.115662473253906,-3.7861656297667077,-1.0126358765177428,0.6679099080413479,0.018204779842012773,-4.006071090698242,0.9075783511576532,-0.09898229874670506,2.752847626650515,0.17054152942789896,2.1663567313027863,0.8297973116734382,-10.126358765177429,-3.2022358101970836
"He died on May 2, 1519.",Leonardo da Vinci,0.9982431849094272,0.0,1.0,0.9982431849094272,-1.5087494531921535,0.5728344937886155,0.0024968832600147668,-5.992712020874023,0.8859342044139883,-0.12111259251832962,4.521073443697598,0.19199001616613298,3.849731376008357,1.0355273343552278,-16.596243985113688,-5.00395583889225,-1.4160859234747476,0.6213615381409128,0.0024968832600147668,-5.992712020874023,0.9178550607867798,-0.0863208957016468,4.120959083280685,0.18528540341347813,4.14025268647262,0.822275181657983,-14.160859234747477,-4.478056880683104
He is widely considered one of the greatest painters of all time.,Leonardo da Vinci,0.984770934167132,0.0,1.0,0.984770934167132,-1.1262195087664832,0.605788434727281,0.01820481456490783,-4.006069183349609,0.6606530702916636,-0.41452643275260925,3.0839754917510773,0.16782183508855297,2.116846778170533,1.5132354787124958,-14.640853613964282,-4.060642186285421,-1.3415482733722053,0.5363645237517445,0.01820481456490783,-4.006069183349609,0.6237346060982922,-0.47203031182289124,3.824961008507164,0.15762250228518251,2.375778372939932,1.28151002378459,-12.073934460349847,-4.024644820116616
His most famous paintings include the Mona Lisa and The Last Supper.,Leonardo da Vinci,0.9985226518547626,0.0,1.0,0.9985226518547626,-1.2816352879166775,0.6221348778231752,0.0008268643747643549,-7.097869873046875,0.820016804376467,-0.19866453111171722,3.6025260786824496,0.16678175107822518,3.9841950277930214,1.5335789859547873,-17.942894030833486,-4.795440142183584,-1.4484477593024774,0.5992779958187228,0.0008268643747643549,-7.097869873046875,0.8781676692038332,-0.13366600312292576,4.256502268546984,0.18989509341259736,4.45164927020498,1.1235119300067378,-17.381373111629728,-5.017570222442374
He was also an accomplished scientist and engineer.,Leonardo da Vinci,0.98730314491561,0.0,1.0,0.98730314491561,-2.626580602592892,0.22747067899764717,0.0011339899462539614,-6.782012939453125,0.13097567076264682,-2.0327436923980713,13.826410984923564,0.05746185923176875,4.081765020729077,1.8682245568590088,-23.63922542333603,-7.879741807778676,-3.153519340923854,0.1449520537346323,0.0011339899462539614,-6.782012939453125,0.06523994141639072,-2.7296833992004395,23.418336835162698,0.026844049544043316,3.926393486823374,1.3011079734932158,-22.07463538646698,-8.34342793071683
He left numerous notebooks filled with sketches and scientific observations.,Leonardo da Vinci,0.9991738004909204,0.0,1.0,0.9991738004909204,-3.4105107314588334,0.23885311363469056,0.0001661764655096305,-8.702460289001465,0.0582979355694353,-2.842188596725464,30.280705619718102,0.09530748486501395,8.433206015341678,1.7006740110632155,-37.515618046047166,-11.311384439729494,-3.751505410671234,0.16279480303325214,0.0001661764655096305,-8.702460289001465,0.05249537213709363,-2.9531768560409546,42.585141896786126,0.04120470062452162,7.997475533113,1.7001103896663066,-37.51505410671234,-11.863301752166445
He conceptualized flying machines and armored vehicles.,Leonardo da Vinci,0.994755616051158,0.0,1.0,0.994755616051158,-3.1525523745351367,0.35154756039475366,1.3226000138341981e-05,-11.233325958251953,0.06956156582155901,-2.6655430793762207,23.39570303538884,0.1851412685470688,11.423977450929037,0.8527987175340348,-28.37297137081623,-9.45765712360541,-3.1525523745351367,0.35154756039475366,1.3226000138341981e-05,-11.233325958251953,0.06956156582155901,-2.6655430793762207,23.39570303538884,0.1851412685470688,11.423977450929037,0.8527987175340348,-28.37297137081623,-9.45765712360541
He worked for many influential patrons throughout his life.,Leonardo da Vinci,0.9989534471188538,0.0,1.0,0.9989534471188538,-3.468368551740423,0.17625010021301218,0.0004283687937235777,-7.755526065826416,0.06498462166204902,-2.742339849472046,32.08435575692799,0.08607431892059433,6.021492521583597,1.3502549686833547,-34.68368551740423,-10.967944388399294,-3.5637459993465908,0.18766270714611077,0.0004283687937235777,-7.755526065826416,0.05643260550897337,-2.8747081756591797,35.295165480965615,0.09433565616389959,6.599578671085323,1.1583264380677627,-32.073713994119316,-10.691237998039773
