concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Decades have passed since Marilyn Monroe's death.,Marilyn Monroe,0.9985402351946576,0.0,1.0,0.9985402351946576,-2.42396988729015,0.5038870469650041,2.4478242868912e-06,-12.920310974121094,0.5707929684268067,-0.5607292950153351,11.290592843626374,0.127939162618917,14.990878710235886,1.6559608091034153,-24.2396988729015,-7.665265823498505,-2.0892200984267726,0.5593907467490955,2.4478242868912e-06,-12.920310974121094,0.5714091900707365,-0.5596497058868408,8.078612184420454,0.1113480182349046,15.535957688821346,1.6322907041031567,-18.802980885840952,-6.267660295280318
Her first husband was James Dougherty.,Marilyn Monroe,0.9910041717740606,0.0,1.0,0.9910041717740606,-2.0139250229112804,0.45838868999111815,0.0009343104298695363,-6.975701808929443,0.31005041376383025,-1.3675447702407837,7.4926686033962335,0.1857644695482411,5.179695362365061,0.9485108331452647,-16.111400183290243,-5.696240162007357,-2.295480859066759,0.387032980137898,0.0009343104298695363,-6.975701808929443,0.13329334218884636,-2.0152029991149902,9.929209414899312,0.17156915228302003,5.285462331717242,0.907289320265661,-16.068366013467312,-6.07327149239955
Her image has been used in countless advertisements.,Marilyn Monroe,0.995775860879786,0.0,1.0,0.995775860879786,-2.926890818609132,0.2729282952757963,0.0005812271688537357,-7.450368881225586,0.32789174410738925,-1.1150717735290527,18.66949332278157,0.06784443959879659,7.292352742051171,1.8533363499910862,-26.342017367482185,-8.780672455827395,-4.039361039797465,0.14475015124407511,0.0005812271688537357,-7.450368881225586,0.03793322556895096,-3.962743043899536,56.79004463173991,0.03356847906042132,7.161100790765098,0.9472978457936534,-24.23616623878479,-9.894373434381885
Her image has been used in countless parodies.,Marilyn Monroe,0.9781079516778955,0.0021396023178452,1.0,0.9781079516778955,-2.8346149348653853,0.3201517813635457,0.0005812271688537357,-7.450368881225586,0.204169861322768,-1.835858404636383,17.023843749442577,0.1151451772947818,7.3835903973997095,1.6763332644618367,-28.346149348653853,-8.963839483704453,-3.7486135865162526,0.23052365910410852,0.0005812271688537357,-7.450368881225586,0.07075862143237689,-2.6484808921813965,42.46217104554148,0.12150784789373982,7.707919672474463,0.7702941859976626,-26.240295105613768,-9.917899311199912
Her image has been used in countless tributes.,Marilyn Monroe,0.9955717666664796,0.0,1.0,0.9955717666664796,-3.5115575903560967,0.31220785125623574,0.00044980881220491617,-7.706687927246094,0.20120701163837917,-1.8760698437690735,33.50040707856335,0.11941314306232798,10.532535470640868,1.4708336827773856,-35.115575903560966,-11.104520120377789,-4.715674522931555,0.2191751875222372,0.00044980881220491617,-7.706687927246094,0.0009343090933287015,-6.975703239440918,111.68411927187253,0.12553202110840844,10.15806579392979,0.5647946043132113,-33.00972166052088,-12.476502051600047
Her influence goes beyond her film career.,Marilyn Monroe,0.9951683023868384,0.0,1.0,0.9951683023868384,-3.7498550340533257,0.25201354334646076,0.00010588961597457656,-9.15311336517334,0.08428358986001928,-2.5862417221069336,42.51491833792838,0.10189465960379301,10.482975995997682,1.1589899371233239,-29.998840272426605,-10.606191692182474,-3.7498550340533257,0.25201354334646076,0.00010588961597457656,-9.15311336517334,0.08428358986001928,-2.5862417221069336,42.51491833792838,0.10189465960379301,10.482975995997682,1.1589899371233239,-29.998840272426605,-10.606191692182474
Her mother was institutionalized for mental illness.,Marilyn Monroe,0.994863919000822,0.0,1.0,0.994863919000822,-2.376012294074624,0.3617546370803176,0.0009343104298695363,-6.975701808929443,0.39809115343003665,-0.9210742712020874,10.761901883372861,0.12284930515058629,5.337327591850904,1.5094001100138792,-21.384110646671616,-7.1280368822238716,-2.820108526835351,0.33886503523324757,0.0009343104298695363,-6.975701808929443,0.052140460960472514,-2.9538140296936035,16.77867150945355,0.15504385173240004,5.971958853220429,0.7919582880411862,-19.740759687847458,-7.461305832219061
Her mother was institutionalized.,Marilyn Monroe,0.9901504903018534,0.0,1.0,0.9901504903018534,-3.4885669031452076,0.25361306209123796,0.0009343064202527677,-6.975706100463867,0.013716047915684145,-4.290862321853638,32.7389959189577,0.14110250398154642,5.768641808830666,0.5212660136734684,-20.931401418871246,-8.545208846267064,-4.041824314440601,0.20720691461218976,0.0009343064202527677,-6.975706100463867,0.012923176544064613,-4.348732948303223,56.93010654332004,0.15640182163477268,5.085807591677123,0.17049528464499109,-20.209121572203003,-9.037793920200667
Her performance showcased her comedic timing.,Marilyn Monroe,0.9755490219786704,0.0,1.0,0.9755490219786704,-4.765954415713038,0.18451584761079212,1.1238561738766258e-06,-13.698744773864746,0.027656798315834296,-3.587883710861206,117.44315340578763,0.08890297309043559,17.640414540676137,0.7757109451686112,-33.361680909991264,-12.609530143846843,-4.765954415713038,0.18451584761079212,1.1238561738766258e-06,-13.698744773864746,0.027656798315834296,-3.587883710861206,117.44315340578763,0.08890297309043559,17.640414540676137,0.7757109451686112,-33.361680909991264,-12.609530143846843
Her performance was as Lorelei Lee.,Marilyn Monroe,0.9948580150978992,0.0016948602329265,1.0,0.9948580150978992,-5.35478734865319,0.24300304095053038,4.956832578809314e-06,-12.214743614196777,0.0063945245046967214,-5.259300708770752,211.61897050869774,0.17121923684543816,14.790105868514825,0.20123487165270815,-42.83829878922552,-15.145625784178415,-5.409700948589792,0.3216220369880383,4.956832578809314e-06,-12.214743614196777,0.005525934100595316,-5.784592390060425,223.5647203377679,0.20356185574163088,19.527968912686404,0.13363642688476066,-32.45820569153875,-13.251006985095126
