concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Napoleon Bonaparte was a French military leader.,Napoleon,0.998012318660158,0.0,1.0,0.998012318660158,-1.4022415481857025,0.4187436247782597,0.032784576966186675,-3.417797088623047,0.3217854060586601,-1.2427325546741486,4.064300088343108,0.12841154362299398,1.3351851900668064,2.0444556835041503,-14.022415481857024,-4.434277121987568,-1.6173114469711436,0.37431048299961434,0.032784576966186675,-3.417797088623047,0.1666973679371323,-1.7945106625556946,5.039523061602761,0.14626334612865027,1.424976596176224,1.4576536269762022,-12.938491575769149,-4.574447565775691
Napoleon Bonaparte was a French political leader.,Napoleon,0.9994375928702116,0.0,1.0,0.9994375928702116,-1.9646346979192457,0.429479839559716,0.0002465435382430155,-8.307971954345703,0.30903162074802515,-1.31939098238945,7.132306667746675,0.14806836482340927,5.6730054117625865,1.6581784343051742,-19.646346979192458,-6.212720415621683,-2.320302884138073,0.38773075147643477,0.0002465435382430155,-8.307971954345703,0.12968665918581335,-2.0604398250579834,10.178756823214048,0.1719909612918475,6.4460278866728995,1.0713763777772265,-18.562423073104583,-6.562807615122941
Napoleon Bonaparte rose to power during the French Revolution.,Napoleon,0.9969210363606122,0.0,1.0,0.9969210363606122,-1.3587046976026613,0.5821343485776822,0.0031983780231144,-5.745111465454102,0.8801696485378518,-0.1291814222931862,3.8911498203928465,0.19060261918048707,3.119461361974094,1.168771377604779,-16.304456371231936,-4.706691137460634,-1.6046093526645564,0.5225272885856482,0.0031983780231144,-5.745111465454102,0.5420296378714085,-0.9718075953423977,4.975915394924188,0.20692840156213657,3.3799223956162527,0.946790172141654,-16.046093526645564,-5.07422030922837
Napoleon Bonaparte became Emperor of the French.,Napoleon,0.998079282842548,0.0,1.0,0.998079282842548,-1.8693554344936274,0.4146236025863826,0.0058471167500305276,-5.141806602478027,0.22020585020150676,-1.5606485605239868,6.484115614772101,0.172203481571164,2.9755666785558934,1.3679530589642792,-18.693554344936274,-5.911420929413552,-1.9137702873413218,0.3907443937621724,0.0058471167500305276,-5.141806602478027,0.22020585020150676,-1.5606485605239868,6.778597941925584,0.15582549226475528,3.0061292560291637,1.2379534734966704,-15.310162298730575,-5.412959791249505
Napoleon Bonaparte was Emperor of the French from 1804 to 1815.,Napoleon,0.9963531402047744,7.457882039339912e-05,1.0,0.9963531402047744,-1.063192980389835,0.6350648538850132,0.002034712861759118,-6.1974005699157715,0.893590081029205,-0.11270248517394066,2.895601844361653,0.16245450122734334,2.588993918795108,2.0896775240762366,-19.137473647017032,-4.510745796861531,-1.1193967668894822,0.656181065383664,0.002034712861759118,-6.1974005699157715,0.9603795457644736,-0.04042671248316765,3.0630059392817377,0.17185307553671708,3.177593952680098,1.2181861381425523,-14.552157969563268,-4.036042440608639
Napoleon is considered one of the most significant figures.,Napoleon,0.9884013055464792,0.0,1.0,0.9884013055464792,-2.6780215920181947,0.40676319170234143,2.916966046669636e-06,-12.744966506958008,0.2769178030809202,-1.3938648998737335,14.556266555817716,0.16057666719259087,13.297918471933894,1.4329951242155141,-26.780215920181945,-8.468647853887694,-3.3211761468223164,0.29205336627822553,2.916966046669636e-06,-12.744966506958008,0.15394358262649738,-1.871169090270996,27.692902331009734,0.0963882207261266,16.43634222260502,1.3230771745226442,-23.248233027756214,-8.787006144731588
Napoleon is significant in modern European history.,Napoleon,0.9958152246775868,0.0,1.0,0.9958152246775868,-3.0403381837531924,0.22700258256623213,3.6701524628997295e-05,-10.212692260742188,0.10159313135372235,-2.293439507484436,20.912314244294222,0.09098571655607604,8.515186452374287,1.393228788258282,-24.32270547002554,-8.599374987329096,-3.3311674930155277,0.2236147826954851,3.6701524628997295e-05,-10.212692260742188,0.10159313135372235,-2.293439507484436,27.97097856999034,0.10688337871127536,10.400576339777611,0.9291445523451769,-19.987004958093166,-8.15966060563429
"Napoleon was born on August 15, 1769.",Napoleon,0.9981060010839068,5.134741313379308e-05,1.0,0.9981060010839068,-0.860708667508637,0.6078429251025116,0.06441340289915305,-2.742433547973633,0.754409338372,-0.29361391067504883,2.3648359824483496,0.14283910033356637,0.9966572459652404,1.8913102919725364,-10.328504010103643,-2.981582285279734,-0.7138572319410741,0.6590476294860733,0.09050853831950735,-2.402311086654663,0.8892011913502396,-0.11767494305968285,2.0418519852742376,0.13915494809420448,0.8032602046742637,1.428608634090844,-7.138572319410741,-2.257414777116896
"Napoleon was born in Ajaccio, Corsica.",Napoleon,0.9930931010305852,0.0,1.0,0.9930931010305852,-1.4150924296554876,0.5641991933031537,0.0005227615943954622,-7.556385040283203,0.6392256892263393,-0.447497695684433,4.116866968983739,0.15279117310488474,4.595944330312335,1.6438292447215206,-15.566016726210364,-4.693330632839645,-1.6665956667744064,0.5199219916815593,0.0005227615943954622,-7.556385040283203,0.4388680751804282,-0.8235564231872559,5.294114155591279,0.1725331045142574,5.263379687815,1.2520045101424602,-14.999361000969657,-4.999787000323219
Napoleon was born to a family of minor nobility.,Napoleon,0.9913447472443928,0.0,1.0,0.9913447472443928,-1.7057820450175891,0.4086299555568686,0.0019144870530945963,-6.258305549621582,0.16559998902551876,-1.798180103302002,5.505689681209367,0.13334768075386108,3.055766876097789,2.0827398484683295,-18.76360249519348,-5.657439017448467,-1.598656871489116,0.3523947869249268,0.04734466795008359,-3.0503010749816895,0.15881503532723298,-1.8400150537490845,4.946384330951927,0.13458721323174758,1.1015504022816627,1.3667439775153758,-11.190598100423813,-4.2296485136847455
Napoleon was educated at the École Militaire.,Napoleon,0.997112164442324,0.0,1.0,0.997112164442324,-1.5119226117036306,0.5726134347725091,0.00019684228028613718,-8.53310775756836,0.6426227275153761,-0.44221143424510956,4.535442311667733,0.1322135341276613,6.2488042435767746,1.622712605875221,-15.119226117036305,-4.7811190988938215,-1.9868865423403415,0.5313592600764888,0.00019684228028613718,-8.53310775756836,0.5407216835331227,-0.6148505806922913,7.292792577910553,0.18260951261604447,8.173613095707337,0.8187993438203853,-13.90820579638239,-5.256807674333549
The ecole Militaire is in Paris.,Napoleon,0.9773503406877584,0.0,1.0,0.9773503406877584,-4.020272677971257,0.23896221746542545,1.450807294853926e-07,-15.745975494384766,0.03635356883064728,-3.314462900161743,55.71629636229733,0.14105588040918912,19.410735725106104,0.8869392488339092,-36.182454101741314,-12.06081803391377,-4.4258324690163136,0.3288882884705702,1.450807294853926e-07,-15.745975494384766,0.04243332973673197,-3.2422635555267334,83.58235799193284,0.18614225768210094,28.223641833134035,0.4439569595519234,-26.55499481409788,-10.841031236132208
Napoleon graduated from the École Militaire.,Napoleon,0.994416928994297,0.0,1.0,0.994416928994297,-2.2215756069183246,0.4421738217839532,1.631517972870361e-05,-11.023414611816406,0.4160300570200402,-0.8769977688789368,9.221849434869133,0.14354343218948426,10.645718989688724,1.5813985227833667,-19.99418046226492,-6.664726820754974,-2.697582060595908,0.39603688551773686,1.631517972870361e-05,-11.023414611816406,0.15394358262649738,-1.871169090270996,14.843796896838827,0.16491923516886445,12.63821141694484,1.0312968032876733,-18.883074424171355,-7.1371312735259425
Napoleon graduated in 1785.,Napoleon,0.9970929676254616,0.0,1.0,0.9970929676254616,-3.4178382945912227,0.18249780974613478,1.6315164169343154e-05,-11.023415565490723,0.08692828802380918,-2.442671775817871,30.503404324801107,0.06696687575492476,10.578867455370045,1.2224459116715831,-23.924868062138557,-9.04275014892149,-3.5803660477201142,0.19842606336652238,1.6315164169343154e-05,-11.023415565490723,0.10321467341810281,-2.3890011310577393,35.88667467856014,0.07635205687031114,12.157105137505171,1.0101086359956577,-21.482196286320686,-8.770069909299568
Napoleon served in the French army.,Napoleon,0.9966830751896982,0.0,1.0,0.9966830751896982,-2.5147398417549476,0.36972907446483066,6.753147871035024e-05,-9.602916717529297,0.3496628830493684,-1.050785779953003,12.363391922339018,0.1051867176198288,9.709877986859283,1.4225294027434023,-17.60317889228463,-6.653376233309513,-3.305582559108734,0.2525247484528382,6.753147871035024e-05,-9.602916717529297,0.15394374779013204,-1.8711680173873901,27.26442009953984,0.05997553075608517,11.29948617866043,1.0312203107180966,-16.52791279554367,-7.391507307404845
