concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
A fatwa is an Islamic decree.,Osama bin Laden,0.9984210387730134,0.0,1.0,0.9984210387730134,-3.0089417658746243,0.2419744144340415,0.0005448139777197719,-7.515066146850586,0.16284655469150577,-1.8208303451538086,20.265942461837348,0.07310299618104271,6.462761261556649,1.5034123076946317,-24.071534126996994,-8.510572507381486,-2.8335393846035,0.32163902312431775,0.0005448139777197719,-7.515066146850586,0.2179730222431666,-1.5233839750289917,17.005543592972764,0.09646330583291304,7.623585268116537,0.9022627681681106,-14.167696923017502,-6.335986680896347
Abdullah Azzam was an Islamist ideologue who influenced Osama bin Laden.,Osama bin Laden,0.997443539525021,0.0,1.0,0.997443539525021,-2.203026650706306,0.4823278521906724,8.407775012648317e-06,-11.68635368347168,0.4403793672297338,-0.8201187252998352,9.052370441987494,0.18821802527461468,9.177432484821429,1.6807393456017383,-33.04539976059459,-8.532285529436628,-1.936764541217902,0.5638363118633445,8.407775012648317e-06,-11.68635368347168,0.7314381398413432,-0.33836153894662857,6.936272602223126,0.19195337329117235,10.281203604257184,1.204282354740425,-23.241174494614825,-6.709149175374467
Al-Qaeda carried out a series of coordinated attacks.,Osama bin Laden,0.9992843673872496,0.0,1.0,0.9992843673872496,-3.0861575387069022,0.3571956532689559,0.00016990353353809362,-8.680279731750488,0.10171229715768035,-2.70804500579834,21.89279393708529,0.1667184314889672,8.525888729524286,1.036322827802027,-30.861575387069024,-9.759287040413067,-3.3561915176542243,0.3196715558459079,0.00016990353353809362,-8.680279731750488,0.10171229715768035,-2.70804500579834,28.67975627618163,0.14154554123093122,9.290329731974595,0.9599529324790966,-26.849532141233794,-9.49274312437629
Al-Qaeda is a militant Islamist organization.,Osama bin Laden,0.9967365987072716,0.0,1.0,0.9967365987072716,-2.615335810929537,0.27243592560391383,0.00016990499183807778,-8.68027114868164,0.26659491854046613,-1.3238141536712646,13.67180674923512,0.05912445946725179,6.845704399745912,1.8236371613638003,-20.922686487436295,-7.397286747953175,-3.1178394506374993,0.25181078018673364,0.00016990499183807778,-8.68027114868164,0.14168917525575037,-2.4017576575279236,22.59750384037925,0.07623720094790992,8.109438489266749,1.0990922221928474,-18.707036703824997,-7.637115753981295
Bin Laden established al-Qaeda in Sudan.,Osama bin Laden,0.0024521968076447,0.9892869627471784,0.0,0.9892869627471784,-3.4474375127610983,0.3212117743725045,6.57645369399944e-05,-9.629429817199707,0.10987114471748351,-2.5862752199172974,31.419776288310867,0.1577760879397782,10.848222750030114,0.8932485832938218,-27.579500102088787,-9.75082577196103,-3.8056623798163076,0.311287573308603,6.57645369399944e-05,-9.629429817199707,0.029861274698548938,-3.511192798614502,44.95501754951706,0.1795276109399783,11.371368414163495,0.526061622486979,-26.639636658714153,-10.068836230868186
Bin Laden moved to Sudan in 1991.,Osama bin Laden,0.992553278255096,0.0010256031504407,1.0,0.992553278255096,-1.8455532290623524,0.5234154944939532,0.0001934328711668298,-8.550580024719238,0.6477734261459132,-0.4472411721944809,6.331601647690883,0.133410795487195,6.987966905716272,1.5839712380192705,-18.455532290623523,-5.836151746915492,-2.258620745575172,0.4481443090270171,0.0001934328711668298,-8.550580024719238,0.46930748227206465,-0.769288033246994,9.569880759598519,0.1383309933438104,7.881682094267731,1.2662540299593388,-18.068965964601375,-6.38834418129928
Bin Laden was raised in a devoutly Islamic household.,Osama bin Laden,0.9922183381241532,0.0,1.0,0.9922183381241532,-2.1870653006692673,0.3707618433036117,0.0009145639533955301,-6.997063159942627,0.22924337158697078,-1.4729710817337036,8.909029390222624,0.12914066805476407,4.81451988631354,1.9318538643937868,-24.057718307361938,-7.2536749943257774,-2.875845306625706,0.2353614362668283,0.0009145639533955301,-6.997063159942627,0.14319194297890078,-2.0781590938568115,17.74041387449117,0.09735313416519384,4.849574240168986,1.3228626660193525,-23.00676245300565,-8.13411887183417
Bin Laden went into hiding.,Osama bin Laden,0.9842931368415512,0.0,1.0,0.9842931368415512,-3.8994542274352475,0.3203708836397888,0.0005594481408445294,-7.488559722900391,0.009017218274424315,-4.729133367538452,49.37549396053519,0.19957152447573823,8.324696454823073,0.1931651895170431,-23.396725364611484,-9.551673132555141,-3.692869033035822,0.3830031957244527,0.0005594481408445294,-7.488559722900391,0.010825113332379253,-4.525886535644531,40.159901915438084,0.21594899026846148,9.733571090517398,0.15760606643282143,-18.46434516517911,-8.257506189872014
He believed it was a threat to Saudi Arabia's sovereignty.,Osama bin Laden,0.9926367897419346,0.0,1.0,0.9926367897419346,-3.4445543995437524,0.26465765483312637,0.0002980333376823202,-8.118305206298828,0.0489766588484294,-3.033066153526306,31.329319976560626,0.14482584022493208,7.223103211791035,1.2100035746862619,-41.33465279452503,-11.932286458889372,-4.24696032433874,0.1504061862827941,0.0002980333376823202,-8.118305206298828,0.012821011854431057,-4.356669902801514,69.89263817711685,0.0886095461966327,6.505216475209136,0.833918700738513,-38.22264291904867,-12.740880973016223
He believed that the Western-backed government of Afghanistan was un-Islamic.,Osama bin Laden,0.966311667154288,0.0107347514624148,1.0,0.966311667154288,-2.792388147009027,0.3780727114242091,0.0003301830307643437,-8.015863418579102,0.2060487968315626,-2.253509521484375,16.319947734844128,0.1524476428997207,7.326846437847351,1.6841948240193079,-39.09343405812638,-10.448159736996324,-3.476507343351531,0.27581302334524965,0.0003301830307643437,-8.015863418579102,0.023940733991891075,-3.7321739196777344,32.346549163856224,0.14513291483833787,7.140828596262704,1.0440599929579668,-38.24158077686684,-11.530270438812279
He saw the conflict as a jihad.,Osama bin Laden,0.9980000870961356,0.0,1.0,0.9980000870961356,-4.547214712947607,0.1657350422723768,1.9811528920662877e-05,-10.829246520996094,0.017282789024103188,-4.058908700942993,94.36919662352828,0.07701696593614824,10.763105091906793,0.8224000798994667,-36.377717703580856,-12.861465436145972,-6.276274013519287,0.009693503669688578,1.9811528920662877e-05,-10.829246520996094,0.012821030195048749,-4.356668472290039,531.803475170328,6.422669933123885e-05,7.567385782165694,0.20101521969640831,-31.381370067596436,-14.034175339644559
