concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
The Beatles were an English rock band.,The Beatles,0.9989009933506384,0.0,1.0,0.9989009933506384,-1.2410501830163412,0.5448487786575984,0.030305845587101626,-3.4964146614074707,0.6197229484306243,-0.5566559061408043,3.4592443975726863,0.17256837270904152,1.8786053474628273,1.0672998555108104,-9.92840146413073,-3.5102200008146425,-0.745321701746434,0.762747685462487,0.030305845587101626,-3.4964146614074707,0.937597295723338,-0.06443474441766739,2.1071191898807435,0.1367375337105205,1.8951906820781197,0.30953248263072314,-3.72660850873217,-1.66658999021085
The Beatles formed in Liverpool.,The Beatles,0.9956247046158524,0.0,1.0,0.9956247046158524,-2.009822806964318,0.433967790522133,0.005641430844037077,-5.17761754989624,0.38998424457247427,-1.2841175943613052,7.461995016619518,0.1585083601544721,4.043149700860513,0.8043610593596568,-12.058936841785908,-4.923040350470792,-2.4382900055497885,0.40609380438989545,0.005641430844037077,-5.17761754989624,0.3405681407114284,-2.255553975701332,11.45343867129085,0.16536156683976558,5.007163589441719,0.42897222779927574,-9.753160022199154,-4.876580011099577
The Beatles formed in 1960.,The Beatles,0.9979880936023556,0.0,1.0,0.9979880936023556,-1.5398062532767653,0.47579977430560966,0.00564143353408157,-5.177617073059082,0.5003359541627699,-0.8261519968509674,4.663686609451447,0.14217669495340124,2.8853752069598455,1.3466294659007136,-12.318450026214123,-4.355229773621805,-1.6687794588506222,0.4711610172579239,0.00564143353408157,-5.177617073059082,0.5003359541627699,-0.8261519968509674,5.305688033006135,0.14276948250455648,3.4427592810421195,0.971240341713285,-10.012676753103733,-4.087658167421862
"The Beatles members were John Lennon, Paul McCartney, George Harrison, and Ringo Starr.",The Beatles,0.9990862125582588,0.0,1.0,0.9990862125582588,-1.2648636403763602,0.7096071317929663,0.000158476286751127,-8.749905586242676,0.9568212520242129,-0.044340554624795914,3.5426096342555073,0.15349759026311124,6.258986404225348,1.4279326360572804,-22.767545526774484,-5.3663619443185615,-1.2057083811332632,0.774343972576916,0.000158476286751127,-8.749905586242676,0.9763363561012602,-0.02394816931337118,3.3391236126415254,0.1342383998100807,6.987650481747612,0.8258733302703583,-19.29133409813221,-4.822833524533053
The Beatles are regarded as the most influential band of all time.,The Beatles,0.9956946606607856,0.0,1.0,0.9956946606607856,-1.4085592214161387,0.5226708206800363,0.0006814706452844736,-7.291257381439209,0.633469279674404,-0.45654377341270447,4.090058288483586,0.1462232781746178,3.7141006573792428,2.1923242448736397,-18.311269878409803,-5.078632497343523,-1.3802886166376993,0.6444085396379664,0.0006814706452844736,-7.291257381439209,0.797847545297117,-0.22584912180900574,3.976049015807375,0.13531001032571308,5.68852268563219,0.9735680637195312,-11.042308933101594,-3.904045763276464
The Beatles' music includes rock and roll and other genres.,The Beatles,0.9991435775891911,0.0,1.0,0.9991435775891911,-2.2725517551104226,0.3123764570046032,0.0007025039813003891,-7.260859489440918,0.08809778818021295,-2.479649782180786,9.704131814875259,0.11901611055318272,3.856805156435174,2.068672865533067,-27.270621061325073,-7.872350205362155,-2.282813397320834,0.33028679320257026,0.0007025039813003891,-7.260859489440918,0.06083281753346002,-2.799625873565674,9.804224824523095,0.12598639525441796,4.206160191409936,1.8195269503968363,-25.110947370529175,-7.571235505309709
"The Beatles' works include albums like ""Sgt.Pepper's Lonely Hearts Club Band."".",The Beatles,0.999853203975591,0.0,1.0,0.999853203975591,-2.7481515766800535,0.5422813298050824,1.2055652985841908e-06,-13.628561973571777,0.7508358315532883,-0.3056598864495754,15.613744385016581,0.19907312640245894,17.400653633385204,1.4927020785576612,-49.466728380240966,-11.659419693593811,-2.7827678247361773,0.5673941982468664,1.2055652985841908e-06,-13.628561973571777,0.8961637491233442,-0.10963212698698044,16.16369737266545,0.19943149940374746,18.402652370841874,1.2435563866961352,-47.30705302051501,-11.473645672957552
"The Beatles' works include albums like ""Revolver."".",The Beatles,0.999759062370134,0.0,1.0,0.999759062370134,-4.265929706564004,0.27227192542123696,4.78057861369916e-08,-16.85611915588379,0.04242782119756339,-3.1599509716033936,71.23111323200668,0.13431318236151005,24.742689507491527,1.3571455515911655,-46.92522677220404,-14.148488218703712,-4.476555451191961,0.2879628255778772,4.78057861369916e-08,-16.85611915588379,0.033489879526630476,-3.4334577322006226,87.93126688707288,0.1450362527726789,26.728963210939774,1.107999445076576,-44.76555451191962,-14.15611129780932
"The Beatles' works include albums like ""Abbey Road."".",The Beatles,0.9995466693254154,0.0,1.0,0.9995466693254154,-3.7416693411093243,0.33483691863983256,2.3227454012194824e-07,-15.275345802307129,0.07889532035902888,-2.6598116159439087,42.16832476048163,0.16452119485043634,20.857256345413347,1.3712205361427812,-44.90003209331189,-12.96152280784823,-3.885487127501454,0.3547891149864568,2.3227454012194824e-07,-15.275345802307129,0.04242788189109187,-3.159949541091919,48.69065524067914,0.17470058544091593,22.505167890439953,1.1220746210065506,-42.740358402515994,-12.886702929678115
The Beatles broke up in 1970.,The Beatles,0.99715839632045,0.0,1.0,0.99715839632045,-1.1159808862333496,0.6023569788607966,0.018079584995834612,-4.012971878051758,0.7991111718165124,-0.22425520420074463,3.052560926159506,0.15328239986552614,2.0971513834100852,1.1475419050434716,-10.043827976100147,-3.347942658700049,-1.0755350029628192,0.6578521898905604,0.018079584995834612,-4.012971878051758,0.8959088731500605,-0.1099165752530098,2.93156087481457,0.15873041456077597,2.456451240971057,0.6492926065053304,-7.528745020739734,-2.845598144184737
