concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
"An estimated 620,000 to 750,000 civilians died in the American Civil War.",American Civil War,0.0,0.9980875927854428,0.0,0.9980875927854428,-1.5667476614324092,0.6601362626408979,7.6810347514315e-06,-11.776756286621094,0.9625364327855147,-0.038183361291885376,4.791040740592272,0.1689708716194992,9.243734521715407,1.759954547459078,-29.768205567215773,-6.829294726212548,-1.3552630288494887,0.70186392381326,7.6810347514315e-06,-11.776756286621094,0.9751323242506315,-0.025182100012898445,3.8777807907243593,0.16373248588612252,8.809280645944396,1.2042433651052915,-20.32894543274233,-5.248911140464691,4.791040740592272,3.8777807907243593,0.20872291724164702,0.5681964920308555,0.25787945579389043,0.8303969355169053,2.476711088836813,10.795733348586255,19.0,3.2161135019986484,12.45595403275358,15.0
"An estimated 620,000 to 750,000 soldiers died in the American Civil War.",American Civil War,0.9947895885302956,0.0,1.0,0.9947895885302956,-0.8001064624578774,0.7834448056387047,0.0004166068303453975,-7.78336763381958,0.9751323242506315,-0.025182100012898445,2.2257778776626935,0.11553685599795882,3.5425183960140316,1.369826198876115,-15.202022786699672,-3.4875832139277074,-0.4587397792985333,0.8238158085239219,0.031032406621903232,-3.4727232456207275,0.9847909657781416,-0.015325877815485,1.582078959516175,0.10077477802225442,1.039402346385546,0.9541718126434996,-6.8810966894779995,-1.7766915254660853,2.225777877662693,1.582078959516175,0.44928112999762027,0.7300196191461794,0.6320797037246586,1.0480292823045518,3.1820817466602467,13.870372763777409,19.0,4.05899995670324,15.720439234568275,15.0
Charleston Harbor is in South Carolina.,American Civil War,0.993145546668946,0.0,1.0,0.993145546668946,-3.59732502735486,0.2762355696357247,1.9646886499274937e-06,-13.140176773071289,0.05099486438143632,-2.9760303497314453,36.500465989948694,0.11954552438085397,16.99591175118,1.0486712393331576,-25.18127519148402,-9.517627407449584,-4.029372108494863,0.32230181647063594,1.9646886499274937e-06,-13.140176773071289,0.05099486438143632,-2.9760303497314453,56.22559658693231,0.1521629785029715,22.44945607212133,0.604359322383204,-20.146860542474315,-9.00994994123617,36.50046598994869,56.22559658693231,0.02739691050178304,0.9535877046040594,0.017785493808925013,1.654644783266756,2.5229559196712636,6.675113932228416,7.0,3.6998982139998726,8.273223916333778,5.0
Fort Sumter is located in Charleston Harbor.,American Civil War,0.9979135409880188,0.0,1.0,0.9979135409880188,-2.6373419584577076,0.36613614409917994,9.001964367449333e-06,-11.618067741394043,0.1292991097035088,-2.0456268787384033,13.976005389509346,0.16109293258759166,11.313987875213845,1.3252197097305345,-23.736077626119368,-7.912025875373122,-3.083533971021617,0.3252555948361195,9.001964367449333e-06,-11.618067741394043,0.10715360667393209,-2.233491897583008,21.83543198974941,0.1587490419150924,13.389461415957582,0.9527908367796944,-21.58473779715132,-8.158264046542646,13.976005389509346,21.83543198974941,0.07155120308916157,0.7545918557182768,0.04579712462155306,1.049548296853763,2.2637755671548305,6.791326701464492,9.0,2.776843782426452,7.346838077976343,7.0
John Wilkes Booth assassinated President Lincoln.,American Civil War,0.9866710714842112,0.0,1.0,0.9866710714842112,-1.9162654378386732,0.4644876999941219,0.000362708094965699,-7.92191219329834,0.196733801464265,-1.6259037256240845,6.795532682528953,0.17993814998636076,5.660482060543649,1.214540173650594,-17.24638894054806,-5.74879631351602,-1.9162654378386732,0.4644876999941219,0.000362708094965699,-7.92191219329834,0.196733801464265,-1.6259037256240845,6.795532682528953,0.17993814998636076,5.660482060543649,1.214540173650594,-17.24638894054806,-5.74879631351602,6.795532682528953,6.795532682528953,0.14715549857790555,0.8233568734035848,0.14715549857790555,0.8233568734035848,2.470070620210754,7.410211860632264,9.0,2.470070620210754,7.410211860632264,9.0
Key battles included the Battle of Gettysburg.,American Civil War,0.9961718747252226,0.0,1.0,0.9961718747252226,-2.1597373444777244,0.614432307693603,6.063347949008898e-06,-12.013248443603516,0.8239103664745602,-0.19369353353977203,8.668860435348751,0.1738835816202795,13.195169797872428,0.9600738039767344,-23.757110789254966,-7.16303841735116,-2.601076615322351,0.5613772403885428,6.063347949008898e-06,-12.013248443603516,0.8239103664745602,-0.19369353353977203,13.478241107380386,0.1922852782174126,15.049470958736647,0.7143473124872834,-23.40968953790116,-7.803229845967053,8.668860435348751,13.478241107380386,0.11535541579632891,1.0415865903828299,0.0741936571718117,1.3998792779356912,3.4545519069654484,11.457452494211127,11.0,4.199637833807074,12.59891350142122,9.0
Lee surrendered to General Ulysses S.Grant.,American Civil War,0.9837056400241396,0.0,1.0,0.9837056400241396,-2.982124743525977,0.4627865558494391,6.343354046402198e-05,-9.665517807006836,0.31923308537294665,-1.4365242421627045,19.72969267787988,0.20789263528997148,11.468611300584799,0.8320807896884337,-35.78549692231172,-10.3303831405906,-3.1958987958483207,0.4564701582297033,6.343354046402198e-05,-9.665517807006836,0.10619924107936038,-2.242438316345215,24.432123317704995,0.22631320322419068,11.962820182554896,0.4964278517611193,-35.15488675433153,-10.599597173777513,19.72969267787988,24.432123317704995,0.05068502669183281,1.2018063779292902,0.04092972137527398,2.014391409451376,4.163179414867709,14.421676535151484,12.0,6.680980486065389,22.15830550396514,11.0
"On April 14, 1865, President Lincoln was assassinated.",American Civil War,0.985104560157163,0.0,1.0,0.985104560157163,-1.506971341635896,0.6085548587817797,0.0003546873188203575,-7.944273948669434,0.9059897505499087,-0.098727285861969,4.513041613621782,0.18464288907025966,5.076618112202185,1.3251063602605693,-22.60457012453844,-5.836474909367673,-1.1201206838466953,0.6324598802967666,0.01140881334819204,-4.473369121551514,0.9359675239973317,-0.06617449969053268,3.0652241040078874,0.1772184247652298,2.367827761482632,1.232842717943187,-14.561568890007038,-4.038652560317048,4.513041613621782,3.065224104007888,0.2215800530138443,0.7546564034326722,0.3262404202982957,0.8111334766760436,2.9227716826035253,11.319846051490083,15.0,2.924583341400849,10.544735196788567,13.0
President Abraham Lincoln issued the Emancipation Proclamation.,American Civil War,0.9939121858931704,0.0,1.0,0.9939121858931704,-1.2175462139490596,0.6802559389608998,0.001354326897526045,-6.604450702667236,0.9815582695950048,-0.018613899126648903,3.3788864885135785,0.1720740462291369,4.277315850671039,0.8470371438476504,-13.393008353439654,-4.0381439565868105,-1.3294942686585274,0.657622595964276,0.001354326897526045,-6.604450702667236,0.9902675357109887,-0.009818810562137514,3.779131678870467,0.1836465004848196,4.56719139925257,0.7581318528207177,-13.294942686585273,-4.204230025100758,3.3788864885135785,3.779131678870467,0.2959554881170082,1.1805857715489532,0.2646110495675787,1.3190317703700005,3.9155600370601147,12.986443487038486,11.0,4.171144700493401,13.190317703700005,10.0
"President Lincoln was assassinated on April 14, 1865.",American Civil War,0.993586318324462,0.0,1.0,0.993586318324462,-1.2121486102288535,0.6207908353961963,0.0013543301264968396,-6.604448318481445,0.875077384947857,-0.13518832996487617,3.360697730247109,0.1679411248363563,3.398178520288733,1.5803863510646807,-16.97008054320395,-4.535444801330557,-1.0544252833263574,0.6951618875793516,0.0013543301264968396,-6.604448318481445,0.9330325932445407,-0.06933793053030968,2.870325056108888,0.15435850108361013,3.63276619192839,1.081389928047852,-12.65310339991629,-3.6526363270129196,3.360697730247109,2.870325056108888,0.2975572575301114,0.6327566669544546,0.3483925968146739,0.9247358182863984,2.3675586569405938,8.858593337362365,14.0,3.203378841701646,11.096829819436781,12.0
