concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Barack Obama is the 44th President of the United States.,Barack Obama,0.999058013148432,0.0,1.0,0.999058013148432,-0.6046574470780727,0.7129267966275717,0.08044959534708641,-2.5201244354248047,0.9612381426608666,-0.0395330935716629,1.8306250155204267,0.1281505545337403,0.799584450263847,1.615867454581896,-7.860546812014945,-2.180123429531145,-0.6490362855329295,0.7247573023177746,0.08044959534708641,-2.5201244354248047,0.9612381426608666,-0.0395330935716629,1.913695683844064,0.13977536365475893,1.0248861622540282,0.8957485234500051,-5.841326569796365,-1.9471088565987884,1.830625015520427,1.913695683844064,0.5462615180726736,0.6188626407224402,0.5225491223303006,1.1163847595846064,2.2313409835938067,8.045214329391722,13.0,3.3491542787538187,10.047462836261456,9.0
Barack Obama is the first African American President of the United States.,Barack Obama,0.9990731268125612,0.0,1.0,0.9990731268125612,-0.7750620685535698,0.6291785642882324,0.0764652569790638,-2.5709187984466553,0.8039098514511013,-0.21826814115047455,2.170726856878362,0.13580442870942483,0.8615343018169909,2.0830283643761223,-10.075806891196407,-2.7945260298370815,-0.8907945099312605,0.6080983922752101,0.0764652569790638,-2.5709187984466553,0.8039098514511013,-0.21826814115047455,2.437065154768284,0.15244910555468272,1.0815630024247906,1.324744506541191,-8.017150589381345,-2.6723835297937817,2.170726856878362,2.437065154768284,0.4606751866690686,0.4800702751349741,0.4103296122565422,0.7548625376910794,1.7309179928252538,6.240913576754663,13.0,2.264587613073238,6.793762839219714,9.0
Barack Obama served two terms as President.,Barack Obama,0.9956705466220822,0.0,1.0,0.9956705466220822,-2.316282714760746,0.44438068246930035,0.0031691238494140172,-5.754300117492676,0.35624685277629387,-1.4894619286060333,10.137918639942413,0.18626660505117598,5.509144669229325,0.7715858293029236,-18.530261718085967,-6.551436859010035,-2.645205999109229,0.366967161437548,0.0031691238494140172,-5.754300117492676,0.08044928845682037,-2.5201282501220703,14.086346559106884,0.16493329415021832,5.4306411203693425,0.7579557761416225,-18.5164419937646,-6.998557240179162,10.137918639942413,14.086346559106884,0.09863957637814308,1.2960320965244183,0.07099072820649124,1.3193381876321397,3.665732336351337,10.368256772195346,8.0,3.4906407396653147,9.235367313424979,7.0
Barack Obama's presidency began in 2009.,Barack Obama,0.9991303683489696,0.0,1.0,0.9991303683489696,-1.873749784415122,0.35673870790440965,0.013667042496824607,-4.2927680015563965,0.20402016603583467,-1.778704285621643,6.512671784663936,0.12671488186595137,2.338651015281977,1.816399855265452,-18.73749784415122,-5.925317084001257,-1.9548274452875678,0.36098455237278365,0.013667042496824607,-4.2927680015563965,0.08951422438262562,-2.413357734680176,7.062700216343932,0.14061404123189422,2.5327652571656127,1.45198979529661,-17.59344700758811,-5.864482335862704,6.512671784663936,7.062700216343932,0.15354681351435578,0.5505395726063071,0.1415889064193721,0.6887100744366607,1.7409589914915726,5.505395726063071,10.0,2.066130223309982,6.198390669929946,9.0
Barack Obama's presidency ended in 2017.,Barack Obama,0.9948840996221506,0.0,1.0,0.9948840996221506,-1.7840001084259711,0.363929785203136,0.013845477965581231,-4.279796600341797,0.2676939724463731,-1.6538589000701904,5.953623991959391,0.11794273953815923,2.0723378770562695,1.9073533744296909,-17.84000108425971,-5.6415036886134144,-1.9021196539591376,0.35033280489158325,0.013845477965581231,-4.279796600341797,0.08044959534708641,-2.5201244354248047,6.700081255159568,0.12919870963980495,2.1630753708040142,1.5567660564617154,-17.11907688563224,-5.706358961877413,5.953623991959391,6.700081255159568,0.16796492377592878,0.5242866966374312,0.14925192127034648,0.6423572738172637,1.657940108300025,5.2428669663743115,10.0,1.9270718214517912,5.781215464355373,9.0
"Barack Obama was born on August 4, 1961.",Barack Obama,0.9994711753170884,0.0,1.0,0.9994711753170884,-0.9257841122139675,0.642695793123099,0.012141405009219633,-4.411133766174316,0.8332664988313654,-0.18240176141262054,2.52384646352839,0.1529594599332166,1.7378430128877724,1.6414428572062238,-12.035193458781578,-3.3379620865973676,-0.5941697589904916,0.7278253725800078,0.08044959534708641,-2.5201244354248047,0.9430697223043891,-0.0586150623857975,1.8115263170064868,0.12887268949597133,0.8371156046926526,1.221355319222046,-6.535867348895408,-1.970638152347358,2.52384646352839,1.8115263170064868,0.39622061581431506,0.6092201112026675,0.5520206858780176,0.8187625535842916,2.196574348985091,7.9198614456346785,13.0,2.715528182632353,9.006388089427208,11.0
"Barack Obama was born in Honolulu, Hawaii.",Barack Obama,0.997597862161762,0.0,1.0,0.997597862161762,-1.251669736410905,0.5200436706303361,0.028189406364765655,-3.5688090324401855,0.3368239640064718,-1.0881948471069336,3.496175778466098,0.1720966331339044,1.6778435144499904,1.3188771329552005,-11.265027627698146,-3.7550092092327154,-1.450565579796343,0.4808833104808106,0.028189406364765655,-3.5688090324401855,0.2830477133300244,-1.2621397972106934,4.265526328580272,0.18505765534998092,1.8981444357163035,0.9299905776003404,-10.1539590585744,-3.837835784531342,3.496175778466098,4.265526328580272,0.28602680853728046,0.7582207432464204,0.23443765738818867,1.0752797115217072,2.274662229739261,6.823986689217784,9.0,2.844922706519712,7.526957980651951,7.0
Barack Obama's mother is Ann Dunham.,Barack Obama,0.996369831850205,5.125814631959066e-05,1.0,0.996369831850205,-1.8957511340987467,0.3811969587598972,0.013845438353407694,-4.279799461364746,0.12171681502191824,-2.106058120727539,6.657547237745128,0.18914246064468554,2.205319422783747,1.0980003884074443,-17.06176020688872,-5.68725340229624,-1.8099230850575623,0.41939730179167944,0.013845438353407694,-4.279799461364746,0.123544590805138,-2.0912625789642334,6.109977465592052,0.19965187235555878,2.4146862646117713,0.9027877389285152,-14.479384680460498,-5.119235547481114,6.657547237745128,6.109977465592052,0.15020546821365013,0.9107464902179263,0.16366672473530977,1.1076800856720344,2.732239470653779,8.196718411961337,9.0,3.132992399855966,8.861440685376275,8.0
Barack Obama's father is Barack Obama Sr.,Barack Obama,0.998572806011388,0.0,1.0,0.998572806011388,-1.9548318144322063,0.315908849848145,0.013845438353407694,-4.279799461364746,0.12888566886016883,-2.0488295555114746,7.062731074370127,0.1395263277020791,1.8035541642864699,1.5122295016713423,-17.593486329889856,-5.864495443296619,-1.8603263523400528,0.347087633767787,0.013845438353407694,-4.279799461364746,0.13382369566816962,-2.011913299560547,6.425833515076362,0.14821806956446948,1.948616893535016,1.3320143512227112,-14.882610818720423,-5.261797515838743,7.062731074370127,6.425833515076362,0.14158828779831215,0.6612752885026926,0.15562183452991568,0.7507426621057488,1.9838258655080776,5.951477596524233,9.0,2.1234209092040635,6.00594129684599,8.0
Barack Obama's parents met.,Barack Obama,0.9931094430085664,0.0,1.0,0.9931094430085664,-3.9845770287599103,0.20180921332794274,1.415057537848013e-05,-11.165755271911621,0.05530858513780852,-3.010555624961853,53.76254465784216,0.12820798327310792,12.048541367430529,0.581223894036647,-23.907462172559462,-9.760180561276874,-3.9845770287599103,0.20180921332794274,1.415057537848013e-05,-11.165755271911621,0.05530858513780852,-3.010555624961853,53.76254465784216,0.12820798327310792,12.048541367430529,0.581223894036647,-23.907462172559462,-9.760180561276874,53.76254465784216,53.76254465784216,0.01860031005534135,1.720507381509936,0.01860031005534135,1.720507381509936,4.214365183391332,10.323044289059617,6.0,4.214365183391332,10.323044289059617,6.0
