concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Freddie Mercury was born in 1946.,Freddie Mercury,0.9954766537857448,0.0,1.0,0.9954766537857448,-1.3299668417829607,0.45016658082679206,0.05531914907490054,-2.8946361541748047,0.5416001351766575,-0.6132273077964783,3.7809180169900443,0.12220412110384068,1.37834965904209,1.8017675892220464,-11.969701576046646,-3.9899005253488817,-1.6216092496844274,0.3684684083696463,0.05531914907490054,-2.8946361541748047,0.13995951820947314,-1.9664020538330078,5.061228547027296,0.1262061490823077,1.3877889411426454,1.3548929149742086,-11.351264747790992,-4.290374798387041,3.780918016990044,5.061228547027296,0.2644860310396498,0.5550105385299845,0.19758048677476703,0.7380657090667831,1.6650316155899536,4.99509484676986,9.0,1.9527383174152584,5.1664599634674815,7.0
Freddie Mercury died in 1991.,Freddie Mercury,0.9962190805437364,0.0,1.0,0.9962190805437364,-1.420652707456611,0.4787937441242949,0.03575857135016776,-3.330965280532837,0.45599036368437584,-1.112572655081749,4.139821651065964,0.16596331088635635,1.803539910291877,1.174825277849333,-11.365221659652889,-4.018212652614393,-1.2631752718506115,0.5357329918210423,0.03575857135016776,-3.330965280532837,0.7720212091592785,-0.2587432563304901,3.536633450070294,0.16373573187252047,1.8627953271046678,0.972433135608442,-8.84222690295428,-3.342047631603126,4.139821651065964,3.536633450070294,0.2415562998329915,0.851190401546881,0.2827547762915956,1.0283483392144075,2.4075300200587995,6.809523212375048,8.0,2.720753966707613,7.198438374500852,7.0
Freddie Mercury was a British singer.,Freddie Mercury,0.9983675711637756,0.0,1.0,0.9983675711637756,-1.6570154560197676,0.4413081108614404,0.005998732255658265,-5.116207122802734,0.5908419110212028,-0.5262067914009094,5.243637600303284,0.122822261872931,3.0499838362266902,1.3095709308192711,-11.599108192138374,-4.384050815218591,-2.1376484697684646,0.3635264381790469,0.005998732255658265,-5.116207122802734,0.13995951820947314,-1.9664020538330078,8.479474425587984,0.14996907023235156,3.4594454657934035,0.7368351525296176,-10.688242348842323,-4.779927290400691,5.243637600303284,8.479474425587984,0.19070730592483384,0.7636088862894942,0.11793183749482893,1.357155663063733,2.020319212041001,5.345262204026459,7.0,3.0346923186593076,6.785778315318664,5.0
Freddie Mercury was a songwriter.,Freddie Mercury,0.9985783970361808,0.0,1.0,0.9985783970361808,-2.1246344548029206,0.40359549254997296,0.003472765158403727,-5.662804126739502,0.3654004291317444,-1.2463062703609467,8.369837375003744,0.13970082010021337,4.48479520146229,0.9389861443203597,-12.747806728817523,-5.204270304203484,-2.9592349680606276,0.287512262294073,0.003472765158403727,-5.662804126739502,0.07748250243544569,-3.0828558206558228,19.283213836604133,0.16811637285803033,4.63501430910331,0.3662499581772742,-11.83693987224251,-5.918469936121255,8.369837375003744,19.283213836604133,0.11947663439512798,1.0649784408946763,0.05185857546742347,2.730375738407524,2.6086537672567305,6.389870645368058,6.0,5.460751476815048,10.921502953630096,4.0
Freddie Mercury was a record producer.,Freddie Mercury,0.9902510135016986,0.0,1.0,0.9902510135016986,-2.325065287495298,0.4643830317855205,5.341390049121488e-05,-9.83743953704834,0.5908419110212028,-0.5262067914009094,10.227347781914883,0.13810555422164153,10.636213077396155,1.1437329323317504,-16.275457012467086,-6.151544532701454,-3.072918233834207,0.39583132747275895,5.341390049121488e-05,-9.83743953704834,0.13995951820947314,-1.9664020538330078,21.604858799910375,0.17609296306434982,12.931200629381445,0.5709971540420967,-15.364591169171035,-6.871254060151881,10.227347781914885,21.60485879991037,0.09777706022360065,0.8743299871249494,0.046285884543904005,1.751322213991762,2.313259709738922,6.120309909874646,7.0,3.916075520991013,8.75661106995881,5.0
Freddie Mercury was best known as the lead vocalist of Queen.,Freddie Mercury,0.9993093678962126,0.0,1.0,0.9993093678962126,-1.4807552013080567,0.5277624833706654,0.0004523363065289584,-7.701084613800049,0.6941047187052132,-0.3653194308280945,4.396264492270811,0.14371641907051913,4.419574908036452,1.974806705552052,-17.76906241569668,-5.129486484474871,-1.909681300749071,0.4673063327791939,0.0004523363065289584,-7.701084613800049,0.42374279559826716,-1.1561927646398544,6.750936937106263,0.16030210411127593,5.823766598610002,1.1965635682652518,-15.277450405992568,-5.4013943906592585,4.396264492270811,6.750936937106263,0.22746584100163364,0.5063786735119742,0.1481275872247508,0.835726597835312,1.7541471807841433,6.07654408214369,12.0,2.3637917781892472,6.685812782682496,8.0
Freddie Mercury was a co-founder of the rock band Queen.,Freddie Mercury,0.9991901070704632,0.0,1.0,0.9991901070704632,-1.4348487972747535,0.6165057763398686,4.128868503070346e-05,-10.094922065734863,0.7011852759848608,-0.35541078448295593,4.199010059021804,0.13114862621466045,7.525877324401972,1.8115583204091967,-17.21818556729704,-4.970462036117938,-1.9930772847728804,0.5550921310493634,4.128868503070346e-05,-10.094922065734863,0.6572560337828528,-0.5008666291832924,7.3380804164070135,0.17586690559758963,10.338074126167557,0.9682057332142656,-15.944618278183043,-5.637273853967101,4.199010059021804,7.338080416407013,0.2381513704287145,0.5520109337546023,0.13627542126195938,1.0328383376539025,1.9122219671930176,6.624131205055227,12.0,2.9213079696980624,8.26270670123122,8.0
Freddie Mercury is widely regarded as one of the greatest rock vocalists of all time.,Freddie Mercury,0.9970792098316096,0.0,1.0,0.9970792098316096,-0.8444781414152257,0.6832435777021406,0.009231550940973464,-4.685128211975098,0.9421917202388551,-0.05954650044441223,2.32676325630393,0.1440225543483059,1.783037998672673,1.919408084677476,-14.356128404058836,-3.481872575580263,-0.9701165613050762,0.6311682806154348,0.009231550940973464,-4.685128211975098,0.7024784941550393,-0.36533264070749283,2.6382519595240157,0.13771974872115617,1.993170441811608,1.7098344751980237,-11.641398735660914,-3.360582346888799,2.32676325630393,2.638251959524016,0.42978158490799906,0.5209939501573129,0.3790388542648582,0.5848519342108748,2.148113086806384,8.85689715267432,17.0,2.025986529916331,7.018223210530497,12.0
Freddie Mercury is known for his powerful voice.,Freddie Mercury,0.9974404663064658,0.0,1.0,0.9974404663064658,-1.5273127376826272,0.3804084137840118,0.03370882606244364,-3.389995574951172,0.17603457541969356,-1.737074851989746,4.60578322962577,0.12672198040944735,1.2871962093670115,1.8218590900960567,-13.745814639143646,-4.581938213047882,-1.556480978615582,0.35799035498155174,0.03370882606244364,-3.389995574951172,0.17603457541969356,-1.737074851989746,4.742104282337601,0.11702534450851705,1.1958452876275347,1.5005862567110315,-10.895366850309074,-4.1180615898192725,4.60578322962577,4.742104282337601,0.21711833799899702,0.5488898704823958,0.21087684716774177,0.6664062099247723,1.6466696114471873,4.940008834341562,9.0,1.763145103610051,4.664843469473406,7.0
Freddie Mercury has a distinctive voice.,Freddie Mercury,0.9903510858984385,0.0,1.0,0.9903510858984385,-2.3096167278875197,0.3086426205262529,0.008584318056893933,-4.757818222045898,0.13995951820947314,-1.9664020538330078,10.07056414885347,0.11736794037927555,3.3028551842555314,1.1824713450988136,-16.16731709521264,-6.110671485865115,-2.1049417620524764,0.3478226398474851,0.008922729296600112,-4.71915340423584,0.13995951820947314,-1.9664020538330078,8.206625058678991,0.1426032592710869,2.9773411000688967,0.7763866510757925,-10.524708810262382,-4.706792868627525,10.07056414885347,8.206625058678991,0.09929930292076534,0.8456864550205525,0.12185277051769788,1.2880180237699346,2.2374760471201927,5.9198051851438676,7.0,2.880095857394514,6.440090118849673,5.0
