concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
The Industrial Revolution was a significant turning point in human history.,Industrial Revolution,0.9956757506073608,0.0,1.0,0.9956757506073608,-0.8802252271222338,0.5901122546812472,0.06185803929903206,-2.7829132080078125,0.5422994261277329,-0.6119374334812164,2.4114427675738357,0.1284219025289022,1.0077059284588097,2.137856286308656,-10.562702725466806,-3.0491896309591273,-0.8504080935163074,0.6235071762625448,0.06185803929903206,-2.7829132080078125,0.6971887679031885,-0.38583487272262573,2.340601841485981,0.1390217612510336,1.1225991578440802,1.2177923909484794,-6.803264748130459,-2.4053173188052184,2.411442767573836,2.340601841485981,0.4146895018396414,0.4677582896494212,0.42724054227229386,0.8211580294249897,1.6203622466686334,5.613099475793054,12.0,2.3225856441287713,6.569264235399918,8.0
The Industrial Revolution marked the transition from manual labor to machine-based manufacturing.,Industrial Revolution,0.9988879064348928,0.0,1.0,0.9988879064348928,-0.8274267001252156,0.678637308377233,0.020651778007231135,-3.8799538612365723,0.8950537065301822,-0.1108715571463108,2.2874249299600167,0.14195091885031605,1.5442892773004486,1.6078339175481136,-11.583973801753018,-3.0959472245375,-0.8697065542510245,0.6838564495265318,0.020651778007231135,-3.8799538612365723,0.9011058352811666,-0.10415470600128174,2.386210527440008,0.1495834309432038,1.7788730809711821,1.0220817686655688,-8.697065542510245,-2.750253607410033,2.2874249299600167,2.386210527440008,0.4371728168659417,0.62195478593023,0.4190745068386013,0.9783953012933606,2.3271417190152506,8.70736700302322,14.0,3.093957604093705,9.783953012933605,10.0
The Industrial Revolution transformed the way goods were produced.,Industrial Revolution,0.997086679578198,0.0,1.0,0.997086679578198,-1.2918050908541772,0.5784743105504776,0.010755980863730995,-4.532293319702148,0.7603279220203638,-0.2812572121620178,3.639349987552969,0.14072690509893815,2.947749098029946,1.417201433689086,-12.918050908541773,-4.085046380099948,-1.46769797496797,0.5621397840038707,0.010755980863730995,-4.532293319702148,0.6690922768716575,-0.40183329582214355,4.339234608052825,0.14112411706801115,3.622980783126206,0.97093620927479,-10.273885824775789,-3.8831638415183507,3.639349987552969,4.339234608052825,0.27477434251174654,0.7056159951778498,0.23045538910115232,1.0299337798380372,2.2313536982083932,7.056159951778498,10.0,2.724948648316196,7.20953645886626,7.0
The Industrial Revolution transformed the way goods were distributed.,Industrial Revolution,0.9832806362565168,0.0,1.0,0.9832806362565168,-2.3730068170523735,0.49269558198010055,9.514327708294836e-06,-11.562711715698242,0.5962918224229117,-0.5245340168476105,10.729605791438368,0.157269242639347,11.855091844385713,1.3264005133799224,-23.730068170523737,-7.504106444991993,-3.012271869536822,0.4395987431890464,9.514327708294836e-06,-11.562711715698242,0.5234913679741658,-0.6472347378730774,20.33354264638695,0.15624783606635242,15.088684466242766,0.8801352889656262,-21.085903086757753,-7.969722248110031,10.729605791438368,20.33354264638695,0.09320006899022745,0.7539200942042827,0.04917982160760802,1.1361889615575398,2.3841046714542435,7.539200942042828,10.0,3.0060734346579765,7.953322730902778,7.0
The Industrial Revolution transformed the way goods were consumed.,Industrial Revolution,0.9880044442654538,0.0,1.0,0.9880044442654538,-2.2946995222067925,0.49162643911342485,3.928515637843794e-05,-10.14466381072998,0.5962918224229117,-0.5245340168476105,9.92145438763198,0.15828421100486945,9.6628364165356,1.293831451158384,-22.946995222067926,-7.256477035873593,-2.900404305471706,0.4380713962366524,3.928515637843794e-05,-10.14466381072998,0.5234913679741658,-0.6472347378730774,18.181494761459103,0.15753489644780921,12.096162740745285,0.8475662267440878,-20.302830138301942,-7.673748493819149,9.92145438763198,18.181494761459103,0.10079167437856625,0.7728982002290076,0.05500097836398947,1.1798488052567693,2.4441187121685375,7.728982002290075,10.0,3.1215865233660884,8.258941636797385,7.0
The Industrial Revolution began in Britain.,Industrial Revolution,0.989283228195943,0.0,1.0,0.989283228195943,-1.411323097276701,0.49651060149615767,0.01946275084265549,-3.9392528533935547,0.5172793420645433,-0.6591722369194031,4.101378338255408,0.16235752510860563,2.112899281784187,1.0325801175969005,-9.879261680936906,-3.73400993495557,-1.483258892793674,0.49159157746121407,0.01946275084265549,-3.9392528533935547,0.5172793420645433,-0.6591722369194031,4.407285172683588,0.15773427730740291,2.4071172959698237,0.74145566548104,-7.41629446396837,-3.3166677125177277,4.101378338255408,4.407285172683588,0.24382047144311178,0.9684478549977088,0.22689704904915461,1.3486983059886961,2.5622721820578787,6.779134984983961,7.0,3.015781093329536,6.743491529943481,5.0
The Industrial Revolution began in the late 18th century.,Industrial Revolution,0.9899130569229166,0.0,1.0,0.9899130569229166,-0.9794273894610038,0.6137200341064033,0.03475700841407332,-3.3593740463256836,0.8885750323462946,-0.11900440976023674,2.662930982935957,0.17286117541849652,1.4445765566246924,1.4414793497895275,-11.753128673532046,-3.3928360017420185,-0.8869749907430055,0.6751664705064883,0.03475700841407332,-3.3593740463256836,0.9670663306079353,-0.0334881916642189,2.427774491874126,0.1725721908150518,1.5954694349972844,0.7966728474308654,-7.982774916687049,-2.6609249722290165,2.662930982935957,2.427774491874126,0.37552606748278233,0.6937317556064964,0.41189987099174424,1.2552203871700034,2.403157295068814,8.324781067277957,12.0,3.7656611615100104,11.296983484530031,9.0
The Industrial Revolution spread to other parts of the world.,Industrial Revolution,0.994626110782342,0.0,1.0,0.994626110782342,-1.8351360278320499,0.5290520690975868,4.834774995681965e-05,-9.937090873718262,0.5906627544885563,-0.5265100598335266,6.265986436017325,0.16351016559518305,7.9561295497226014,1.5424982456975376,-20.18649630615255,-6.086457643582114,-2.238706571590488,0.5356081207240442,4.834774995681965e-05,-9.937090873718262,0.5906627544885563,-0.5265100598335266,9.381189539829016,0.16311236764888798,11.421391031508339,0.895901708699389,-15.670946001133416,-5.923060846874448,6.265986436017325,9.381189539829016,0.15959179136614957,0.6482989544975379,0.10659628992190966,1.1161938751648706,2.1501643840480216,7.131288499472918,11.0,2.9531714086197223,7.813357126154093,7.0
The Industrial Revolution spread over the next century.,Industrial Revolution,0.9982558990148932,0.0,1.0,0.9982558990148932,-3.267001252317439,0.3363086759978289,4.8347796064849026e-05,-9.937089920043945,0.09203013597051818,-2.385639190673828,26.232556459418213,0.14274226398515147,10.404715582744778,1.135160262346588,-29.40301127085695,-9.801003756952317,-3.7475818407671926,0.3540440690197955,4.8347796064849026e-05,-9.937089920043945,0.019565613691118987,-3.9339816570281982,42.41838347377422,0.1726250221648005,12.155018248671064,0.5576244584728863,-26.233072885370348,-9.91516956853165,26.232556459418213,42.41838347377422,0.03812056981739469,0.8809328807307027,0.023574684325683097,1.793321624985041,2.6427986421921084,7.928395926576324,9.0,4.744683040464654,12.553251374895286,7.0
The introduction of new machinery sparked the Industrial Revolution.,Industrial Revolution,0.9927920934633626,0.0,1.0,0.9927920934633626,-2.8425981264037548,0.3316156852681452,2.977050850558401e-05,-10.421992301940918,0.10381693410980466,-2.2716134786605835,17.16029227751106,0.16482988545129781,9.134227877654082,1.2692282780861175,-28.425981264037546,-8.989084551963083,-3.411706219352449,0.3013333467321253,2.977050850558401e-05,-10.421992301940918,0.08927845183991781,-2.4159951210021973,30.31692748378261,0.15602320355095278,11.474468994473327,0.7994424257122594,-23.881943535467144,-9.02652620281896,17.16029227751106,30.31692748378261,0.058274065722675475,0.7878803342673001,0.03298487290755069,1.250871817453339,2.4914963799394787,7.8788033426730015,10.0,3.3094957510009193,8.756102722173374,7.0
