concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Sir Isaac Newton lived from 1643 to 1727.,Isaac Newton,0.9749676958448528,0.0229290411358845,1.0,0.9749676958448528,-1.4489265328380638,0.6452271011977928,0.001372587303625329,-6.591057777404785,0.9275012623488885,-0.07526112347841263,4.258540657111641,0.17884951421583983,4.851453039765511,0.9618638643424984,-18.83604492689483,-5.224178908527897,-1.28921040661887,0.6821115154794412,0.001372587303625329,-6.591057777404785,0.9340752968481605,-0.06819822639226913,3.62991926367972,0.16867581962928463,4.693713748652945,0.7947918979568669,-14.181314472807571,-4.27582719457631,4.258540657111641,3.62991926367972,0.23482222679500048,1.0396481633953163,0.27548822091053354,1.2581909837916714,3.748504761563776,13.51542612413911,13.0,4.172947407845106,13.840100821708385,11.0
Isaac Newton was an English mathematician.,Isaac Newton,0.9944150578017222,0.0,1.0,0.9944150578017222,-1.3655680929878145,0.49831071652772385,0.009675638801356901,-4.638144016265869,0.4989905658832198,-0.737656369805336,3.9179481787804025,0.1463300432399542,2.286911971164948,1.3636206429952624,-10.924544743902516,-3.862409834894662,-1.370502217313818,0.5400758440912796,0.009675638801356901,-4.638144016265869,0.5665115404589819,-0.6421239525079727,3.937327593100241,0.1641168311380211,2.7750924788550804,0.8426140079958991,-8.223013303882908,-3.3570311237717996,3.9179481787804025,3.937327593100241,0.2552356372184802,0.7333417876422352,0.2539793746784993,1.1867830234373067,2.074203803877159,5.866734301137882,8.0,2.90701284281889,7.120698140623839,6.0
Isaac Newton was a physicist.,Isaac Newton,0.9915506302792536,0.0,1.0,0.9915506302792536,-1.6346141611769174,0.3775517902106233,0.0336478657857337,-3.391805648803711,0.26705423878802426,-1.566724419593811,5.127479234756737,0.12563302571777937,1.6150236742209267,1.1610639654574346,-9.807684967061505,-4.003970621210988,-2.1320154689601623,0.2975645142506385,0.0336478657857337,-3.391805648803711,0.07956973919691852,-2.566861867904663,8.431843816869346,0.1638594188401087,1.6611562234506287,0.5139003347363276,-8.528061875840649,-4.2640309379203245,5.127479234756737,8.431843816869346,0.19502760600598376,0.8612789904353126,0.11859802217865195,1.9459026048564083,2.109694052745949,5.167673942611875,6.0,3.8918052097128166,7.783610419425633,4.0
Isaac Newton was an astronomer.,Isaac Newton,0.9821965941065876,0.0,1.0,0.9821965941065876,-1.6960529466242795,0.4177920857230696,0.015942583848031305,-4.138761520385742,0.10461708179238616,-2.257448434829712,5.452384013094441,0.17271659750724475,2.1465561999854406,0.9988198193086616,-11.872370626369957,-4.487334307166149,-1.834168361790944,0.4357027316037037,0.015942583848031305,-4.138761520385742,0.10046906145473973,-2.297905445098877,6.259925986447688,0.2118653890483177,2.609582773016318,0.47781283930425,-9.17084180895472,-4.101325139143978,5.452384013094441,6.259925986447688,0.18340601058149988,1.0011815751635318,0.15974629766628737,2.092869671430584,2.6488774651026263,7.0082710261447225,7.0,4.679798853366435,10.464348357152918,5.0
Isaac Newton was a scientist.,Isaac Newton,0.9915951717339592,0.0,1.0,0.9915951717339592,-1.511694760643877,0.38502688737351326,0.04457558460445895,-3.1105690002441406,0.26705423878802426,-1.566724419593811,4.534409024052878,0.12093036180061639,1.3003717396687096,1.2395428627880964,-9.070168563863263,-3.7028808104162487,-1.9476363681606017,0.3087771599949734,0.04457558460445895,-3.1105690002441406,0.09653117127622579,-2.338721990585327,7.012093969154159,0.15855725313495556,1.3612672490829518,0.5923792320669896,-7.790545472642407,-3.8952727363212034,4.534409024052878,7.012093969154159,0.2205359054940736,0.8067490282269916,0.1426107528505677,1.6881077962687834,1.9761234696423124,4.84049416936195,6.0,3.3762155925375668,6.7524311850751335,4.0
Isaac Newton was widely recognized.,Isaac Newton,0.9902305571075566,0.0,1.0,0.9902305571075566,-3.4614654993250347,0.35279553499346744,0.0001362715752582209,-8.900860786437988,0.2387319015080455,-1.636715441942215,31.863638455444665,0.13529828272280922,13.35869464644968,0.8895719103974127,-20.768792995950207,-8.478824235594525,-4.064942278293893,0.29507202669005433,0.0001362715752582209,-8.900860786437988,0.10046886982539548,-2.2979073524475098,58.261545469687405,0.14236591880224586,13.845328239211852,0.6047321622456855,-20.324711391469464,-9.089487258878012,31.863638455444665,58.261545469687405,0.03138373545752827,1.1241362146352554,0.017163979979217762,1.653624633236769,2.7535601272401666,6.744817287811532,6.0,3.6976170891855737,8.268123166183846,5.0
Isaac Newton was one of the most influential scientists in history.,Isaac Newton,0.9932089252810612,0.0,1.0,0.9932089252810612,-0.9812436756910756,0.6433918302123582,0.005484388663536452,-5.205849647521973,0.7432275101616077,-0.29771439731121063,2.667772022838111,0.12706053398111108,2.3269276550576303,1.696059665082374,-11.774924108292907,-3.3991278018051623,-1.366455316747306,0.5515888596542118,0.005484388663536452,-5.205849647521973,0.7432275101616077,-0.29771439731121063,3.9214258179870147,0.1513751823755763,3.0241751353239374,1.1356521341036825,-10.931642533978447,-3.8649192826417265,2.667772022838111,3.921425817987015,0.3748446236932005,0.5896018993833169,0.25500928652357624,0.8805513325515419,2.042440891942036,7.075222792599802,12.0,2.490575273720184,7.0444106604123355,8.0
Isaac Newton made major contributions to the field of mathematics.,Isaac Newton,0.9946065318595192,0.0,1.0,0.9946065318595192,-1.2920114977063017,0.5164071534700663,0.020083878152204974,-3.9078378677368164,0.45503280590609096,-0.7873857617378235,3.640101251858062,0.16691295701521616,1.8428109081923525,1.6242954214576604,-14.21212647476932,-4.28511736271693,-1.754567278752802,0.35563456744789756,0.020083878152204974,-3.9078378677368164,0.17576366071028565,-1.8399879932403564,5.780945662627257,0.1333629892371006,1.7477544351231193,1.470165793668092,-14.036538230022416,-4.962665683416534,3.640101251858062,5.780945662627257,0.27471763305747543,0.6156515537688269,0.17298207911982547,0.6801953931365665,2.0418852054505114,6.772167091457096,11.0,1.9238831000748633,5.441563145092532,8.0
Isaac Newton made major contributions to the field of optics.,Isaac Newton,0.996654184955454,0.0,1.0,0.996654184955454,-1.359850231552793,0.5029780514313753,0.020083878152204974,-3.9078378677368164,0.45503280590609096,-0.7873857617378235,3.895609818669158,0.17570731042574686,1.863792487005545,1.522015871774242,-14.958352547080722,-4.510112989138523,-1.847845537791727,0.33716955214469746,0.020083878152204974,-3.9078378677368164,0.09134585438664866,-2.3981149196624756,6.346132281405244,0.13942490043861677,1.6879383554417167,1.367886243984673,-14.782764302333817,-5.2264964414313315,3.895609818669158,6.346132281405244,0.2566992195182489,0.6570233717959074,0.1575762930328592,0.7310549429073758,2.1791000027411993,7.227257089754982,11.0,2.0677356301989995,5.848439543259007,8.0
Isaac Newton made major contributions to the field of physics.,Isaac Newton,0.9948903489067612,0.0,1.0,0.9948903489067612,-1.2137188731893813,0.5370857130943011,0.020083878152204974,-3.9078378677368164,0.46536813745464817,-0.7649264931678772,3.3659790548634683,0.1592157105216045,1.7888119892413081,1.658520921547155,-13.350907605083194,-4.0254501033421235,-1.646914920042036,0.38406758693122045,0.020083878152204974,-3.9078378677368164,0.27775090972673017,-1.5426458418369293,5.190940631894828,0.13170129274163347,1.7699357186582578,1.5043912937575863,-13.175319360336289,-4.658178831996097,3.3659790548634683,5.190940631894828,0.2970903810453337,0.6029468709186663,0.1926433128238213,0.6647206774922598,1.9997485393560661,6.63241558010533,11.0,1.8801139945987722,5.317765419938079,8.0
