concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
A fatwa is an Islamic decree.,Osama bin Laden,0.9984210387730134,0.0,1.0,0.9984210387730134,-3.0089417658746243,0.2419744144340415,0.0005448139777197719,-7.515066146850586,0.16284655469150577,-1.8208303451538086,20.265942461837348,0.07310299618104271,6.462761261556649,1.5034123076946315,-24.071534126996994,-8.510572507381486,-2.8335393846035,0.32163902312431775,0.0005448139777197719,-7.515066146850586,0.2179730222431666,-1.5233839750289917,17.005543592972764,0.09646330583291304,7.623585268116537,0.9022627681681106,-14.167696923017502,-6.335986680896347,20.265942461837348,17.005543592972764,0.049343868506638314,0.6651535276662885,0.05880435368224466,1.1083245760326874,1.8813382797719462,5.321228221330308,8.0,2.478289093142723,5.541622880163437,5.0
Abdullah Azzam was an Islamist ideologue who influenced Osama bin Laden.,Osama bin Laden,0.997443539525021,0.0,1.0,0.997443539525021,-2.203026650706306,0.4823278521906724,8.407775012648317e-06,-11.68635368347168,0.4403793672297338,-0.8201187252998352,9.052370441987494,0.18821802527461468,9.177432484821429,1.6807393456017383,-33.04539976059459,-8.532285529436628,-1.936764541217902,0.5638363118633445,8.407775012648317e-06,-11.68635368347168,0.7314381398413432,-0.33836153894662857,6.936272602223126,0.19195337329117235,10.281203604257184,1.204282354740425,-23.241174494614825,-6.709149175374467,9.052370441987494,6.936272602223126,0.11046830290569118,0.5949762541210577,0.14416965095626327,0.8303700507307883,2.3043331235997284,8.924643811815864,15.0,2.8764862338985426,9.96444060876946,12.0
Al-Qaeda carried out a series of coordinated attacks.,Osama bin Laden,0.9992843673872496,0.0,1.0,0.9992843673872496,-3.0861575387069022,0.3571956532689559,0.00016990353353809362,-8.680279731750488,0.10171229715768035,-2.70804500579834,21.89279393708529,0.1667184314889672,8.525888729524286,1.036322827802027,-30.861575387069024,-9.759287040413067,-3.3561915176542243,0.3196715558459079,0.00016990353353809362,-8.680279731750488,0.10171229715768035,-2.70804500579834,28.67975627618163,0.14154554123093122,9.290329731974595,0.9599529324790966,-26.849532141233794,-9.49274312437629,21.89279393708529,28.67975627618163,0.04567713024083465,0.9649502772422129,0.03486779979474561,1.0417177406995164,3.0514407048963346,9.64950277242213,10.0,2.946422714123831,8.333741925596131,8.0
Al-Qaeda is a militant Islamist organization.,Osama bin Laden,0.9967365987072716,0.0,1.0,0.9967365987072716,-2.615335810929537,0.27243592560391383,0.00016990499183807778,-8.68027114868164,0.26659491854046613,-1.3238141536712646,13.67180674923512,0.05912445946725179,6.845704399745912,1.8236371613638005,-20.922686487436295,-7.397286747953175,-3.1178394506374993,0.25181078018673364,0.00016990499183807778,-8.68027114868164,0.14168917525575037,-2.4017576575279236,22.59750384037925,0.07623720094790992,8.109438489266749,1.0990922221928474,-18.707036703824997,-7.637115753981295,13.67180674923512,22.59750384037925,0.07314322227791478,0.5483546953233579,0.04425267529828273,0.9098417583238428,1.5509812942345185,4.386837562586863,8.0,2.2286480545700638,5.459050549943057,6.0
Bin Laden established al-Qaeda in Sudan.,Osama bin Laden,0.0024521968076447,0.9892869627471784,0.0,0.9892869627471784,-3.4474375127610983,0.3212117743725045,6.57645369399944e-05,-9.629429817199707,0.10987114471748351,-2.5862752199172974,31.419776288310867,0.1577760879397782,10.848222750030114,0.8932485832938218,-27.579500102088787,-9.75082577196103,-3.8056623798163076,0.311287573308603,6.57645369399944e-05,-9.629429817199707,0.029861274698548938,-3.511192798614502,44.95501754951706,0.1795276109399783,11.371368414163495,0.526061622486979,-26.639636658714153,-10.068836230868186,31.419776288310867,44.95501754951706,0.0318270884815953,1.119509192292851,0.022244458005127456,1.9009179861333678,3.1664501658837985,8.956073538342809,8.0,5.029356254038619,13.306425902933572,7.0
Bin Laden moved to Sudan in 1991.,Osama bin Laden,0.992553278255096,0.0010256031504407,1.0,0.992553278255096,-1.8455532290623524,0.5234154944939532,0.0001934328711668298,-8.550580024719238,0.6477734261459132,-0.4472411721944809,6.331601647690883,0.133410795487195,6.987966905716272,1.5839712380192703,-18.455532290623523,-5.836151746915492,-2.258620745575172,0.4481443090270171,0.0001934328711668298,-8.550580024719238,0.46930748227206465,-0.769288033246994,9.569880759598519,0.1383309933438104,7.881682094267731,1.2662540299593388,-18.068965964601375,-6.38834418129928,6.331601647690883,9.56988075959852,0.15793792086788927,0.6313245947890337,0.10449450992343949,0.789730951562785,1.9964236624162157,6.313245947890337,10.0,2.2336964446518013,6.31784761250228,8.0
Bin Laden was raised in a devoutly Islamic household.,Osama bin Laden,0.9922183381241532,0.0,1.0,0.9922183381241532,-2.1870653006692673,0.3707618433036117,0.0009145639533955301,-6.997063159942627,0.22924337158697078,-1.4729710817337036,8.909029390222624,0.12914066805476407,4.81451988631354,1.9318538643937868,-24.057718307361938,-7.2536749943257774,-2.875845306625706,0.2353614362668283,0.0009145639533955301,-6.997063159942627,0.14319194297890078,-2.0781590938568115,17.74041387449117,0.09735313416519384,4.849574240168986,1.3228626660193523,-23.00676245300565,-8.13411887183417,8.909029390222624,17.74041387449117,0.11224567303565842,0.5176374975515028,0.05636847071746695,0.755936368670163,1.7168093567968468,5.694012473066531,11.0,2.138110929728825,6.047490949361304,8.0
Bin Laden went into hiding.,Osama bin Laden,0.9842931368415512,0.0,1.0,0.9842931368415512,-3.8994542274352475,0.3203708836397888,0.0005594481408445294,-7.488559722900391,0.009017218274424315,-4.729133367538452,49.37549396053519,0.19957152447573823,8.324696454823073,0.1931651895170431,-23.396725364611484,-9.551673132555141,-3.692869033035822,0.3830031957244527,0.0005594481408445294,-7.488559722900391,0.010825113332379253,-4.525886535644531,40.159901915438084,0.21594899026846148,9.733571090517398,0.1576060664328214,-18.46434516517911,-8.257506189872014,49.37549396053519,40.15990191543808,0.02025296194098391,5.176916205762682,0.024900459221878345,6.34493343202778,12.680803145263695,31.06149723457609,6.0,14.187702466725158,31.724667160138903,5.0
He believed it was a threat to Saudi Arabia's sovereignty.,Osama bin Laden,0.9926367897419346,0.0,1.0,0.9926367897419346,-3.4445543995437524,0.26465765483312637,0.0002980333376823202,-8.118305206298828,0.0489766588484294,-3.033066153526306,31.329319976560626,0.14482584022493208,7.223103211791035,1.210003574686262,-41.33465279452503,-11.932286458889372,-4.24696032433874,0.1504061862827941,0.0002980333376823202,-8.118305206298828,0.012821011854431057,-4.356669902801514,69.89263817711685,0.0886095461966327,6.505216475209136,0.833918700738513,-38.22264291904867,-12.740880973016223,31.329319976560623,69.89263817711685,0.03191898198710221,0.826443839440133,0.014307658518567757,1.1991576626287508,2.8628854390252116,9.917326073281597,12.0,3.597472987886252,10.792418963658758,9.0
He believed that the Western-backed government of Afghanistan was un-Islamic.,Osama bin Laden,0.966311667154288,0.0107347514624148,1.0,0.966311667154288,-2.792388147009027,0.3780727114242091,0.0003301830307643437,-8.015863418579102,0.2060487968315626,-2.253509521484375,16.319947734844128,0.1524476428997207,7.326846437847351,1.684194824019308,-39.09343405812638,-10.448159736996324,-3.476507343351531,0.27581302334524965,0.0003301830307643437,-8.015863418579102,0.023940733991891075,-3.7321739196777344,32.346549163856224,0.14513291483833787,7.140828596262704,1.0440599929579668,-38.24158077686684,-11.530270438812279,16.319947734844128,32.346549163856224,0.061274706037503804,0.5937555357244916,0.030915198865089203,0.9577993666502451,2.2216297861814627,8.312577500142883,14.0,3.176661123618904,10.535793033152697,11.0
