concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Pablo Picasso was born in 1881.,Pablo Picasso,0.998049363868329,0.0,1.0,0.998049363868329,-1.2112606261442933,0.480357302753562,0.060577972147310394,-2.803823947906494,0.4015511835786081,-0.9124202728271484,3.3577148087390514,0.13789539495084524,1.2036440454120618,1.7151437332290989,-10.90134563529864,-3.6337818784328797,-1.5127207874320447,0.37190556886700066,0.060577972147310394,-2.803823947906494,0.17790895558307152,-1.7264833450317383,4.539063836752971,0.12215689673242168,1.1355819020996691,1.4646309236249142,-10.589045512024313,-4.002283006622992,3.357714808739052,4.539063836752971,0.29782160098806537,0.5830415146124817,0.2203097457900817,0.6827658653587843,1.749124543837445,5.247373631512335,9.0,1.8064286834231533,4.7793610575114895,7.0
Pablo Picasso died in 1973.,Pablo Picasso,0.9956920569226524,0.0,1.0,0.9956920569226524,-1.3519957049866207,0.49051293301100624,0.01015967560615945,-4.589328765869141,0.5235358484932767,-0.6679241061210632,3.865131500928077,0.12663504508978332,2.2507038283274077,1.51734792414529,-10.815965639892966,-3.8240213245245056,-1.4789404169922429,0.47070738103357684,0.01015967560615945,-4.589328765869141,0.4179199001335414,-0.8724654912948608,4.388293455466035,0.14158768670384997,2.4433132674103715,1.2258098526306802,-10.3525829189457,-3.9129085472436387,3.865131500928077,4.388293455466035,0.25872340947775896,0.6590446291764573,0.22787901724174928,0.8157872102707648,1.8640597055809864,5.272357033411659,8.0,2.1583700811236013,5.710510471895354,7.0
Pablo Picasso was a Spanish artist.,Pablo Picasso,0.9979504558897416,0.0,1.0,0.9979504558897416,-1.0192485135713858,0.5285203477810742,0.03978377580118744,-3.2242960929870605,0.7028215349276467,-0.35265228152275085,2.7711115285948678,0.10945303860249614,1.135462693215089,1.4799021844100857,-7.134739594999701,-2.696678091082129,-1.3046648357994854,0.4449630073161437,0.03978377580118744,-3.2242960929870605,0.28850752090632215,-1.2430341243743896,3.6864533194433933,0.1283192049094744,1.3036475838281234,1.0322839096786498,-6.523324178997427,-2.9173192607012504,2.771111528594868,3.686453319443393,0.36086602422207975,0.6757203351237819,0.27126343760430066,0.9687257455279916,1.7877879625667505,4.730042345866473,7.0,2.166136618554752,4.843628727639958,5.0
Pablo Picasso is widely regarded as one of the most influential artists of the 20th century.,Pablo Picasso,0.9967373115735418,0.0,1.0,0.9967373115735418,-0.6842943688128511,0.7440987213807393,0.008936414350532133,-4.717620849609375,0.9922729448851618,-0.007757063489407301,1.9823725180209193,0.13033626466481393,1.5778329357860728,1.742742930793514,-13.001593007444171,-2.9827700012891687,-0.8163453686619715,0.6974548503753035,0.008936414350532133,-4.717620849609375,0.8574959853077898,-0.15373878180980682,2.262217141991381,0.13149344916014877,1.8933424649211346,1.497891679168159,-10.61248979260563,-2.943375085198292,1.9823725180209195,2.262217141991381,0.5044460568886111,0.57380809431525,0.44204421469449284,0.6676050170432493,2.501171496105831,10.90235379198975,19.0,2.4070841207064455,8.67886522156224,13.0
Pablo Picasso is widely regarded as one of the most innovative artists of the 20th century.,Pablo Picasso,0.9982579147950652,0.0,1.0,0.9982579147950652,-1.1108822234811286,0.6575001519296093,0.003925433708963273,-5.540278434753418,0.9800515319998238,-0.02015012502670288,3.0370365578570295,0.17472526301902488,2.864895577378822,1.6603509864989434,-21.106762246141443,-4.842223350330006,-1.438219431807878,0.5724682739170149,0.003925433708963273,-5.540278434753418,0.7765823965392051,-0.25285252928733826,4.213187267002604,0.18081846388328,3.4915854438861738,1.395209748452673,-18.696852613502415,-5.185573906751989,3.037036557857029,4.213187267002604,0.3292683446344855,0.602282293401484,0.23735000051669483,0.7167381113191247,2.6252876524209827,11.443363574628195,19.0,2.584236011440321,9.317595447148621,13.0
Pablo Picasso is best known for his pioneering work in Cubism.,Pablo Picasso,0.9998566603941031,0.0,1.0,0.9998566603941031,-1.4015418543914655,0.5964196051065073,0.0022466463866866442,-6.098316669464111,0.8084970473691174,-0.21257825195789337,4.061457317443934,0.17804625113993597,3.8637964732917505,1.337118262772938,-18.220044107089052,-5.053331020717313,-1.5793937317008386,0.5718668183777142,0.0022466463866866442,-6.098316669464111,0.7728826548049061,-0.25869085639715195,4.852013297501779,0.1776144115680885,4.522015267036041,1.056908966327044,-15.793937317008385,-4.994481514367532,4.061457317443934,4.852013297501779,0.24621704029856628,0.7478770037335243,0.20610001223922517,0.9461552809748477,2.696508884701595,9.722401048535815,13.0,2.9920057080770968,9.461552809748476,10.0
Cubism is a style of art.,Pablo Picasso,0.9989451190784704,0.0,1.0,0.9989451190784704,-2.4893538989126682,0.47401285136108784,1.5838645753492362e-05,-11.053057670593262,0.5715236876636774,-0.5606240928173065,12.053485833756042,0.11572929527515982,13.30131909205124,1.469097467194063,-19.914831191301346,-7.040956090777276,-3.534515215456486,0.4264430619092649,1.5838645753492362e-05,-11.053057670593262,0.5992100494550034,-0.512143075466156,34.27839305046417,0.1326742208635662,18.161878923493713,0.7101671619255505,-17.67257607728243,-7.9034162892680175,12.053485833756042,34.27839305046417,0.08296355210369757,0.6806900306689476,0.02917289613103549,1.4081191775871407,1.9252821462883674,5.445520245351581,8.0,3.148650201505945,7.040595887935704,5.0
Cubism emphasizes geometric shapes.,Pablo Picasso,0.9971650343262728,0.0,1.0,0.9971650343262728,-4.919126684466998,0.2703320311755743,1.5838721278220733e-05,-11.05305290222168,0.029274457773237724,-3.54651415348053,136.88301890568394,0.1367234088143634,20.009210242317085,0.5688139109567861,-29.514760106801987,-12.049350357052935,-4.919126684466998,0.2703320311755743,1.5838721278220733e-05,-11.05305290222168,0.029274457773237724,-3.54651415348053,136.88301890568394,0.1367234088143634,20.009210242317085,0.5688139109567861,-29.514760106801987,-12.049350357052935,136.88301890568394,136.88301890568394,0.007305508075395581,1.7580442052092708,0.007305508075395581,1.7580442052092708,4.306311248019513,10.548265231255625,6.0,4.306311248019513,10.548265231255625,6.0
Cubism emphasizes fragmented forms.,Pablo Picasso,0.9988987346382662,0.0,1.0,0.9988987346382662,-5.674932556847732,0.2947984936888022,1.5838721278220733e-05,-11.05305290222168,0.006990790143231082,-5.943037509918213,291.4686803158329,0.17017014106532066,20.438330914629372,0.2903012963533001,-34.04959534108639,-13.900689088984834,-5.674932556847732,0.2947984936888022,1.5838721278220733e-05,-11.05305290222168,0.006990790143231082,-5.943037509918213,291.4686803158329,0.17017014106532066,20.438330914629372,0.2903012963533001,-34.04959534108639,-13.900689088984834,291.4686803158329,291.4686803158329,0.0034309003592303943,3.444696984001711,0.0034309003592303943,3.444696984001711,8.43774992930834,20.668181904010265,6.0,8.43774992930834,20.668181904010265,6.0
"Picasso was born in Málaga, Spain.",Pablo Picasso,0.9988202304759064,0.0,1.0,0.9988202304759064,-1.2856552837368327,0.5374096497077698,0.02925453606228967,-3.5317206382751465,0.6042759503978608,-0.5070176869630814,3.6170373665767874,0.17058202548377108,1.9802182768065424,1.3361255575178876,-12.856552837368326,-4.065598982438424,-1.5489255699734485,0.46992866022238816,0.02925453606228967,-3.5317206382751465,0.3364993517011521,-1.3639849126338959,4.70641075604398,0.1845227170702485,2.11938118212261,1.0201508147255614,-12.391404559787588,-4.381023096325855,3.617037366576787,4.70641075604398,0.2764693583871967,0.7484326561776828,0.21247614197630293,0.9802472198868142,2.366751868771168,7.484326561776828,10.0,2.7725578256849084,7.8419777590945134,8.0
