concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
World War II was a global conflict.,World War II,0.9933631100894188,0.0,1.0,0.9933631100894188,-1.647431977209635,0.4852461925670384,0.00553995273417027,-5.195769309997559,0.4230299312464894,-0.8697792589664459,5.193625338968835,0.13824920103499777,3.7927426251843306,1.3706388068119597,-13.17945581767708,-4.659641290513979,-1.8597871861420572,0.520899283974091,0.00553995273417027,-5.195769309997559,0.5619440562908571,-0.6418116539716721,6.422369856678757,0.17573346677888177,4.850774860846272,0.6633938831341685,-11.158723116852343,-4.555529636214558,5.193625338968835,6.422369856678757,0.19254373096511124,0.7295868138491951,0.15570576318647844,1.5074000912935075,2.063583134148213,5.836694510793561,8.0,3.6923610618938727,9.044400547761045,6.0
World War II lasted from 1939.,World War II,0.99750735920122,0.0,1.0,0.99750735920122,-2.2079454119213753,0.5950983870063122,8.98583913593175e-06,-11.619860649108887,0.9140898460721778,-0.08982641249895096,9.097006577874334,0.1813470620496968,13.38997284942386,0.7944767633424982,-19.871508707292378,-6.623836235764126,-2.398669874877669,0.6062945499584415,8.98583913593175e-06,-11.619860649108887,0.9201736499900273,-0.08321473374962807,11.008523923770618,0.20288725822225323,14.736337068672142,0.4496302465859821,-19.18935899902135,-6.784462937415548,9.097006577874334,11.008523923770618,0.10992626986026283,1.258690053807025,0.09083869980431328,2.224049666571467,3.7760701614210745,11.328210484263224,9.0,6.290562403713457,17.792397332571735,8.0
World War II lasted until 1945.,World War II,0.9926909463060362,0.0,1.0,0.9926909463060362,-1.9459105366840959,0.4613963767471883,0.0018269016771711001,-6.305133819580078,0.5391615800967695,-0.6177399754524231,7.0000027134020035,0.1606397604675643,4.673568848582434,1.225281933692032,-17.513194830156863,-5.837731610052288,-1.9459105366840959,0.4613963767471883,0.0018269016771711001,-6.305133819580078,0.5391615800967695,-0.6177399754524231,7.0000027134020035,0.1606397604675643,4.673568848582434,1.225281933692032,-17.513194830156863,-5.837731610052288,7.000002713402004,7.000002713402004,0.14285708748161324,0.816138696329905,0.14285708748161324,0.816138696329905,2.4484160889897146,7.345248266969144,9.0,2.4484160889897146,7.345248266969144,9.0
World War II was the deadliest war in human history.,World War II,0.9849071433150072,0.0,1.0,0.9849071433150072,-1.1762206520890521,0.5444445746036772,0.009411535435392143,-4.66581916809082,0.480965058840261,-0.731960654258728,3.242098003171641,0.14372330725701563,2.0187648144891104,1.869428876146191,-12.938427172979573,-3.901082573646544,-1.2358895020333875,0.5521745081874355,0.009411535435392143,-4.66581916809082,0.5033649157393044,-0.6966310739517212,3.441438326040635,0.14731190957876528,2.416319316715666,1.2795412892194722,-9.8871160162671,-3.495623390740295,3.242098003171641,3.441438326040635,0.30844224913057283,0.5349227310864535,0.29057617927748747,0.7815300752115674,1.774137990845947,5.884150041950989,11.0,2.210500863533327,6.252240601692539,8.0
An estimated 50-80 million fatalities occurred during World War II.,World War II,0.995769121093258,0.0,1.0,0.995769121093258,-1.6579902941094977,0.5144458343052719,0.0006169722492384907,-7.390686511993408,0.5617712061788813,-0.5767344534397125,5.248751790313405,0.1660755584689003,4.479339575806522,1.9038300599864275,-23.21186411753297,-6.203631631154302,-1.2170136619645815,0.5539711313865052,0.011055143906010539,-4.504859447479248,0.5685975731608833,-0.564582347869873,3.377087534869478,0.15697911389700994,2.1014586971906515,1.899270211505706,-15.82117760553956,-4.388005161153497,5.248751790313405,3.377087534869478,0.19052148776505387,0.5252569654284843,0.29611314177518033,0.5265180246296911,1.965331604649953,7.35359751599878,14.0,1.898387735258363,6.844734320185984,13.0
The war was fought between two main alliances.,World War II,0.9968080199351346,0.0,1.0,0.9968080199351346,-1.8833337624867756,0.26330429983310205,0.003658657059751162,-5.610659122467041,0.20372235458492868,-1.5909972190856934,6.575389149096548,0.03295946815610349,2.1365191738736127,2.5047015050344226,-16.95000386238098,-5.650001287460327,-1.949917236963908,0.28292972161578595,0.003658657059751162,-5.610659122467041,0.2802862870510981,-1.3107181787490845,7.028105889136989,0.036055849165163946,2.9346870453507843,1.6575713923361832,-11.699503421783447,-4.776302271219208,6.575389149096548,7.028105889136989,0.1520822535860709,0.39924917120463693,0.14228584710791747,0.6032922651920282,1.1977475136139109,3.593242540841733,9.0,1.4777582154883018,3.619753591152169,6.0
One of the alliances was the Allies.,World War II,0.9989347702604318,0.0,1.0,0.9989347702604318,-3.490147303789854,0.27595188527124986,0.00022225567959664603,-8.41168212890625,0.057165847442094075,-2.862145781517029,32.79077755630185,0.12649174282355688,9.571012141558457,1.0209249092910508,-27.921178430318832,-9.871627303399004,-5.928516328334808,0.01846775996059845,0.00022225567959664603,-8.41168212890625,0.007488451328850964,-6.233294248580933,375.5968378371743,0.0005737018797256563,6.0081270972389795,0.2324917664077634,-23.714065313339233,-11.857032656669617,32.79077755630185,375.5968378371743,0.030496379608046728,0.9795039683128297,0.0026624292306569202,4.301227589479951,2.7704555927725405,7.836031746502638,8.0,8.602455178959902,17.204910357919804,4.0
The Allies consisted of the United States.,World War II,0.9887282001817186,0.0016844166110898,1.0,0.9887282001817186,-2.7870907871983945,0.4715404740965775,7.019933000427783e-05,-9.56417179107666,0.4579455622446316,-0.9281486421823502,16.233723681155308,0.1661177910609936,12.949209312012265,1.0057416183226116,-22.296726297587156,-7.88308318164215,-3.850885797291994,0.4215159805086463,7.019933000427783e-05,-9.56417179107666,0.2267226661749124,-1.4840277433395386,47.0347080014215,0.18623341723094083,16.974210016064568,0.4554838463882012,-19.25442898645997,-8.610842416333375,16.233723681155308,47.0347080014215,0.061600161468858564,0.9942911596596873,0.021260895251433848,2.1954675405716073,2.8122800858768042,7.954329277277498,8.0,4.909214663112392,10.977337702858039,5.0
The Allies consisted of Great Britain.,World War II,0.9980461589373576,0.0001395683657067,1.0,0.9980461589373576,-3.751849390133949,0.3169653395501366,4.846385077312283e-05,-9.9346923828125,0.07707302953351644,-2.563001871109009,42.599792830681146,0.1657724490326047,13.00194703896068,0.7022000506495673,-26.262945730937645,-9.92646044286378,-4.718583592167124,0.24863638898718382,4.846385077312283e-05,-9.9346923828125,0.01672906516803931,-4.090607643127441,112.00948913962571,0.14826584799027948,14.328531496151324,0.4084987043808587,-23.59291796083562,-10.551073669600834,42.599792830681146,112.00948913962571,0.023474292562281708,1.4240955965112139,0.008927815024256092,2.4479881803190797,3.7678027915508543,9.968669175578496,7.0,5.4738679793094756,12.2399409015954,5.0
The Allies consisted of France.,World War II,0.998887430065364,0.0,1.0,0.998887430065364,-3.846867725253105,0.21679292802346217,0.0001992589157610677,-8.520905494689941,0.08751229312136866,-2.443142056465149,46.84609833371671,0.09870823442112515,10.555030874485725,0.8619267951912344,-23.08120635151863,-9.422863034851138,-5.1027946174144745,0.08129555916029967,0.0001992589157610677,-8.520905494689941,0.049130155775262606,-5.203122615814209,164.48092687170097,0.008640484524036223,10.346512058034024,0.5682253592541237,-20.411178469657898,-10.205589234828949,46.84609833371671,164.48092687170097,0.021346494917811893,1.1601913359453357,0.006079732276679252,1.7598651375092478,2.841876777064012,6.9611480156720145,6.0,3.5197302750184956,7.039460550036991,4.0
