concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Alexander the Great lived from 356 BCE to 323 BCE.,Alexander the Great,0.9995785909177606,5.827006857271773e-05,1.0,0.9995785909177606,-0.6638854716016794,0.714538481916164,0.010611531017094585,-4.545814037322998,0.8856024496938057,-0.12156321480870247,1.9423245386793375,0.11172330684056883,1.303356589003148,2.6055316458017788,-13.277709432033589,-2.968986087551723,-0.6142585365262622,0.7320416855519332,0.010611531017094585,-4.545814037322998,0.9545449695486236,-0.046520523726940155,1.8482856550662377,0.10360588122411526,1.2775518964083146,2.196446760511001,-10.442395120946458,-2.532652827535103,1.9423245386793373,1.8482856550662377,0.5148470196849488,0.3837988310797424,0.5410419094358889,0.4552807825705509,7.675976621594848,20.0,7.739773303699365,17.0,1.716400551958526,1.8771707558522492
Alexander the Great was an ancient Macedonian ruler.,Alexander the Great,0.9982695580441548,0.0,1.0,0.9982695580441548,-1.321024651350204,0.5205699129739446,0.00439686421585243,-5.426863670349121,0.3614689759186561,-1.0175793766975403,3.747259044829316,0.16309091369780523,2.383265024182698,2.1749650058973184,-18.494345118902856,-4.942821644834962,-1.4269491802115226,0.4987768615421319,0.00439686421585243,-5.426863670349121,0.3433950183862555,-1.070305347442627,4.165970160601709,0.16587161579833692,2.6810710155500317,1.566248963737073,-14.269491802115226,-4.51240951477848,3.747259044829316,4.165970160601709,0.26686172160418364,0.4597775124144736,0.2400401254567713,0.6384680999973327,6.43688517380263,14.0,6.384680999973327,10.0,1.7203299255981628,2.0190134093517162
Alexander the Great became one of the most successful military commanders in history.,Alexander the Great,0.9986200048702016,0.0,1.0,0.9986200048702016,-1.1872825972495775,0.5382032054252208,0.004548626176591521,-5.392930030822754,0.44655770501628855,-0.8124462962150574,3.278161009243893,0.10416202230539734,2.688527348624817,3.407069882838957,-18.99652155599324,-4.74913038899831,-1.523351668782804,0.4353029469157652,0.004548626176591521,-5.392930030822754,0.36685860067846376,-1.002875804901123,4.587575489778309,0.09111416312633064,3.123761058128198,2.884971648530776,-18.280220025393646,-5.277044976253305,3.278161009243893,4.587575489778309,0.30504908001167697,0.29350733456830225,0.21798006424703525,0.3466238569482193,4.696117353092836,16.0,4.159486283378631,12.0,1.174029338273209,1.2007402626996042
Alexander the Great is known for his conquests.,Alexander the Great,0.9932076341102974,0.0,1.0,0.9932076341102974,-1.459404482929544,0.4153853214371325,0.025407747789777058,-3.672701120376587,0.3548631204868725,-1.0360231399536133,4.303396019323835,0.12374378258872526,1.5676728891299334,2.2542571376831235,-16.053449312224984,-4.84029708723993,-1.4427372014615685,0.39565169870549743,0.04749455901952276,-3.047140121459961,0.33994792999771606,-1.0799262523651123,4.2322645374919965,0.12125465128852547,1.2484922891362245,1.7112724153391952,-11.541897611692548,-4.080677034494308,4.303396019323835,4.2322645374919965,0.23237461658411895,0.4436051164188741,0.23628012642909874,0.5843604975083921,4.879656280607616,11.0,4.674883980067137,8.0,1.4712717262433312,1.652821081782915
Alexander the Great conquered the Persian Empire.,Alexander the Great,0.994913825611313,0.0,1.0,0.994913825611313,-0.9304810722189193,0.55233142363074,0.0461120645069161,-3.0766806602478027,0.4414599041763392,-0.817668080329895,2.5357287529001757,0.12140024026507872,0.9358873129192034,2.2127239416604665,-10.235291794408113,-3.086056591077741,-1.0342661780305207,0.5264066521919416,0.0461120645069161,-3.0766806602478027,0.3617519261693525,-1.016796588897705,2.813041206596446,0.1331768307970066,1.0567372346984798,1.7538304395554625,-9.308395602274686,-3.102798534091562,2.535728752900176,2.813041206596446,0.3943639471912267,0.45193165815776487,0.355487149514571,0.5701805473586528,4.971248239735414,11.0,5.131624926227875,9.0,1.498887740992465,1.7105416420759583
Alexander the Great conquered much of Asia.,Alexander the Great,0.9885658910306648,0.0,1.0,0.9885658910306648,-1.3626790329348295,0.493202458207766,0.016698222490320398,-4.0924530029296875,0.34339195347605167,-1.0703140497207642,3.9066453263788636,0.15968018103697298,1.9871387718148958,1.60541594709611,-13.626790329348296,-4.3091694638296625,-1.6877621701569296,0.38135558492426713,0.016698222490320398,-4.0924530029296875,0.3007416480042708,-1.2047762870788574,5.407366389419522,0.13656622156140913,1.9549787874568514,1.4922624010652072,-13.502097361255437,-4.773712302192354,3.906645326378864,5.407366389419522,0.2559740945121622,0.6228915327574817,0.18493290966128698,0.6701234308967241,6.228915327574817,10.0,5.360987447173793,8.0,1.9697559787470245,1.8953952888762737
Alexander the Great lived during the 4th century BCE.,Alexander the Great,0.9991961742411566,0.0,1.0,0.9991961742411566,-1.2432395342205251,0.48920092797395004,0.010611531017094585,-4.545814037322998,0.4641104755183433,-0.7925643026828766,3.4668261950403267,0.11288585043503338,1.7875915974977072,2.928386315994937,-17.405353479087353,-4.651776386745622,-1.4309002148608367,0.42250625119268537,0.010611531017094585,-4.545814037322998,0.34339291906913294,-1.0703113079071045,4.182462612724295,0.10055436215464625,1.8389970191693303,2.71989921254772,-17.17080257833004,-4.956783745400385,3.4668261950403267,4.182462612724295,0.28844826470695567,0.3414849996183799,0.23909358973292494,0.36766068219980236,4.780789994657319,14.0,4.4119281863976285,12.0,1.2777198712946076,1.273613963030984
Alexander was born in 356 BCE.,Alexander the Great,0.9978137060297924,0.0,1.0,0.9978137060297924,-1.3314214510222275,0.3654408913602225,0.024853480856324637,-3.6947574615478516,0.32103387875277634,-1.1362862586975098,3.7864217772102573,0.06062197991292447,0.8860179686633881,3.3776548633925856,-15.977057412266731,-4.612179198915152,-1.201778458058834,0.35928593644612083,0.10341578497566177,-2.2689976692199707,0.32103387875277634,-1.1362862586975098,3.326026865168713,0.044937100574894126,0.37404968836247565,3.082791140190615,-12.01778458058834,-3.8003571703910524,3.786421777210257,3.326026865168713,0.26410158689103447,0.29606340506785217,0.30065902668205746,0.32438136562769804,3.5527608608142263,12.0,3.2438136562769806,10.0,1.02559371967873,1.0257839458993805
Alexander was born in Pella.,Alexander the Great,0.9919469489582916,0.0,1.0,0.9919469489582916,-2.122869416314643,0.3387730649786702,0.001384318020420079,-6.582547664642334,0.22846039421999811,-1.5747946500778198,8.355077319760941,0.11560615061907498,4.068441350667449,1.5446235847670824,-16.982955330517143,-6.004381439398448,-2.170613501453772,0.3196252202328984,0.001384318020420079,-6.582547664642334,0.22846039421999811,-1.5747946500778198,8.763658909308635,0.10670476082663982,4.434919960599259,1.249761579943192,-13.023681008722633,-5.316895507357694,8.355077319760941,8.763658909308635,0.11968770146924415,0.6474069215709874,0.11410759025979594,0.8001526179461006,5.1792553725679,8.0,4.800915707676603,6.0,1.8311432977198103,1.9599656303200803
Pella was the capital of the Kingdom of Macedon.,Alexander the Great,0.9909993753254766,0.0,1.0,0.9909993753254766,-1.883020110286972,0.46061506306248196,5.001189201075211e-05,-9.903249740600586,0.4425303910303199,-0.816391110420227,6.573327087227394,0.12362231436957696,7.027232699296474,2.7075486175246315,-26.362281544017605,-7.04561610509913,-2.7419071316107875,0.3652659068048101,5.001189201075211e-05,-9.903249740600586,0.2525299812214265,-1.4797793626785278,15.516548997337328,0.13366812045692078,10.147637335514398,1.3355670567039035,-21.9352570528863,-7.755284504582972,6.573327087227394,15.516548997337328,0.15212996200099277,0.3693377816108237,0.06444732009492588,0.7487456320373294,5.1707289425515315,14.0,5.989965056298635,8.0,1.3819354387788392,2.1177724551896127
