concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
The American Civil War was significant.,American Civil War,0.989755844486945,0.0,1.0,0.989755844486945,-2.4253924377262592,0.39038911327455195,0.00010854202355959338,-9.128373146057129,0.31038676957740885,-1.1700568795204163,11.30666571092171,0.12705551525482445,8.61084981462946,1.4725859959901628,-19.403139501810074,-6.860045759019235,-2.761609668533007,0.42131108627580294,0.00010854202355959338,-9.128373146057129,0.31038676957740885,-1.1700568795204163,15.82529593822338,0.15565874415980255,10.882850040233293,0.8577521580654922,-16.569658011198044,-6.764534556642454,11.30666571092171,15.82529593822338,0.08844340370247675,0.6790774886648319,0.06318997154325978,1.165837929519551,5.432619909318655,8.0,6.995027577117305,6.0,1.9207211887441342,2.8557080501057173
The American Civil War was transformative.,American Civil War,0.991860151446283,0.0,1.0,0.991860151446283,-2.248871246145831,0.4476182642834692,3.581031137716271e-06,-12.539859771728516,0.3152108941081508,-1.1545133590698242,9.47703255978465,0.12083018342593005,13.807534204125268,1.8584197467727777,-20.23984121531248,-6.746613738437493,-2.4866225283060754,0.49047404066076794,3.581031137716271e-06,-12.539859771728516,0.3152108941081508,-1.1545133590698242,12.020608217759683,0.13858207418438181,17.3729367359136,1.243586152468137,-17.40635769814253,-6.578984814388546,9.47703255978465,12.020608217759683,0.10551826151188441,0.5380915703982059,0.0831904660633198,0.804126033419805,4.842824133583853,9.0,5.6288822339386355,7.0,1.6142747111946176,2.127517507181618
The American Civil War was an event in the history of the United States.,American Civil War,0.9953037360945998,0.0,1.0,0.9953037360945998,-1.243128874048125,0.4591536356586821,0.02428464539700865,-3.7179110050201416,0.310386613524886,-1.1700575351715088,3.466442576681931,0.1292000716682593,1.2305711845298803,3.307050556781626,-19.89006198477,-4.9725154961925,-1.0958397267386317,0.5130491782523627,0.04754405753920572,-3.046098470687866,0.3152131486802185,-1.1545062065124512,2.9916938342119477,0.14311407979902616,1.1030441204216097,1.677915945282139,-9.862557540647686,-3.287519180215895,3.466442576681931,2.991693834211948,0.28848018620784344,0.3023842492971095,0.3342588030113093,0.5959774104368807,4.838147988753752,16.0,5.363796693931926,9.0,1.209536997188438,1.787932231310642
The American Civil War took place from 1861 to 1865.,American Civil War,0.9975781696745696,0.0,1.0,0.9975781696745696,-0.6084297747991514,0.705683909490941,0.04113960576750377,-3.190783977508545,0.8765656844657517,-0.13187462091445923,1.837543774722184,0.11046675858549482,0.8382475736143202,2.812726107138669,-12.168595495983027,-2.7209806719715814,-0.4296800180488978,0.7742383710174634,0.04113960576750377,-3.190783977508545,0.9114733194501687,-0.09269295632839203,1.5367657075768635,0.08253942762311649,0.6133049577327166,2.1257981773922143,-7.304560306831263,-1.7716160996329084,1.837543774722184,1.5367657075768637,0.544204722497666,0.3555269734447341,0.6507172791985167,0.4704115426548782,7.110539468894683,20.0,7.99699622513293,17.0,1.5899649609143762,1.9395564778758105
It was a conflict between the Northern states.,American Civil War,0.0,0.9996893731045272,0.0,0.9996893731045272,-2.27840875685215,0.24750709471192764,0.003899129956996063,-5.547001838684082,0.22600990771291793,-1.4914763569831848,9.761135704800969,0.046517133219665316,3.0481154458519923,2.3779957512933385,-22.7840875685215,-7.204961112525562,-3.2318731943766275,0.1083267557256768,0.003899129956996063,-5.547001838684082,0.058848701795801955,-3.1419897079467773,25.327055061302687,0.013536072756674048,2.717042296192226,1.0529733837962931,-19.391239166259766,-7.916440239601455,9.761135704800967,25.327055061302687,0.10244709532192597,0.4205221979291269,0.03948346926160808,0.9496916212589268,4.205221979291268,10.0,5.69814972755356,6.0,1.3298079521161834,2.326259885080868
The Northern states were known as the Union.,American Civil War,0.992405901983591,0.0,1.0,0.992405901983591,-1.67131516225636,0.32245570324762846,0.019395989871090726,-3.9426889419555664,0.23539757247325804,-1.4539394974708557,5.31915875588232,0.0965888201353589,1.3462503737524751,2.30315130671909,-16.7131516225636,-5.285162600703977,-2.1469516356786094,0.17680087307057935,0.019395989871090726,-3.9426889419555664,0.2082973502607352,-1.6059489846229553,8.558728468141858,0.013394413863753568,1.15263960539425,1.5571955062441685,-12.881709814071655,-5.2589360098463205,5.31915875588232,8.558728468141858,0.187999652932736,0.4341877136263926,0.11683978569039764,0.6421801218858642,4.341877136263926,10.0,3.8530807313151847,6.0,1.373022107120327,1.5730136215786752
The Southern states seceded from the Union.,American Civil War,0.9881027911702656,0.0,1.0,0.9881027911702656,-1.461309977129779,0.48703830099116274,0.0089026612570319,-4.721405029296875,0.44696386508213104,-0.8052775263786316,4.311603933062469,0.14584692938738872,2.5707192210857728,1.849007569893968,-16.07440974842757,-4.846616896542308,-1.7064903139835224,0.4410096652269368,0.0089026612570319,-4.721405029296875,0.3810890705272153,-0.9798900783061981,5.509590571623365,0.14447874395809573,3.0053398125166004,1.3362784826311858,-13.651922511868179,-4.826683492187637,4.311603933062469,5.509590571623365,0.2319322496975539,0.5408306684527774,0.1815016900076763,0.7483470047582896,5.949137352980551,11.0,5.986776038066317,8.0,1.7937324023749635,2.1166449669809126
The Southern states formed their own government.,American Civil War,0.9927296984410724,0.0,1.0,0.9927296984410724,-2.167387809811367,0.2619154210867349,0.008284627767595022,-4.79335355758667,0.18684274170088352,-1.6774879693984985,8.73543559233899,0.08220948009137422,2.442051184092071,1.9136223239224,-19.506490288302302,-6.502163429434101,-2.1784589362796396,0.2790201153232062,0.008284627767595022,-4.79335355758667,0.20739068931611385,-1.5780833959579468,8.832684036138803,0.08985253001848739,2.746204453532092,1.653608102375608,-17.427671490237117,-6.161612345519065,8.73543559233899,8.832684036138803,0.11447626044853491,0.5225691545812836,0.11321586914108034,0.6047382076583799,4.703122391231553,9.0,4.8379056612670395,8.0,1.567707463743851,1.7104579499113561
The Southern states' government was known as the Confederacy.,American Civil War,0.9961048174809756,0.0,1.0,0.9961048174809756,-2.283649056003644,0.36987518877652764,0.0007446894600232225,-7.202543258666992,0.3152131862565562,-1.1545060873031616,9.812421234349467,0.12025858305693744,5.389283468057223,2.346151882609799,-29.68743772804737,-8.233813766586074,-2.8675328890482583,0.2963676438452172,0.0007446894600232225,-7.202543258666992,0.3152131862565562,-1.1545060873031616,17.593559350025778,0.09399289844646687,6.325567912335234,1.588930662061808,-25.807796001434326,-8.602598667144775,9.812421234349468,17.593559350025778,0.10191164607766627,0.42622986491719617,0.05683898181743052,0.6293540831431831,5.54098824392355,13.0,5.664186748288647,9.0,1.5367936330930403,1.8880622494295491
The primary cause of the war was the disagreement over the institution of slavery.,American Civil War,0.993308307361048,0.0,1.0,0.993308307361048,-1.3608870954964967,0.514972609616223,0.0007125946825390077,-7.246597766876221,0.48277791794222097,-0.7281985282897949,3.899651130812234,0.13514731425065132,3.220887298661426,3.093937574931205,-23.135080623440444,-5.611081239272084,-1.8909488078206778,0.40995069303043036,0.0007125946825390077,-7.246597766876221,0.3638008045505106,-1.0201483070850372,6.6256521702560685,0.1299166360022249,4.43260002061278,1.85373818443588,-18.909488078206778,-5.979705171493359,3.899651130812234,6.6256521702560685,0.25643319529245073,0.3232127267539441,0.15092853870132333,0.5394505051447246,5.494616354817049,17.0,5.394505051447246,10.0,1.3326402119504106,1.70589228118571
