concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Donald Trump is an American businessman.,Donald Trump,0.9938640175038862,0.0,1.0,0.9938640175038862,-1.6307523710032303,0.32366923553978777,0.03381813475824665,-3.3867580890655518,0.20814238894598908,-1.569532871246338,5.10771617079651,0.09386330068010433,1.1765089851270618,2.104710834899904,-14.676771339029074,-4.892257113009691,-1.3613910414278507,0.38674394174595195,0.0381277452618146,-3.266813039779663,0.22304197467237707,-1.5003952980041504,3.9016168393971276,0.10141468109990606,0.9971942490118874,1.6874141175895758,-9.529737289994955,-3.6019021327293244
Donald Trump is a television personality.,Donald Trump,0.9915898964616778,0.0,1.0,0.9915898964616778,-1.9720265937503427,0.3742787150429453,0.0001626147232924392,-8.724126815795898,0.3099504230249605,-1.1874758005142212,7.185223271735041,0.07771680774863884,6.778026852348718,2.063694743864086,-15.776212750002742,-5.577733508484305,-2.108058442361653,0.4279185379349619,0.0001626147232924392,-8.724126815795898,0.4130237315268145,-0.8910049200057983,8.232242385176129,0.09154321915986909,8.950500008414059,1.4125788591547932,-12.648350654169917,-5.163667531752353
Donald Trump is a politician.,Donald Trump,0.9975600269851356,0.0,1.0,0.9975600269851356,-1.6265930786196674,0.35658156490300275,0.0065808834930789735,-5.023586273193359,0.2547214748795882,-1.3675845861434937,5.086515805651897,0.08501241684924563,2.2077396494304216,1.7529158956924642,-11.386151550337672,-4.303560770326573,-1.6516575571149588,0.4138705280323819,0.0065808834930789735,-5.023586273193359,0.365180662910087,-1.0073630809783936,5.215617850670742,0.10684595851788967,3.0732158066187663,1.1018002779153169,-8.258287785574794,-3.693218573260289
Donald Trump served as the 45th president of the United States.,Donald Trump,0.9996750768989482,0.0,1.0,0.9996750768989482,-0.8525940252002329,0.6748808467034267,0.0006693885143712407,-7.309145927429199,0.7469115667128479,-0.3182625211775303,2.3457238333333383,0.10041978305534233,2.9805508618189895,2.6949028672830178,-13.641504403203726,-3.4103761008009315,-1.030964584943528,0.6459444736656251,0.0006693885143712407,-7.309145927429199,0.7295629277360953,-0.34925172105431557,2.8037690041377394,0.11399085047958897,3.815956938754376,1.998524557357773,-12.371575019322336,-3.5713660838527
"Donald Trump served as president from January 20, 2017.",Donald Trump,0.9997733634559426,0.0,1.0,0.9997733634559426,-1.4320983624816614,0.5685735291312608,0.0006693865992380788,-7.309148788452148,0.6584729661885499,-0.4463476836681366,4.1874768236355076,0.16095822315963565,4.326249034110323,2.465190114808669,-25.777770524669904,-6.0758787806216,-1.429866623471753,0.6013488282939601,0.0006693865992380788,-7.309148788452148,0.8504053736011015,-0.1629842109978199,4.178141888698849,0.16655566886927298,4.794089256078079,1.8777230519649097,-22.877865975548048,-5.719466493887012
"Donald Trump served as president until January 20, 2021.",Donald Trump,0.9961039902162682,0.0,1.0,0.9961039902162682,-1.2878153063647915,0.592159748466334,0.0006693878759929113,-7.309146881103516,0.5325445206620001,-0.6315847039222717,3.6248586932150304,0.1397146663801282,4.134076440680412,2.8028175650666007,-23.180675514566246,-5.4637376162782525,-1.323198785269222,0.5973787178624933,0.0006693878759929113,-7.309146881103516,0.561651772592375,-0.576873242855072,3.755414950625091,0.14744289861914975,4.354721577350414,2.4573104982233125,-22.494379349576775,-5.455688355353984
Donald Trump entered politics.,Donald Trump,0.9986535305045812,0.0,1.0,0.9986535305045812,-3.28263939358294,0.2772338676935024,6.189819073461516e-05,-9.690019607543945,0.15449566310902363,-1.9771930575370789,26.64600927400655,0.11581712224502146,10.632733047387044,0.9642615195001482,-19.69583636149764,-8.040791523837404,-3.28263939358294,0.2772338676935024,6.189819073461516e-05,-9.690019607543945,0.15449566310902363,-1.9771930575370789,26.64600927400655,0.11581712224502146,10.632733047387044,0.9642615195001482,-19.69583636149764,-8.040791523837404
Donald Trump was known for his real estate empire.,Donald Trump,0.9992049845923456,0.0,1.0,0.9992049845923456,-2.161134361543439,0.393282206836133,0.0004033665854324129,-7.815664768218994,0.28941029630323867,-1.2399098873138428,8.680979444577575,0.11271403901679675,6.245988878732384,2.1997820724155606,-23.772477976977825,-7.167671798783858,-2.200460704664389,0.40641240667952805,0.0004033665854324129,-7.815664768218994,0.28941029630323867,-1.2399098873138428,9.029172323170673,0.11619511925530118,7.101193064043697,1.809316198615144,-19.804146341979504,-6.601382113993168
"Donald Trump hosted the reality TV show, The Apprentice.",Donald Trump,0.9996002734319606,0.0,1.0,0.9996002734319606,-1.6186787850976023,0.5464143825776527,3.318360504394121e-05,-10.313454627990723,0.5487400394570177,-0.6007033884525299,5.046418506752267,0.13588736246222785,7.338644619431267,2.4150256927412617,-22.661502991366433,-6.056541433074713,-1.679233474387729,0.5782783386017959,3.318360504394121e-05,-10.313454627990723,0.6252457075740041,-0.48130758106708527,5.361444710940452,0.1439318166420703,8.457078399682862,1.8151809217749237,-20.15080169265275,-5.817035390819916
Trump was born in Queens.,Donald Trump,0.9979119979155032,0.0,1.0,0.9979119979155032,-2.8054448728050505,0.23753962048531999,0.001398674412596292,-6.572230339050293,0.16569919780156764,-1.7975811958312988,16.534429988374594,0.07937833841032825,4.649541027675448,1.2734296508129401,-19.638114109635353,-7.422509450343395,-3.0952516078948973,0.15844130433684042,0.001398674412596292,-6.572230339050293,0.16569919780156764,-1.7975811958312988,22.09279656033003,0.019673861977234954,4.739145959264173,1.0640603659161496,-15.476258039474487,-6.921193002718515
Trump was raised in Queens.,Donald Trump,0.9973440512893204,0.0,1.0,0.9973440512893204,-3.4550903865269254,0.13085028208017527,0.0014267165293985458,-6.552379608154297,0.01827846289623011,-4.0020318031311035,31.66115029436088,0.02411448695533359,4.05025675647284,1.1808506256893214,-24.185632705688477,-9.141309920000275,-3.8338105201721193,0.10702146965871409,0.0014267165293985458,-6.552379608154297,0.008944522856791365,-4.716713905334473,46.238395306006765,0.01991953661265703,4.275852403228927,0.7398587505650598,-19.169052600860596,-8.572660935958687
Queens is in New York City.,Donald Trump,0.9980225277795868,0.0,1.0,0.9980225277795868,-3.2981535988510586,0.35821931938631424,4.848578187212153e-08,-16.841995239257812,0.27724846344697557,-1.3358480334281921,27.062624300738932,0.10289459295020692,27.40314516894321,1.6762844086971875,-26.38522879080847,-9.328587100569598,-3.435385094412292,0.4513867613231661,4.848578187212153e-08,-16.841995239257812,0.4544983414837085,-0.8082542717456818,31.043364890351626,0.1014435355038258,36.2049269655308,1.3194603642340281,-20.612310566473752,-8.41494055127313
Trump earned a degree in economics.,Donald Trump,0.9986780169904196,0.0001087647788236,1.0,0.9986780169904196,-3.291602175682783,0.18862201204468046,2.8913045845382885e-05,-10.451217651367188,0.10513796905797695,-2.3095935583114624,26.885905110082767,0.053299167864065314,8.973422761057522,1.5174706646924587,-26.332817405462265,-9.310056877574757,-4.00681350628535,0.10761859005711716,2.8913045845382885e-05,-10.451217651367188,0.0514027841822455,-3.0431323051452637,54.97142508344271,0.016407386008298965,9.692991169989343,1.0084166163049868,-24.040881037712097,-9.814648584891065
Trump's economics degree is from the Wharton School.,Donald Trump,0.9989404823855664,0.0,1.0,0.9989404823855664,-2.250070950746054,0.4388467973872609,0.00015970917886089144,-8.742156028747559,0.29905146154400497,-1.2322081923484802,9.488409022175713,0.16617014781937925,7.08554589879845,1.9431069049943661,-31.500993310444755,-8.418994593624438,-2.8858045316068455,0.3617364029132394,0.00015970917886089144,-8.742156028747559,0.1683605099723619,-1.8611711263656616,17.91797737731116,0.16723058231180543,8.311300001533677,1.1826688384278872,-28.858045316068456,-9.125715201913001
