concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Freddie Mercury was born Farrokh Bulsara.,Freddie Mercury,0.9990444514275744,0.0,1.0,0.9990444514275744,-1.2973786348985155,0.671799183467897,7.55235874350999e-06,-11.79365062713623,0.9693837556472661,-0.0312116676941514,3.6596906972661407,0.1426795855978733,8.850189149043025,1.821809564119785,-18.163300888579215,-4.8543463527107225,-1.3297883789387366,0.6914434493429623,7.55235874350999e-06,-11.79365062713623,0.9842087480885998,-0.015917262062430382,3.7802433238125768,0.14825237779138764,9.516267448616103,1.457000740821019,-17.287248926203574,-4.794620185779753,3.6596906972661407,3.7802433238125768,0.2732471355426346,0.5489047920786134,0.2645332361810633,0.686341449240788,7.684667089100588,14.0,8.922438840130244,13.0,2.053813669916558,2.474639287713926
Freddie Mercury was a British singer.,Freddie Mercury,0.999152733732932,0.0,1.0,0.999152733732932,-1.1500150999253491,0.4837762092013588,0.015005057019997972,-4.199368000030518,0.346164333292115,-1.063275158405304,3.15824059852699,0.12292018872383051,1.3632272253684186,2.195598438234705,-11.500150999253492,-3.636667059350238,-1.1863790403834855,0.5124117738686647,0.015005057019997972,-4.199368000030518,0.32285045885170327,-1.1414774656295776,3.275200342122816,0.14899353406195984,1.6932937800104446,1.465892189074758,-9.491032323067884,-3.355586658051006,3.15824059852699,3.275200342122816,0.31663198822357047,0.4554566912536226,0.30532483376325353,0.6821784081073384,4.5545669125362265,10.0,5.457427264858707,8.0,1.4402805199255377,1.9294919134069723
Freddie Mercury was a songwriter.,Freddie Mercury,0.9985783970361808,0.0,1.0,0.9985783970361808,-1.3695740127203861,0.5364224465637278,0.0007000218202183068,-7.26439905166626,0.3933538009676555,-0.9347685277462006,3.9336746431472136,0.1333153023882616,4.260763051932512,1.8819571404634825,-13.695740127203862,-4.330973304372841,-1.460828009202828,0.5782194945305035,0.0007000218202183068,-7.26439905166626,0.6108051724242166,-0.5772218406200409,4.3095263789504585,0.15735246964133445,5.280189029779442,1.1522505424285123,-11.686624073622625,-4.131845565818256,3.9336746431472136,4.3095263789504585,0.2542152289442856,0.5313617289678144,0.2320440605455906,0.8678668077624635,5.313617289678145,10.0,6.942934462099708,8.0,1.680313324983365,2.4546980197422394
Freddie Mercury was a record producer.,Freddie Mercury,0.9915471172215938,0.0,1.0,0.9915471172215938,-1.4691273267580072,0.5583217666654756,8.415392085767897e-05,-9.38286304473877,0.5024295811476654,-0.7031697630882263,4.345441335549046,0.1082789770028324,7.166185998575209,2.072531367869188,-14.691273267580073,-4.645788525349737,-1.5852700540812066,0.6055934714920106,8.415392085767897e-05,-9.38286304473877,0.6054528197952964,-0.5021738260984421,4.880609229000337,0.12361893865088608,8.886158372861235,1.34282498100976,-12.682160432649653,-4.483820821011144,4.345441335549046,4.880609229000337,0.23012622258163568,0.4825017442453093,0.20489245360149916,0.7446986868296367,4.825017442453093,10.0,5.9575894946370935,8.0,1.5258044868192184,2.1063259655918127
Freddie Mercury was best known as the lead vocalist of Queen.,Freddie Mercury,0.9996518436504924,0.0,1.0,0.9996518436504924,-1.1913948236157808,0.5415834433473112,0.0002739919993071868,-8.202411651611328,0.4842502746710936,-0.7264008224010468,3.291669304927711,0.10734882267641897,3.6567869973961398,3.476391120309094,-19.062317177852492,-4.765579294463123,-1.2916974363393667,0.5787550817719077,0.0002739919993071868,-8.202411651611328,0.5655421407059682,-0.5750971138477325,3.6389582161841902,0.13252994132428983,4.802152551386179,2.099053976871674,-15.500369236072402,-4.474571175492498,3.291669304927711,3.6389582161841902,0.3037972248618581,0.2876546295835342,0.27480392480257704,0.47640509058768965,4.6024740733365475,16.0,5.716861087052275,12.0,1.1506185183341369,1.650315643764664
Queen was a rock band.,Freddie Mercury,0.997173801539512,0.0,1.0,0.997173801539512,-2.611654988356999,0.24350750616441297,0.0027453460970003475,-5.897848129272461,0.15136380524668186,-1.8880690336227417,13.621575756743345,0.09314725142348632,3.5816798745158716,1.222504879864153,-18.281584918498993,-6.909789609493908,-2.969660460948944,0.2679844841987771,0.0027453460970003475,-5.897848129272461,0.021677425901458297,-3.831483840942383,19.485302451601264,0.1279260313099225,4.554009123703116,0.6071775572921225,-14.84830230474472,-6.640362660775199,13.621575756743344,19.485302451601264,0.07341294559881967,0.8179926448319143,0.051320732766856385,1.6469646942482172,5.7259485138234,7.0,8.234823471241086,5.0,2.164205112505229,3.682725012881171
"Freddie Mercury was born on September 5, 1946.",Freddie Mercury,0.9946762281713428,0.0,1.0,0.9946762281713428,-0.5310975214344277,0.696922186175572,0.14090940416772496,-1.9596381187438965,0.9004403132205793,-0.10674109123647213,1.7007979468446004,0.10852529770954195,0.4221328325267676,2.889004544655684,-9.559755385819699,-2.25325595326591,-0.43813362350709895,0.7462873879563636,0.14090940416772496,-1.9596381187438965,0.9635661027869671,-0.037149650044739246,1.549811984896757,0.09852205154631673,0.3772428437243882,2.2102734738397376,-7.010137976113583,-1.7525344940283958,1.7007979468446004,1.549811984896757,0.5879593174810956,0.3461399885472252,0.6452395579239352,0.4524327020324671,6.230519793850055,18.0,7.238923232519474,16.0,1.4685475988494612,1.8097308081298684
"Freddie Mercury was born in Stone Town, Zanzibar.",Freddie Mercury,0.9976354755025456,0.0,1.0,0.9976354755025456,-0.9378665163398523,0.6872733765832446,0.00016033135771288925,-8.73826789855957,0.8169049293977616,-0.20226024091243744,2.5545255618627714,0.11069299831203167,4.29099473925892,2.4353801490943225,-15.005864261437637,-3.751466065359409,-0.9863050941093466,0.7039228655337137,0.00016033135771288925,-8.73826789855957,0.8835214418405386,-0.12619267031550407,2.6813089624489406,0.12088732858111405,4.874242294777003,1.83744312352472,-13.808271317530853,-3.6904157409870044,2.554525561862772,2.681308962448941,0.3914621231156503,0.41061351361177983,0.37295217149711174,0.5442345328663701,6.569816217788477,16.0,7.619283460129183,14.0,1.6424540544471193,2.036339160036919
"Stone Town, Zanzibar is now part of Tanzania.",Freddie Mercury,0.996191165282266,0.0,1.0,0.996191165282266,-2.6045344895528615,0.497499429225438,1.8381413401134775e-06,-13.206755638122559,0.35777636424126624,-1.028458684682846,13.524927841887266,0.16846070721076403,14.766248470519525,2.1783736165290035,-41.672551832845784,-10.418137958211446,-2.8996039276898955,0.47351989542086315,1.8381413401134775e-06,-13.206755638122559,0.32958805587696954,-1.1175937354564667,18.166948519033078,0.17328975197427415,16.1399018420377,1.796754465384232,-40.59445498765854,-10.849324454759632,13.524927841887266,18.16694851903308,0.07393754788864443,0.4590580754431781,0.05504501754669057,0.556559073187639,7.34492920709085,16.0,7.791827024626946,14.0,1.8362323017727125,2.082453367368588
"Freddie Mercury died on November 24, 1991.",Freddie Mercury,0.9975406920650476,0.0,1.0,0.9975406920650476,-0.6336311514797267,0.7325683417203046,0.024333596251573327,-3.71589732170105,0.9558699698741133,-0.04560057586058974,1.8844408610866432,0.128764098259171,1.1379416341902897,1.9028158109937283,-11.405360726635081,-2.6882693038941317,-0.5616777520624109,0.766474391278491,0.024333596251573327,-3.71589732170105,0.9850816973454166,-0.015030699782073498,1.7536121600145977,0.1156452934407391,1.1116881269992136,1.612841630691,-9.548521785060984,-2.315856699312808,1.8844408610866432,1.7536121600145975,0.5306613864355288,0.525536940686739,0.5702515201489454,0.6200236780666206,9.4596649323613,18.0,10.54040252713255,17.0,2.229664407141753,2.556423115052637
