concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
The Industrial Revolution was a period of major industrialization.,Industrial Revolution,0.9977333674997574,0.0,1.0,0.9977333674997574,-1.3213698184117675,0.4430040510073952,0.003501718474952059,-5.654501438140869,0.3781591586469525,-0.9725284278392792,3.7485526984732065,0.08803028150653218,2.1231758391070947,2.983126385929047,-15.85643782094121,-4.577359322154486,-1.4235315159894526,0.4767523031364683,0.003501718474952059,-5.654501438140869,0.4536846670539376,-0.8063683807849884,4.151756575898624,0.1090088179101596,3.015546368318227,1.7121001880010027,-11.38825212791562,-4.026355152755633,3.748552698473208,4.151756575898624,0.2667696256230577,0.33521878413091977,0.24086190548961936,0.5840779686891865,4.022625409571037,12.0,4.672623749513492,8.0,1.1612319315324333,1.6520219696071512
The Industrial Revolution was a period of major innovation.,Industrial Revolution,0.9960431938685232,0.0,1.0,0.9960431938685232,-1.402284697714177,0.3496068930143607,0.04496212052438884,-3.1019349098205566,0.2652684949780874,-1.3270127773284912,4.064475464759177,0.07156585964620478,0.8267571528987427,2.9455993475187805,-15.425131674855947,-4.6508521915748675,-1.5652777164110117,0.33480674908348224,0.04496212052438884,-3.1019349098205566,0.2652684949780874,-1.3270127773284912,4.784003347665838,0.08943579882891906,1.068524744532138,1.674572133490052,-10.956944014877081,-4.141335570374622,4.064475464759177,4.784003347665838,0.24603420753070057,0.3394894831309451,0.2090299540630359,0.5971674674388942,3.7343843144403968,11.0,4.180172272072259,7.0,1.1259592358170338,1.5799566099015754
The Industrial Revolution took place during the late 1700s.,Industrial Revolution,0.9957097913518116,0.0,1.0,0.9957097913518116,-1.0293913427130974,0.551720852516116,0.022290305840146372,-3.803603410720825,0.5744607011489973,-0.5567810982465744,2.7993614643090416,0.12856119205514657,1.3318200101548183,2.9575525985221915,-16.47026148340956,-4.11756537085239,-1.0368566373997186,0.5573636013972091,0.022290305840146372,-3.803603410720825,0.5744607011489973,-0.5567810982465744,2.820337722129266,0.12942907777375298,1.4241901529419074,2.5304065993026605,-14.515992923596059,-3.8795622963522467,2.7993614643090416,2.820337722129266,0.3572243215996499,0.33811740169884813,0.35456746621288726,0.39519340499490635,5.40987842718157,16.0,5.532707669928689,14.0,1.3524696067953925,1.4786783230035372
The Industrial Revolution began in Great Britain.,Industrial Revolution,0.993280423601622,0.0,1.0,0.993280423601622,-1.3114562575291429,0.44030946105572205,0.052401897067029385,-2.948812484741211,0.3731367814562796,-0.9858102202415466,3.7115747873065548,0.12809840924285554,1.2014407773117517,1.8369736128464973,-11.803106317762285,-3.9343687725874283,-1.385421575512737,0.43696411231755267,0.052401897067029385,-2.948812484741211,0.3731367814562796,-0.9858102202415466,3.9965103806376825,0.14107797016946813,1.3591883256401684,1.3164828296403197,-9.69795102858916,-3.6654809497899947,3.7115747873065534,3.9965103806376825,0.269427414859041,0.5443736333536341,0.25021829164883597,0.759599728523017,4.899362700182707,9.0,5.31719809966112,7.0,1.6331209000609024,2.0097119776240797
The Industrial Revolution later spread to other parts of the world.,Industrial Revolution,0.9950233423007228,0.0,1.0,0.9950233423007228,-1.5723841917127943,0.48869233516116,2.500784190812938e-05,-10.596321105957031,0.3811935927100823,-0.9644479155540466,4.818121836812382,0.10045199436823979,7.164141416471803,3.022034418104609,-20.440994492266327,-5.66931182794948,-1.9764997483127646,0.4313590085015941,2.500784190812938e-05,-10.596321105957031,0.3731348020405371,-0.9858155250549316,7.2174358782668415,0.09553328071340707,9.61210699191446,2.165936424951833,-17.788497734814882,-5.929499244938294,4.818121836812382,7.2174358782668415,0.20754975359062097,0.3309029156018648,0.13855336117515116,0.46169406843150457,4.301737902824242,13.0,4.1552466158835415,9.0,1.1930874294030565,1.3850822052945138
The Industrial Revolution spread to the United States.,Industrial Revolution,0.9878073639535788,0.0,1.0,0.9878073639535788,-1.6310171499848365,0.3755094748510986,0.004824619170755739,-5.334023475646973,0.27891748439296815,-1.3010855913162231,5.109068765744,0.10771579996989718,2.237705112594958,2.2349460731485524,-16.310171499848366,-5.157729096748548,-1.5794724587883269,0.460959567710861,0.004824619170755739,-5.334023475646973,0.373137003863199,-0.9858096241950989,4.8523952974138185,0.12913366056253978,3.1754905949775565,1.3252972381040091,-11.056307211518288,-4.178891328629628,5.109068765744,4.8523952974138185,0.19573038568299178,0.4474380890055292,0.20608378722421278,0.7545477129572952,4.474380890055293,10.0,5.281833990701067,7.0,1.414923473170616,1.9963456008175522
There were significant advances in agriculture.,Industrial Revolution,0.9563710266814858,0.0,1.0,0.9563710266814858,-2.458177895285189,0.24106453583313403,0.0031750061876144892,-5.752445697784424,0.09101553808177672,-2.400869607925415,11.683503566262894,0.08949837385199237,3.0066931238129273,1.4729759233380515,-19.665423162281513,-6.952777036476128,-3.089719216028849,0.10613218512098303,0.0031750061876144892,-5.752445697784424,0.07348795633266952,-2.618633270263672,21.970908030786454,0.01544809917313579,2.325681712536032,1.0584440455069757,-18.538315296173096,-7.5682355277427495,11.683503566262894,21.97090803078645,0.08559076430528807,0.6788977227365702,0.04551473241792114,0.9447830560764485,5.431181781892562,8.0,5.668698336458691,6.0,1.9202127339165336,2.3142364050146047
There were significant advances in manufacturing.,Industrial Revolution,0.9569247937886372,0.0,1.0,0.9569247937886372,-2.8849878483451903,0.22452829849304357,0.0031750137574281523,-5.752443313598633,0.05209337197955709,-3.1672229766845703,17.90335003886863,0.0955191813376684,3.639009756050399,1.1949755330487812,-23.079902786761522,-8.159977884822684,-3.6587992111841836,0.08408382587825725,0.0031750137574281523,-5.752443313598633,0.017830887086124843,-4.047746419906616,38.81470661119847,0.017404182151343258,2.3690121952223233,0.7804438573854351,-21.952795267105103,-8.962191138698842,17.90335003886863,38.81470661119847,0.055855468268730404,0.8368372174521987,0.02576343059904745,1.2813221483350512,6.69469773961759,8.0,7.687932890010306,6.0,2.3669330848389247,3.1385854595476133
There were significant advances in mining.,Industrial Revolution,0.9635369404576822,0.0,1.0,0.9635369404576822,-3.0847761193290353,0.22254437679252778,0.0031750198132920768,-5.75244140625,0.048483524790889146,-3.3725041151046753,21.862571686912112,0.09635559475737675,4.346352049390193,1.1398183418524246,-24.678208954632282,-8.725064449679532,-3.9251840114593506,0.08143847054213557,0.0031750198132920768,-5.75244140625,0.012979562321225178,-4.34897518157959,50.66239966326755,0.01777461362629246,2.882130181943012,0.725286385888857,-23.551104068756104,-9.614697974606209,21.862571686912112,50.66239966326755,0.04574027311702967,0.8773327847793774,0.019738504426292377,1.378765711663641,7.018662278235019,8.0,8.272594269981846,6.0,2.4814718458991023,3.377272468421237
There were significant advances in transportation.,Industrial Revolution,0.9874519061754596,0.0,1.0,0.9874519061754596,-2.525277570821345,0.23634197973656915,0.0031750137574281523,-5.752443313598633,0.08029248586690262,-2.522546410560608,12.494362852893,0.09104918957385372,3.0323884679273654,1.411595196675842,-20.20222056657076,-7.14256357882426,-3.1791853507359824,0.09983547749711058,0.0031750137574281523,-5.752443313598633,0.06286706443247506,-2.795926094055176,24.027171859170103,0.01580668927196409,2.244938290044055,0.9970633344715996,-19.075112104415894,-7.787381907034329,12.494362852893,24.027171859170103,0.08003609401886833,0.708418392436369,0.04161954664749045,1.0029453149332352,5.667347139490952,8.0,6.017671889599411,6.0,2.0037097968361173,2.4567042615014034
