concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Julius Caesar was born in 100 BCE.,Julius Caesar,0.9767707337381726,0.0,1.0,0.9767707337381726,-0.9665780027940248,0.4954579907949739,0.08025411358930293,-2.522557258605957,0.4480745257957583,-0.8027957081794739,2.6289328484323002,0.10023660206719856,0.6255513042034873,3.6309521225325017,-14.498670041910373,-3.743540507631684,-1.0336640729622628,0.47889124340568584,0.08025411358930293,-2.522557258605957,0.37519554459461674,-0.980307936668396,2.8113479700330486,0.1108786662605939,0.6803056666797934,3.0506127040985587,-13.437632948509417,-3.726928816670389,2.6289328484323,2.8113479700330486,0.3803824812780309,0.2754098556668723,0.3557012545793983,0.3278030012320083,4.131147835003085,15.0,4.261439016016108,13.0,1.066657784379185,1.1819105291929912
Julius Caesar died in 44 BCE.,Julius Caesar,0.9936837790181328,0.0,1.0,0.9936837790181328,-1.1446643312945246,0.46169358469919586,0.023985708896866253,-3.730297088623047,0.3457786236104318,-1.061956524848938,3.1413867146319787,0.10968541094190372,1.0276652760809315,3.038267175181385,-14.88063630682882,-4.127145939677107,-1.1401284016028512,0.4750458193357632,0.023985708896866253,-3.730297088623047,0.4005315959684916,-0.9243945777416229,3.127169873032564,0.1165081936464597,1.1130365785314944,2.6767797327413483,-13.681540819234215,-3.949520637456864,3.1413867146319787,3.127169873032564,0.3183307535306593,0.32913497804560254,0.3197779591775911,0.37358322306777114,4.278754714592833,13.0,4.482998676813254,12.0,1.1867130398921344,1.294130246417434
Julius Caesar was a prominent Roman general.,Julius Caesar,0.9974895636291692,0.0,1.0,0.9974895636291692,-1.6215565613026477,0.41881424908435094,0.001977722054462512,-6.225809574127197,0.269850694697768,-1.3098864555358887,5.060961886110364,0.13922748371986302,2.9174520936874884,2.131963685111071,-17.837122174329124,-5.378094690179817,-1.7789350320041801,0.4216090647883965,0.001977722054462512,-6.225809574127197,0.2205915094629377,-1.5114426612854004,5.923544672785722,0.1692159037511535,3.4239558544211994,1.4101729021945442,-16.01041528803762,-5.33680509601254,5.060961886110364,5.923544672785722,0.19759089724513945,0.4690511414353205,0.1688178371633214,0.7091329002590935,5.159562555788526,11.0,6.382196102331841,9.0,1.5556666436288809,2.12739870077728
Julius Caesar was a prominent statesman.,Julius Caesar,0.9860377136234264,0.0,1.0,0.9860377136234264,-1.9206722829681397,0.4793776041002691,0.0013538962218274352,-6.604768753051758,0.34231566819422454,-1.0720219612121582,6.825545625256687,0.16482246884599247,5.490227202669636,1.5890124175215703,-21.127395112649538,-6.3701493078406335,-2.1445218875823127,0.4956305700883789,0.0013538962218274352,-6.604768753051758,0.26985017999890526,-1.3098883628845215,8.537958157469507,0.199088760126239,6.429085233339308,0.8672218107679666,-19.300696988240816,-6.433565662746939,6.825545625256687,8.537958157469507,0.1465084338898391,0.6293217025702855,0.11712402210886232,1.1531075297961568,6.922538728273141,11.0,10.37796776816541,9.0,2.0872239598532762,3.4593225893884703
Julius Caesar played a critical role in the transformation of the Roman Republic.,Julius Caesar,0.9848859729634908,0.0,1.0,0.9848859729634908,-1.4395409165265258,0.5596758785407341,0.002296918913479808,-6.076186656951904,0.6906828037911751,-0.370074599981308,4.218758610004288,0.16290382474479553,3.5696226605674273,2.200823836115269,-24.472195580950938,-5.935379251237322,-1.7938114541563361,0.5166493802824853,0.002296918913479808,-6.076186656951904,0.5295973590472408,-0.7732203304767609,6.012324550140733,0.18958997909852618,4.424776796948849,1.239615813723441,-21.525737449876033,-6.213945155595568,4.218758610004288,6.012324550140733,0.23703655327152826,0.4543753041884196,0.1663250198255835,0.8067015513429878,7.724380171203134,17.0,9.680418616115853,12.0,1.8734373728410088,2.794496146941376
Julius Caesar played a critical role in the formation of the Roman Empire.,Julius Caesar,0.9890690755166072,0.0,1.0,0.9890690755166072,-1.1536367554970852,0.6011708997898573,0.002296934247119012,-6.0761799812316895,0.6945950154581099,-0.36442631483078003,3.169699395570774,0.14502814964377853,2.7933655978722998,2.431967490876582,-19.61182484345045,-4.756566196509338,-1.416376830418206,0.5526603553237655,0.002296934247119012,-6.0761799812316895,0.6836352049860916,-0.38045935332775116,4.122158073280521,0.1559945922018505,3.4973030349752405,1.69305820813338,-16.996521965018474,-4.906473265895402,3.169699395570774,4.122158073280521,0.3154873302488446,0.4111897069970942,0.2425913762215756,0.5906471467998219,6.990225018950602,17.0,7.087765761597863,12.0,1.6953785941157966,2.0460617352057695
Julius Caesar was born into a noble family.,Julius Caesar,0.9836649282412908,0.0,1.0,0.9836649282412908,-1.3048420426105924,0.49851605083833483,0.0017152572735346589,-6.368192195892334,0.4101684685931876,-0.9020009636878967,3.6871066419653173,0.12273006815809819,2.8234953198722454,2.4857654704146284,-15.65810451132711,-4.5201054273070005,-0.9037663508594657,0.5378768832561733,0.11252086974426975,-2.1846165657043457,0.3501728299963344,-1.0493284463882446,2.4688843065963577,0.13133265306901165,0.6308528124143012,1.8513553335427189,-8.133897157735191,-2.711299052578397,3.687106641965317,2.4688843065963577,0.27121537213444297,0.402290566789955,0.4050412558126774,0.5401448235690222,4.82748680147946,12.0,4.8613034121212,9.0,1.393575402171766,1.6204344707070664
Julius Caesar rose through the ranks of Roman society.,Julius Caesar,0.988337606123442,0.0,1.0,0.988337606123442,-1.6949599501587307,0.4851064603652934,0.0006977034461184943,-7.267716407775879,0.4615752646715366,-0.7731101512908936,5.446427832274565,0.15494830493069398,4.312943420211568,2.0120603804728683,-22.0344793520635,-6.111265010155192,-1.7531747313565575,0.46990680506192695,0.0006977034461184943,-7.267716407775879,0.36571375173589155,-1.041495442390442,5.7729010243669725,0.15508111807610575,4.64632888165759,1.6061644579862977,-17.531747313565575,-5.544025287340541,5.446427832274565,5.7729010243669725,0.18360658229494523,0.4970029774976152,0.17322313266398934,0.6226012504682948,6.461038707468997,13.0,6.226012504682949,10.0,1.7919697194259268,1.9688380255487867
Julius Caesar held various political offices.,Julius Caesar,0.9745240305254248,0.0,1.0,0.9745240305254248,-2.156718144041952,0.4412990844413418,0.0006398403179827786,-7.354291915893555,0.31875557574706836,-1.1552417874336243,8.642726879218579,0.1540382031914594,6.792081495592018,1.5885586459747534,-21.567181440419517,-6.820141606183673,-2.156718144041952,0.4412990844413418,0.0006398403179827786,-7.354291915893555,0.31875557574706836,-1.1552417874336243,8.642726879218579,0.1540382031914594,6.792081495592018,1.5885586459747534,-21.567181440419517,-6.820141606183673,8.642726879218579,8.642726879218579,0.11570422321275688,0.6295014682233474,0.11570422321275688,0.6295014682233474,6.295014682233474,10.0,6.295014682233474,10.0,1.9906584300058865,1.9906584300058865
Julius Caesar held various military commands.,Julius Caesar,0.9925571502129864,0.0,1.0,0.9925571502129864,-2.859664949809667,0.35536338099520093,0.0006398427587845456,-7.354288101196289,0.13790212970135163,-2.203999161720276,17.45567742865048,0.18224540575164025,6.896203419323912,0.9921622714023992,-28.596649498096667,-9.043054586349639,-2.859664949809667,0.35536338099520093,0.0006398427587845456,-7.354288101196289,0.13790212970135163,-2.203999161720276,17.45567742865048,0.18224540575164025,6.896203419323912,0.9921622714023992,-28.596649498096667,-9.043054586349639,17.45567742865048,17.45567742865048,0.05728795138930975,1.0078996438622105,0.05728795138930975,1.0078996438622105,10.078996438622106,10.0,10.078996438622106,10.0,3.1872585274771343,3.1872585274771343
