concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Marilyn Monroe was born Norma Jeane Mortenson.,Marilyn Monroe,0.999106566949187,0.0,1.0,0.999106566949187,-0.8452673182522025,0.6477749807992733,0.0028347897520029433,-5.865787506103516,0.7752934693845884,-0.2545136511325836,2.328600208715743,0.11508302367219153,2.0554230786457515,2.557277228432726,-12.679009773783037,-3.2737062466841844,-0.8980089681449149,0.6423726796599911,0.0028347897520029433,-5.865787506103516,0.7752934693845884,-0.2545136511325836,2.4547108349668054,0.11714538198784304,2.312014650814835,2.188922006646364,-11.674116585883894,-3.237817380472999,2.328600208715743,2.4547108349668054,0.429442545035034,0.3910409043187188,0.40737995928287124,0.4568458798274383,5.865613564780781,15.0,5.938996437756698,13.0,1.5144949101122858,1.6471812447022884
"Marilyn Monroe was born on June 1, 1926.",Marilyn Monroe,0.9911969190253214,0.0,1.0,0.9911969190253214,-0.5425737855571482,0.6967142148478179,0.0703444273855728,-2.6543517112731934,0.8084002752334949,-0.21269795298576355,1.7204291844760793,0.0976701458172956,0.5145269691243963,3.148511444951179,-10.308901925585815,-2.365024300657917,-0.43974904568184525,0.7476880480005477,0.0703444273855728,-2.6543517112731934,0.8274320542545395,-0.18942828476428986,1.5523176088191826,0.08323275665698582,0.45463012657750224,2.48691322667922,-7.475733776591369,-1.8131317641108136,1.7204291844760793,1.5523176088191826,0.5812503118543232,0.31761040653149225,0.644198065085843,0.40210490228294044,6.034597724098353,19.0,6.835783338809988,17.0,1.3844316654876454,1.6579209846912315
"Marilyn Monroe died on August 5, 1962.",Marilyn Monroe,0.000378284121692,0.9951466888597392,0.0,0.9951466888597392,-0.6081058634946304,0.7273182101510177,0.025733277417722696,-3.659970283508301,0.958161909378477,-0.04275134950876236,1.836948669906791,0.11887854418865167,1.0132079830380905,2.155143458207629,-10.945905542903347,-2.5799746785381252,-0.5349956386541154,0.7608614461169947,0.025733277417722696,-3.659970283508301,0.9630177685020098,-0.03768341615796089,1.707440795498086,0.10561872350591495,0.9765965630564144,1.8643856483816128,-9.09492585711996,-2.2058435274156962,1.836948669906791,1.707440795498086,0.5443810251109201,0.46400623410548797,0.5856718444567123,0.5363697156047375,8.352112213898783,18.0,9.118285165280536,17.0,1.9686117278929391,2.2115089918208377
Marilyn Monroe was an American actress.,Marilyn Monroe,0.9975017851456706,0.0,1.0,0.9975017851456706,-1.2055105125883445,0.49540060094463684,0.056233305730862965,-2.8782460689544678,0.36625903895991907,-1.004414439201355,3.338462970473296,0.15941599401848905,1.2585273153452337,1.885430666100416,-13.26061563847179,-3.998226051084549,-1.041995014479552,0.5585460295222471,0.06972581597391694,-2.663184642791748,0.44613136032182554,-0.8071418404579163,2.8348669772659543,0.1675715968482105,1.1960756370487244,1.3557015077168904,-9.377955130315968,-3.125985043438656,3.338462970473296,2.8348669772659543,0.2995390420215532,0.5303828021787046,0.3527502376723282,0.7376254981703751,5.83421082396575,11.0,6.638629483533377,9.0,1.7590807500840557,2.2128764945111254
Marilyn Monroe was a model.,Marilyn Monroe,0.9872896633832114,0.0,1.0,0.9872896633832114,-1.3192816367387423,0.5502183915940517,0.0011719800258081705,-6.74906063079834,0.40619498163778905,-0.905778169631958,3.74073320652918,0.14715515534749207,3.746347435176074,1.710909208851765,-13.192816367387422,-4.171934847329299,-1.342001362472729,0.6127392631506833,0.0011719800258081705,-6.74906063079834,0.7181403280644565,-0.40852211648598313,3.8266944493219617,0.1633064849493177,4.667810101164831,1.0031597151330014,-10.736010899781832,-3.79575305506421,3.74073320652918,3.8266944493219617,0.26732727109609744,0.584484550568949,0.2613221445410115,0.9968502372201196,5.844845505689491,10.0,7.9748018977609565,8.0,1.848302436977743,2.8195182502630605
Marilyn Monroe was a singer.,Marilyn Monroe,0.9880597226844456,5.759858825641664e-05,1.0,0.9880597226844456,-1.0289826979875216,0.5871019445811207,0.005378454602699334,-5.225354194641113,0.46672384835027625,-0.7629918456077576,2.7982177537132387,0.12745195078094113,2.2149563726595316,1.8239963733201807,-10.289826979875215,-3.2539289985457254,-0.979127227097706,0.6588439326934847,0.005378454602699334,-5.225354194641113,0.7387340924819362,-0.3643692606128752,2.662131791228456,0.13248726971396824,2.7437249702834072,1.116246512753727,-7.833017816781648,-2.7693900077006743,2.7982177537132387,2.662131791228456,0.35737032926511836,0.5482467041202072,0.3756388031933401,0.8958594616641151,5.482467041202071,10.0,7.166875693312921,8.0,1.7337083047002746,2.533873201331303
Marilyn Monroe became a major sex symbol.,Marilyn Monroe,0.9897265392399972,0.0,1.0,0.9897265392399972,-1.685819470790496,0.523047323977573,0.003600363636556049,-5.626720428466797,0.4436953203907932,-0.8126322031021118,5.396871699475127,0.18087339797066548,4.069097606061189,1.3963917555885754,-20.229833649485954,-5.839849951596033,-1.764701609077747,0.5304823323294765,0.003600363636556049,-5.626720428466797,0.44612840867495046,-0.8071484565734863,5.839829545955249,0.19665308195950243,4.364346869359341,1.0353880855324764,-19.411717699855217,-5.85285310424732,5.396871699475127,5.839829545955249,0.18529252790968795,0.7161314122615273,0.17123787468978688,0.9658214286730206,8.593576947138327,12.0,10.624035715403227,11.0,2.480751981866038,3.2032672933934094
Marilyn Monroe starred in a number of commercially successful motion pictures.,Marilyn Monroe,0.994897902640411,0.0,1.0,0.994897902640411,-1.2255679251362668,0.6419468375157205,0.00417584968631474,-5.478437423706055,0.9354509789414619,-0.06672653555870056,3.4060999433693,0.17473425960606045,3.3542820892339598,1.7538905263316984,-23.28579057758907,-5.342126734113808,-1.332202778550709,0.6326671038674982,0.00417584968631474,-5.478437423706055,0.9620094056417788,-0.039112276397645473,3.7893813688338747,0.1794445836535452,3.768145690187839,1.3944449495303202,-21.315244456811342,-5.328811114202836,3.4060999433693,3.789381368833874,0.29359091530673176,0.5701610134650322,0.26389531764329516,0.7171312143493525,10.833059255835613,19.0,11.47409942958964,16.0,2.485274239240809,2.86852485739741
Marilyn Monroe's films were released during the 1950s.,Marilyn Monroe,0.9986605357840715,0.0,1.0,0.9986605357840715,-1.4630706209100026,0.5410544250717878,0.0003525988403451902,-7.950179576873779,0.5077766915453792,-0.6851378083229065,4.319201818332021,0.15049728423488012,4.10838542868118,3.0670580565975136,-29.261412418200052,-6.5430507284751815,-1.49233557649859,0.5544631760787316,0.0003525988403451902,-7.950179576873779,0.5077766915453792,-0.6851378083229065,4.447470806442241,0.15587228508550294,4.473717546384401,2.5639151573003005,-26.86204037697462,-6.331443635688533,4.319201818332021,4.447470806442241,0.23152425889331968,0.32604534428323306,0.22484689467809033,0.39002850665813754,6.520906885664661,20.0,7.020513119846476,18.0,1.4581191071292632,1.6547508114841891
Marilyn Monroe's films were released during the early 1960s.,Marilyn Monroe,0.9965975696292578,0.0009087791978037,1.0,0.9965975696292578,-1.533886147906222,0.5614533580267644,0.0003525959821088817,-7.950187683105469,0.7135322788666866,-0.3375276029109955,4.636158657894344,0.16082665348455918,4.566955333634259,2.700605913736268,-32.211609106030664,-7.029149380224492,-1.569065100831243,0.5763036396357952,0.0003525959821088817,-7.950187683105469,0.779962407435803,-0.24850955605506897,4.802156562312725,0.16639380190158642,4.956449184659611,2.1974630889085427,-29.81223691579362,-6.839396210359846,4.636158657894344,4.802156562312725,0.21569581064643312,0.3702872732795388,0.20823977457294698,0.4550702148524778,7.776032738870314,21.0,8.646334082197077,19.0,1.6968694586822854,1.983605078757293
