concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Napoleon Bonaparte was a French military leader.,Napoleon,0.9980123186601578,0.0,1.0,0.9980123186601578,-1.4649779662616889,0.3718801818243616,0.020392737303185,-3.8925764560699463,0.26161162501400126,-1.3408942222595215,4.327447889395958,0.10421406993716457,1.2397769232427587,2.589086979447273,-16.11475762887858,-4.858782240227955,-1.5479983589870647,0.37628789467584284,0.020392737303185,-3.8925764560699463,0.26161162501400126,-1.3408942222595215,4.702048942757636,0.1247753546933371,1.4559771705389608,1.886352882291054,-13.931985230883583,-4.643995076961194,4.327447889395958,4.702048942757636,0.23108308304541683,0.3862365412742848,0.21267324355274037,0.5301235041374965,4.248601954017133,11.0,4.771111537237468,9.0,1.2810016877314194,1.5903705124124894
Napoleon Bonaparte was a political leader.,Napoleon,0.9863203781767016,0.0,1.0,0.9863203781767016,-1.8093329222640022,0.41016052635130346,0.0017441796521171238,-6.351470947265625,0.38377419903973364,-0.9578141570091248,6.106372648041594,0.12007308265173085,3.7635152938244802,1.984953261106407,-18.093329222640023,-5.721613079882625,-1.9888198489497881,0.4246892178701799,0.0017441796521171238,-6.351470947265625,0.38377419903973364,-0.9578141570091248,7.306905419832266,0.14623408216831454,4.519244104227946,1.2822190525265098,-15.910558791598305,-5.625232007003201,6.106372648041594,7.306905419832266,0.16376334325431566,0.5037901997967463,0.1368568419246017,0.7798979417983067,5.037901997967464,10.0,6.239183534386454,8.0,1.5931244942290155,2.2058844931160566
Napoleon Bonaparte rose to prominence during the French Revolution.,Napoleon,0.9979479653078964,0.0,1.0,0.9979479653078964,-1.2439222104071328,0.5879976639761042,0.0010913262118325373,-6.820361614227295,0.7541937266296629,-0.2821060121059418,3.4691937227622387,0.14722857329891498,3.4225427539253204,2.2067701082657667,-18.658833156106994,-4.817690004884344,-1.526680709735956,0.5100670054848517,0.0010913262118325373,-6.820361614227295,0.40781640130873886,-0.8979423940181732,4.602873165626095,0.15090365761968086,3.874711505832335,1.9404724001031524,-18.320168516831473,-5.288577112395979,3.4691937227622387,4.602873165626095,0.288251415145471,0.4531509631448966,0.217255606230457,0.5153384299342993,6.79726444717345,15.0,6.184061159211591,12.0,1.7550461335780356,1.7851846874779607
Napoleon Bonaparte rose to prominence during wars associated with the French Revolution.,Napoleon,0.99792113933023,0.0,1.0,0.99792113933023,-1.896885564434342,0.5644280724634532,4.755150091010065e-05,-9.953697204589844,0.6938033107600212,-0.36936958134174347,6.665104046818586,0.17283351923090345,8.066693550159,2.032262790340837,-34.14394015981816,-8.04780387447837,-2.4144522831941555,0.46170047074667947,4.755150091010065e-05,-9.953697204589844,0.3837756583957138,-0.9578104019165039,11.183643210398243,0.1718946288298569,9.162248406796548,1.7623937438944377,-33.80233196471818,-9.034053220426621,6.665104046818586,11.183643210398245,0.15003516718952406,0.49206234781885033,0.08941630032244122,0.5674100940634621,8.857122260739306,18.0,7.943741316888469,14.0,2.0876437374556955,2.12305416978265
"He was born on August 15, 1769.",Napoleon,0.9977409647694088,0.0,1.0,0.9977409647694088,-1.0916361218114616,0.6219614680988254,0.0023719461638434633,-6.044044494628906,0.817890231451066,-0.20229681581258774,2.979144330327498,0.13458264345586846,2.9304248609432593,2.3758529702218665,-17.466177948983386,-4.3665444872458465,-1.072250749998992,0.6670011452487522,0.0023719461638434633,-6.044044494628906,0.8650365464845838,-0.14500723779201508,2.9219486804018278,0.13641399024040507,3.3328830656079793,1.6779070588828928,-15.011510499985889,-4.011994939207628,2.979144330327498,2.921948680401828,0.33566685233073945,0.4209014667715806,0.34223735916623954,0.5959805668055144,6.734423468345289,16.0,8.343727935277201,14.0,1.6836058670863223,2.2299550901615732
He was born on the island of Corsica.,Napoleon,0.9949501754519484,0.0,1.0,0.9949501754519484,-1.28287739327061,0.47555813869113067,0.002371954081081154,-6.044041156768799,0.35522264926929126,-1.0397017002105713,3.6070035757983656,0.10995471350417414,2.43322417121321,2.7464544223458462,-15.394528719247319,-4.444017650052432,-1.461018789865193,0.4799379897513357,0.002371954081081154,-6.044041156768799,0.35522264926929126,-1.0397017002105713,4.31034863167998,0.12326406255172519,3.4026172118733333,1.64246103674574,-11.688150318921544,-4.132385175018565,3.6070035757983656,4.31034863167998,0.27723842768264023,0.3641058056029431,0.23199979524863748,0.6088424490003925,4.369269667235317,12.0,4.87073959200314,8.0,1.2612995092701884,1.7220664974496092
"He died on May 5, 1821.",Napoleon,0.9955632588451856,0.0,1.0,0.9955632588451856,-1.3082990587156798,0.6244885586690784,0.002371961998345271,-6.044037818908691,0.8109176806390079,-0.21460410580039024,3.699875086650961,0.15552387203240636,3.9949130713818257,1.6129390059385955,-18.316186822019517,-4.895206837152918,-1.2925710981138623,0.6555799442556333,0.002371961998345271,-6.044037818908691,0.8919307692700953,-0.11436676234006882,3.642138824062109,0.15395380719644422,4.298750914447041,1.2796765909012795,-16.80342427548021,-4.660431371432326,3.699875086650961,3.642138824062109,0.27027939500119075,0.6199862464223088,0.27456394396430267,0.7814474431353764,8.679807449912323,14.0,10.158816760759894,13.0,2.3197761186242807,2.8175488253048298
He died on the island of Saint Helena.,Napoleon,0.9972542955605316,0.0,1.0,0.9972542955605316,-1.4759646834466944,0.46130778086413105,0.0023719133641402685,-6.044058322906494,0.3895491493423043,-0.9427652359008789,4.375254473312861,0.1219404644638033,2.9870781326334477,2.2764543785685003,-16.23561151791364,-4.895221058808367,-1.6532961368793622,0.46024422679077875,0.0023719133641402685,-6.044058322906494,0.4219371337761093,-0.8658537268638611,5.224171062185626,0.12662634120826638,3.82842204925591,1.5347694974372832,-13.226369095034897,-4.676227638787678,4.375254473312861,5.224171062185626,0.22855813441242395,0.43927961368978924,0.19141792795384308,0.6515636397972289,4.8320757505876815,11.0,5.212509118377831,8.0,1.4569256566612983,1.8429002723008385
Napoleon began his military career in 1785.,Napoleon,0.9938063283536196,0.0001389754860137,1.0,0.9938063283536196,-1.3628473625733302,0.4910280602867062,0.0007054765003743137,-7.256637096405029,0.49427836819062293,-0.7046564221382141,3.9073029859246473,0.1013769364760895,3.4735450849385408,2.9063178269683863,-17.717015713453293,-4.913816046389005,-1.3288191234072049,0.5177694774704882,0.0007054765003743137,-7.256637096405029,0.5138572151804305,-0.6665362417697906,3.776581077173552,0.10052867040680175,3.747954201560375,2.604984046247464,-15.94582948088646,-4.603164471620834,3.9073029859246473,3.776581077173552,0.2559310101116599,0.34407799130596517,0.2647897607823673,0.38387951029509054,4.473013886977547,13.0,4.606554123541087,12.0,1.24059084041231,1.3297976316315134
Napoleon joined the army as a second lieutenant.,Napoleon,0.9970648868916352,0.0,1.0,0.9970648868916352,-2.2255101233720778,0.3685945471853634,5.507576130647517e-05,-9.806800842285156,0.32668423503486854,-1.131252408027649,9.258204425960777,0.1003610639150199,7.67700029884908,2.1397641233391584,-22.25510123372078,-7.037680945618096,-2.667137478079115,0.3128437932960889,5.507576130647517e-05,-9.806800842285156,0.2753699450619648,-1.2896398305892944,14.398693568825271,0.09047257241979723,9.670691849163916,1.5124449413348042,-18.669962346553802,-7.056582479417323,9.258204425960775,14.398693568825273,0.10801230497740108,0.4673412312565899,0.06945074532074967,0.661181093387408,4.673412312565899,10.0,4.628267653711856,7.0,1.4778627352782987,1.7493207446808543
