concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
The Beatles were an English rock band.,The Beatles,0.9986030006133944,0.0,1.0,0.9986030006133944,-1.0778194165613968,0.4799791508340081,0.03858306071898147,-3.254941940307617,0.37609603266465985,-0.9829998016357422,2.9382654274119497,0.11081694116996277,0.913585577113191,2.310844571273569,-10.778194165613968,-3.4083642626878214,-0.8649604287015141,0.5928677681148644,0.03858306071898147,-3.254941940307617,0.5057367648324373,-0.6817389726638794,2.3749121057618496,0.11433677193478661,1.1123976634484551,1.343100918932725,-6.054723000910599,-2.288470188256021,2.9382654274119497,2.3749121057618496,0.34033684999003266,0.4327422157384098,0.42106821451365223,0.7445456896825259,4.327422157384098,10.0,5.21181982777768,7.0,1.3684510414413387,1.9698827346250327
The Beatles formed in Liverpool.,The Beatles,0.9956247046158524,0.0,1.0,0.9956247046158524,-1.4402866660166183,0.4587833527369397,0.010718242460131751,-4.535808086395264,0.3388851810538206,-1.107245683670044,4.221905920493255,0.14373828704850333,2.1104392122954385,1.4520584413938424,-11.522293328132946,-4.073745873571659,-1.6689808441345424,0.42796189973889337,0.010718242460131751,-4.535808086395264,0.27072862365514067,-1.4707850813865662,5.306756628093105,0.16031381779982815,2.493250462103828,0.952966858296167,-10.013885064807255,-4.088151458609172,4.221905920493255,5.306756628093105,0.23685984927943812,0.6886775156515684,0.18843901653717507,1.049354435880304,5.509420125212547,8.0,6.296126615281825,6.0,1.947874165471715,2.5703829272328327
The Beatles formed in 1960.,The Beatles,0.9979880936023556,0.0,1.0,0.9979880936023556,-0.862750334883458,0.6015302310023052,0.01071815557592722,-4.535816192626953,0.551573140098507,-0.6048263907432556,2.3696691230744102,0.10250729598008478,1.4380536640742798,2.4109425492958545,-10.353004018601496,-2.9886548285304255,-0.8844602043565828,0.6115864541728812,0.01071815557592722,-4.535816192626953,0.551573140098507,-0.6048263907432556,2.4216768280072425,0.10587952800604856,1.655958124170794,1.9118519697683969,-8.844602043565828,-2.796908745544781,2.3696691230744102,2.4216768280072425,0.4219998438864745,0.4147755409153413,0.4129370147307737,0.5230530479413323,4.977306490984096,12.0,5.230530479413323,10.0,1.4368246212044695,1.6540389685878558
The Beatles' lineup consisted of John Lennon.,The Beatles,0.9974052382290078,0.001323337532212,1.0,0.9974052382290078,-1.7312134611711372,0.5347264775395001,0.0004285209960643423,-7.755170822143555,0.5182498184776825,-0.6779733002185822,5.64750277750396,0.15339876864883734,5.901153320900206,2.064826231960154,-24.23698845639592,-6.4776076350734675,-2.0811323956851,0.4758495142632652,0.0004285209960643423,-7.755170822143555,0.4139443181848853,-0.882023811340332,8.013538274439414,0.14674024419209897,6.832519374369597,1.7013525094977893,-22.8924563525361,-6.902335295540926,5.64750277750396,8.013538274439414,0.17706941269393625,0.4843022548443183,0.12478882183537769,0.5877676697906556,6.780231567820457,14.0,6.465444367697213,11.0,1.8120931092695196,1.9494048245971154
John Lennon played rhythm guitar.,The Beatles,0.9928782324377472,0.0,1.0,0.9928782324377472,-1.5779538963591524,0.4853002993347338,0.018089536388252527,-4.012421607971191,0.4139454037984867,-0.8820211887359619,4.845032224281731,0.17470930731262438,2.6301528593664245,1.187604855345017,-14.201585067232372,-4.733861689077457,-1.7751110962308303,0.42104984362994546,0.018089536388252527,-4.012421607971191,0.29243504065554543,-1.3242767453193665,5.900936671727183,0.1593948812022457,2.6090833136360616,1.1869090426205826,-14.200888769846642,-5.020772374017224,4.845032224281731,5.900936671727183,0.206396976058967,0.8420309124700278,0.16946462157291778,0.8425245440814022,7.57827821223025,9.0,6.740196352651218,8.0,2.5260927374100834,2.3830192737442553
John Lennon provided vocals.,The Beatles,0.9951690107478882,0.0,1.0,0.9951690107478882,-2.7872263407080027,0.4031161383108229,7.773618758105739e-05,-9.462189674377441,0.22522870503516967,-2.0960824489593506,16.235924368526376,0.1770738743470387,9.34428381561532,0.8536448817409468,-22.29781072566402,-7.88346658486558,-3.1853020611826133,0.31794645164479185,7.773618758105739e-05,-9.462189674377441,0.036510821962858486,-3.3101465702056885,24.174589508195815,0.1443391378965821,9.411467269709323,0.8529490690165126,-22.29711442827829,-8.42751710451064,16.235924368526376,24.17458950819581,0.06159181191669737,1.1714473095188864,0.04136574892661462,1.1724029444724566,9.371578476151091,8.0,8.206820611307197,7.0,3.313353345454164,3.1018866274339887
Paul McCartney was in the lineup.,The Beatles,0.9990606330816008,0.0,1.0,0.9990606330816008,-2.167939413947434,0.40167600328643477,5.887504559437905e-05,-9.740093231201172,0.22942200190316053,-1.4721921682357788,8.740255423939386,0.13365931263746347,7.366705542368011,1.9996988279404155,-23.847333553421777,-7.1902416042866175,-2.223976984991168,0.4905638967687507,5.887504559437905e-05,-9.740093231201172,0.5133833297344943,-0.6858524233102798,9.244021192624881,0.15220676934777017,9.914991825939499,1.1864439988331583,-17.791815879929345,-6.29035682916027,8.740255423939386,9.24402119262488,0.11441313228226944,0.50007530435468,0.10817802979485008,0.8428547836926799,5.5008283479014795,11.0,6.742838269541439,8.0,1.6585621514672533,2.383953332418459
Paul McCartney played bass guitar.,The Beatles,0.997407850237266,0.0,1.0,0.997407850237266,-1.7102399537947752,0.41608010331430617,0.013617460432099309,-4.296402454376221,0.3407827601385415,-1.0765100717544556,5.530288332097243,0.1481342540539706,2.499266903063928,1.507015784990004,-15.392159584152978,-5.130719861384326,-1.7102399537947752,0.41608010331430617,0.013617460432099309,-4.296402454376221,0.3407827601385415,-1.0765100717544556,5.530288332097243,0.1481342540539706,2.499266903063928,1.507015784990004,-15.392159584152978,-5.130719861384326,5.530288332097243,5.530288332097243,0.18082239839035147,0.6635630561803525,0.18082239839035147,0.6635630561803525,5.972067505623173,9.0,5.972067505623173,9.0,1.9906891685410575,1.9906891685410575
Paul McCartney provided vocals.,The Beatles,0.9949986774703056,0.0,1.0,0.9949986774703056,-2.958081577286066,0.4039673281328007,0.0001280217685510602,-8.963310241699219,0.22604852529081726,-2.074115514755249,19.26098557706005,0.1810878133962075,9.52094829084124,0.7713804286864729,-23.664652618288528,-8.366718170407902,-2.958081577286066,0.4039673281328007,0.0001280217685510602,-8.963310241699219,0.22604852529081726,-2.074115514755249,19.26098557706005,0.1810878133962075,9.52094829084124,0.7713804286864729,-23.664652618288528,-8.366718170407902,19.26098557706005,19.26098557706005,0.051918423177213006,1.2963771996430173,0.051918423177213006,1.2963771996430173,10.371017597144139,8.0,10.371017597144139,8.0,3.666708435372817,3.666708435372817
George Harrison was in the lineup.,The Beatles,0.9978978719724064,0.0,1.0,0.9978978719724064,-2.8582489689191184,0.277835290985988,2.3560272361414676e-05,-10.655948638916016,0.21107736623385154,-1.5555305480957031,17.43097801405633,0.059906078508531656,10.017864609716948,2.048862344376569,-25.724240720272064,-8.574746906757355,-3.2288844684759774,0.32470735393257777,2.3560272361414676e-05,-10.655948638916016,0.31251185380500623,-1.2187747359275818,25.251472439984465,0.07567252778899188,14.033488904301207,1.2655681854744336,-19.373306810855865,-7.909119386163821,17.43097801405633,25.251472439984465,0.05736912749207765,0.4880757376134421,0.0396016510473484,0.7901589274110284,4.392681638520979,9.0,4.740953564466171,6.0,1.4642272128403262,1.9354861878618719
George Harrison played lead guitar.,The Beatles,0.992230307326158,0.0,1.0,0.992230307326158,-2.1042559881295477,0.3283834170649116,0.004313778954753078,-5.445940971374512,0.10961055234634427,-2.2108216285705566,8.200999098507369,0.12230526586747041,3.031272502171327,1.2345431559286255,-14.729791916906834,-5.567338039409266,-2.1042559881295477,0.3283834170649116,0.004313778954753078,-5.445940971374512,0.10961055234634427,-2.2108216285705566,8.200999098507369,0.12230526586747041,3.031272502171327,1.2345431559286255,-14.729791916906834,-5.567338039409266,8.200999098507369,8.200999098507369,0.12193636262952474,0.8100162357206527,0.12193636262952474,0.8100162357206527,5.670113650044568,7.0,5.670113650044568,7.0,2.1431015176415213,2.1431015176415213
George Harrison provided vocals.,The Beatles,0.98644169515301,0.0,1.0,0.98644169515301,-4.323061058918635,0.18572138335150068,0.00011650224423057485,-9.057600021362305,0.007457963465842843,-4.996319532394409,75.41913773473806,0.07155084618484521,8.796752219206802,0.7193630665952582,-25.93836635351181,-10.589293721246582,-4.323061058918635,0.18572138335150068,0.00011650224423057485,-9.057600021362305,0.007457963465842843,-4.996319532394409,75.41913773473806,0.07155084618484521,8.796752219206802,0.7193630665952582,-25.93836635351181,-10.589293721246582,75.41913773473806,75.41913773473806,0.013259234062277006,1.390118629154809,0.013259234062277006,1.390118629154809,8.340711774928856,6.0,8.340711774928856,6.0,3.4050813233665176,3.4050813233665176
Ringo Starr was in the lineup.,The Beatles,0.9978061192819028,0.0,1.0,0.9978061192819028,-2.519523439637851,0.4124728815693217,9.72451422418343e-05,-9.238275527954102,0.41394246771371823,-0.8820282816886902,12.422675098154295,0.14136857244136028,8.48618531601544,1.6916568280118844,-27.71475783601636,-8.356313899784404,-2.6005174040983547,0.4815492718645098,9.72451422418343e-05,-9.238275527954102,0.5451638206324537,-0.63651043176651,13.470706030719496,0.16480374371992765,10.607325023749873,0.9509010778882608,-20.804139232786838,-7.355373964126335,12.422675098154295,13.470706030719496,0.08049795974689666,0.5911364429482117,0.07423515870063034,1.0516341008054981,6.5025008724303275,11.0,8.413072806443985,8.0,1.9605777811645493,2.97447041602634
Ringo Starr played drums.,The Beatles,0.9945074778606892,0.0,1.0,0.9945074778606892,-2.1412494562755455,0.41798592367520565,0.002121719263989542,-6.155528545379639,0.2794446443281051,-1.4067170023918152,8.510063941744354,0.16751384402044456,4.651783348278107,1.047153551783964,-17.129995650204364,-6.056368042977784,-2.1412494562755455,0.41798592367520565,0.002121719263989542,-6.155528545379639,0.2794446443281051,-1.4067170023918152,8.510063941744354,0.16751384402044456,4.651783348278107,1.047153551783964,-17.129995650204364,-6.056368042977784,8.510063941744354,8.510063941744354,0.11750793023947885,0.9549697828903585,0.11750793023947885,0.9549697828903585,7.639758263122868,8.0,7.639758263122868,8.0,2.7010624372400702,2.7010624372400702
Ringo Starr provided vocals.,The Beatles,0.992206131433135,0.0,1.0,0.992206131433135,-2.98644201533898,0.4025392394452477,0.0003673137654574476,-7.909294128417969,0.23839381028253698,-1.8245816826820374,19.815055258099818,0.1779043079924893,9.016647978564867,0.7959648594299051,-23.89153612271184,-8.446933602666448,-2.98644201533898,0.4025392394452477,0.0003673137654574476,-7.909294128417969,0.23839381028253698,-1.8245816826820374,19.815055258099818,0.1779043079924893,9.016647978564867,0.7959648594299051,-23.89153612271184,-8.446933602666448,19.81505525809981,19.81505525809981,0.050466677330674066,1.2563368698415043,0.050466677330674066,1.2563368698415043,10.050694958732034,8.0,10.050694958732034,8.0,3.5534572804784346,3.5534572804784346
They are regarded as the most influential band of all time.,The Beatles,0.9912274929658128,0.0,1.0,0.9912274929658128,-1.5828585776572044,0.5058564737628909,0.0012807477113895855,-6.660311222076416,0.6562056751982247,-0.42128100991249084,4.868853934414344,0.10292107324104771,4.770761183308547,2.6370369822555912,-20.577161509543657,-5.70707776355105,-1.7720265028377373,0.5214555518431386,0.0012807477113895855,-6.660311222076416,0.6641850560583906,-0.4091944694519043,5.882762725483762,0.10332114812209346,6.280318632179033,1.720058004409616,-15.948238525539637,-5.316079508513212,4.868853934414344,5.882762725483762,0.20538714314917855,0.3792134910237965,0.1699881580584684,0.5813757428158564,4.929775383309354,13.0,5.232381685342707,9.0,1.3672736862340014,1.7441272284475688
They were integral to the development of 1960s counterculture.,The Beatles,0.9926947040454565,0.0,1.0,0.9926947040454565,-1.6525026770557614,0.5928860381494535,4.960242064882039e-06,-12.214056015014648,0.7196244882974983,-0.3315439671278,5.220027536414166,0.14887325070161175,9.042272876063398,2.498957179224826,-29.745048187003704,-7.010975093250314,-1.9781173653422488,0.566939557443658,4.960242064882039e-06,-12.214056015014648,0.6781899017470188,-0.3977048248052597,7.229120373424023,0.16526785606367866,11.055027058232456,1.73997806595592,-27.693643114791485,-7.401437451938633,5.220027536414166,7.229120373424023,0.19156987066143671,0.40016692095148226,0.13832941607615767,0.574719888466303,7.203004577126681,18.0,8.046078438528243,14.0,1.697764460468005,2.1504049160058383
They were integral to popular music's recognition as an art form.,The Beatles,0.999527020789949,0.0,1.0,0.999527020789949,-2.774164575454779,0.41109841978066164,4.960232603980141e-06,-12.214057922363281,0.4139433806117935,-0.8820260763168335,16.025233528386483,0.12695175713698384,12.793711956237628,2.563081829642671,-41.612468631821685,-10.744293200374928,-3.494229341253892,0.38390679450116516,4.960232603980141e-06,-12.214057922363281,0.23355541003138566,-1.4543359279632568,32.92490430772728,0.16095608188850863,15.441243485798388,1.2795721640888,-38.436522753792815,-11.589047656389878,16.025233528386483,32.92490430772728,0.06240158673685712,0.3901553155403602,0.030372145979640885,0.7815112176280523,5.852329733105402,15.0,8.596623393908574,11.0,1.5110650395221148,2.591979478326032
The Beatles' sound evolved over the years.,The Beatles,0.9966066948173612,0.0,1.0,0.9966066948173612,-1.8795307291174224,0.35541865827112207,0.0021320913387890836,-6.150651931762695,0.2638239751971576,-1.3324731588363647,6.550430214658196,0.10658651337491057,3.2732945441802843,2.3708265373088904,-20.674838020291645,-6.233698210425603,-2.004688655213815,0.3748105524550745,0.0021320913387890836,-6.150651931762695,0.2378355469825427,-1.43617582321167,7.423782181030342,0.12819998600234722,3.9144805634314173,1.6650104943585826,-18.042197896924336,-6.0140659656414455,6.550430214658196,7.423782181030342,0.15266172865444083,0.4217938277066417,0.13470222800384085,0.6005968150880834,4.639732104773058,11.0,5.405371335792751,9.0,1.398931865390742,1.8017904452642501
The Beatles' style evolved over the years.,The Beatles,0.9884371673732124,0.0,1.0,0.9884371673732124,-1.8600552006550557,0.37250072419380253,0.0020459118480760717,-6.191911697387695,0.2794330068477965,-1.2749927043914795,6.424091375693926,0.111852119991795,3.4236364155948196,2.3036785899252017,-20.460607207205612,-6.169105189922045,-1.98368204041617,0.3949168633713798,0.0020459118480760717,-6.191911697387695,0.28735577635141335,-1.2470341920852661,7.2694602143303895,0.13393095150762235,4.10020115791117,1.5958654406304,-17.85313836374553,-5.95104612124851,6.424091375693926,7.269460214330389,0.15566403737399837,0.43408833349120507,0.13756179558266043,0.626619246548117,4.774971668403255,11.0,5.6395732189330525,9.0,1.439708128060993,1.879857739644351
The Beatles had early Merseybeat beginnings.,The Beatles,0.998432445898387,0.0,1.0,0.998432445898387,-2.4926393382726624,0.4569921730277815,0.00010553515011750939,-9.156466484069824,0.3616386881875634,-1.0276809632778168,12.093151955177646,0.15557096800547524,10.442007816074739,1.750347339226387,-29.91167205927195,-8.634755957666234,-2.5680292669509073,0.5164997072885191,0.00010553515011750939,-9.156466484069824,0.5141112282894741,-0.6846649646759033,13.040100544686922,0.16325960037340512,12.373619512547306,1.2391273875289317,-25.680292669509072,-8.120821581537433,12.093151955177646,13.040100544686922,0.08269142765313993,0.5713151770447897,0.07668652527433475,0.8070195284717259,6.855782124537478,12.0,8.070195284717258,10.0,1.9790938275535683,2.552019826205758
