concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Vincent van Gogh was a Dutch painter.,Vincent van Gogh,0.9991075196976636,0.0,1.0,0.9991075196976636,-0.9452897242636854,0.5546887114657083,0.026911817119207457,-3.615189790725708,0.44891764027895265,-0.8009158372879028,2.5735588930416355,0.12538609940583628,1.082437707716664,2.192975335470799,-10.39818696690054,-3.1351713335611593,-0.8854671766498036,0.6062610470246184,0.026911817119207457,-3.615189790725708,0.4677305485752509,-0.7598628997802734,2.4241166176703155,0.13507622600846395,1.2652864612255965,1.5138263598455943,-7.969204589848232,-2.656401529949411,2.5735588930416355,2.4241166176703155,0.3885669773105992,0.45600148064835166,0.4125214078855021,0.6605777429466857,5.016016287131868,11.0,5.945199686520171,9.0,1.5123858151570913,1.9817332288400569
Vincent van Gogh is widely regarded as one of the greatest artists of all time.,Vincent van Gogh,0.9935241853532532,0.0,1.0,0.9935241853532532,-0.9385388545928627,0.639465802116983,0.002063957001302242,-6.183130264282227,0.7204368256314572,-0.3278975486755371,2.5562436446179637,0.1221553299038265,2.3121886439193258,2.987273872934104,-17.83223823726439,-4.090996021756703,-0.9947935365328574,0.6167874165745494,0.002063957001302242,-6.183130264282227,0.6887051333094453,-0.37400461733341217,2.7041659721576825,0.11856045592362822,2.5571140876183094,2.4263783739454023,-13.927109511460003,-3.7221765842831385,2.556243644617964,2.7041659721576825,0.3911990166138691,0.33475337131302224,0.3697997868089766,0.41213687475047606,6.360314054947422,19.0,5.769916246506664,14.0,1.4591561165630116,1.5420749817720454
"Vincent van Gogh was born on March 30, 1853.",Vincent van Gogh,0.9984858090456716,0.0,1.0,0.9984858090456716,-0.5522750140375138,0.7354041759279686,0.07397521861067516,-2.60402512550354,0.9707718033300716,-0.029665705747902393,1.7372006816061607,0.12233334466207361,0.7379620680175303,2.3128872357922963,-11.045500280750275,-2.4698489473250627,-0.3852126136031681,0.8015740261688847,0.07397521861067516,-2.60402512550354,0.9785444402527211,-0.021707269363105297,1.4699268146562705,0.09178757895522217,0.5205270168157754,1.786047062918286,-6.933827044857026,-1.6343187076643608,1.7372006816061607,1.4699268146562705,0.5756387333876888,0.43236003231149434,0.6803059785216866,0.5598956605130351,8.647200646229885,20.0,10.078121889234632,18.0,1.9335728460050137,2.375436109834129
"He was born in Zundert, Netherlands.",Vincent van Gogh,0.99920093487271,0.0,1.0,0.99920093487271,-1.7009204726094718,0.4680459857527366,0.00138986796710159,-6.578546524047852,0.43213071029899486,-0.8390271663665771,5.478988330033872,0.11232556026122896,4.803997980273972,2.2700065777270977,-18.71012519870419,-5.641315005879598,-1.8919446623703051,0.4581761451591201,0.00138986796710159,-6.578546524047852,0.43213071029899486,-0.8390271663665771,6.63225364262164,0.11969995064064243,5.589542687042876,1.74284966693843,-17.027501961332746,-5.675833987110916,5.478988330033872,6.63225364262164,0.18251544624002106,0.44052735785518105,0.1507783106444514,0.5737729529803026,4.845800936406992,11.0,5.163956576822724,9.0,1.461063955892258,1.7213188589409079
"Vincent van Gogh died on July 29, 1890.",Vincent van Gogh,0.9835791150889313,0.0,1.0,0.9835791150889313,-0.6216779404237872,0.7493288228339618,0.017650559762355883,-4.036987781524658,0.9689014196901808,-0.03159240633249283,1.8620498307080848,0.11510615018759146,1.3389756008209404,1.9947440071345308,-11.811880868051958,-2.709831317735788,-0.461852857435992,0.7892781005842152,0.017650559762355883,-4.036987781524658,0.9720449858669129,-0.02835842315107584,1.5870117690637986,0.09117798524655336,0.9280260483108249,1.8889420980726248,-8.313351433847856,-1.9594757244202425,1.8620498307080848,1.5870117690637986,0.5370425557406959,0.501317460497856,0.6301150498650143,0.5293968518253399,9.525031749459263,19.0,9.529143332856117,18.0,2.1851921489425976,2.2460406231870462
"He died in Auvers-sur-Oise, France.",Vincent van Gogh,0.9924676737303392,0.0001387882732683,1.0,0.9924676737303392,-1.7831726132925334,0.5658628577271644,2.631779589107979e-05,-10.545265197753906,0.6258826497946244,-0.5081754177808762,5.948699434884241,0.15944262552029523,8.460116667265984,1.890390101738073,-24.964416586095467,-6.672020980419,-1.7886411565033575,0.5955069465748777,2.631779589107979e-05,-10.545265197753906,0.7985553953917022,-0.22495093941688538,5.981319264976105,0.15940463481745462,9.11047620293241,1.5813770114885304,-23.25233503454365,-6.449037403178066,5.948699434884241,5.981319264976105,0.16810397145564634,0.5289913436811663,0.16718719661990739,0.6323602738215554,7.405878811536328,14.0,8.22068355968022,13.0,1.9793043686241087,2.2800073918300665
Van Gogh's work had a significant impact on the development of modern art.,Vincent van Gogh,0.9962862899416132,0.0,1.0,0.9962862899416132,-1.2112011120525974,0.5296925833062271,0.016604309102184474,-4.098093032836914,0.4363452185591649,-0.829321563243866,3.357514983338308,0.14264254000789453,1.8920050299396585,3.25779461324812,-23.01282112899935,-5.279503247741355,-1.24238769859325,0.5093776903117022,0.021803104618050708,-3.8257029056549072,0.4314787178132243,-0.8406006991863251,3.4638742864227834,0.14582771382532325,1.7351115807994784,2.4415211553527603,-17.3934277803055,-4.648589109678511,3.357514983338308,3.4638742864227834,0.2978393260975773,0.3069561217682074,0.28869407989766316,0.4095807229880489,5.83216631359594,19.0,5.734130121832685,14.0,1.3379907148887817,1.5325107376484446
Van Gogh's work is particularly influential in the area of post-impressionism.,Vincent van Gogh,0.9975424683873396,0.0,1.0,0.9975424683873396,-1.5670228035083884,0.5229823806705971,0.002438168582572083,-6.016508102416992,0.6229376030302403,-0.4733089208602905,4.79235913885284,0.16353696663821757,3.541798510014595,2.806536653145876,-32.907478873676155,-7.181000612799101,-1.7795961249982664,0.5095253177317192,0.002438168582572083,-6.016508102416992,0.6237143447009864,-0.4720627963542938,5.927461981379022,0.18350995495213915,4.0790285205523045,1.8004347062804105,-30.25313412497053,-7.337462794307742,4.79235913885284,5.927461981379022,0.20866549668466056,0.35631104225169824,0.16870626975617486,0.5554214193448535,7.482531887285663,21.0,9.44216412886251,17.0,1.6328223220670157,2.290061178689311
Van Gogh's work is particularly influential in the area of expressionism.,Vincent van Gogh,0.9972278599959749,0.0,1.0,0.9972278599959749,-1.8669833261228632,0.46562639039123266,0.0024381650947464433,-6.016509532928467,0.43905088251106084,-0.8235416114330292,6.4687528181582605,0.16614433290409497,4.130738585565394,2.418261176189179,-33.60569987021154,-7.920939421582154,-2.210811199250332,0.43289833295423236,0.0024381650947464433,-6.016509532928467,0.248818939345589,-1.748281866312027,9.123114055428003,0.18747667487216937,4.707449262736796,1.4121573631179367,-30.951356789504644,-8.27209805443756,6.4687528181582605,9.123114055428005,0.15458930463271484,0.41352026400053765,0.10961169551585595,0.7081363777986297,7.443364752009677,18.0,9.913909289180816,14.0,1.754417896996989,2.6496037088335855
Vincent van Gogh is known for his bold use of color.,Vincent van Gogh,0.9978992920818784,0.0,1.0,0.9978992920818784,-1.16416389648075,0.5850282372720325,0.0007519268064595736,-7.192871570587158,0.6623701502998297,-0.41193073987960815,3.2032435200662865,0.12310139725680876,3.3768397242592654,2.6647094099259823,-17.462458447211247,-4.508787383325879,-1.1499526503715363,0.5878190592132121,0.0007519268064595736,-7.192871570587158,0.5650508651980032,-0.5858957171440125,3.1580433739691354,0.11384183169991431,3.6819497463030317,2.281061718043455,-13.799431804458436,-3.983552833483981,3.2032435200662865,3.158043373969136,0.31218357072624514,0.37527544139523156,0.3166517623673947,0.43839234690139567,5.629131620928473,15.0,5.260708162816748,12.0,1.4534355347643693,1.5186356369651555
