concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
World War II was a major global conflict.,World War II,0.9881790232767974,0.0,1.0,0.9881790232767974,-1.8241562743671238,0.3574875905150952,0.019368337405380572,-3.94411563873291,0.280668699153222,-1.282975971698761,6.197563769131948,0.1260082868950223,2.115863221396139,1.8633894220016225,-18.24156274367124,-5.768488635087136,-1.9594513500342146,0.3766923133555635,0.019368337405380572,-3.94411563873291,0.20282620606747065,-2.110044479370117,7.0954330879181535,0.15518402044474086,2.547081758276737,1.1570661065455143,-15.675610800273716,-5.542165348057313,6.197563769131948,7.0954330879181535,0.1613537249879824,0.5366564756634801,0.14093572409311614,0.8642548548808123,5.366564756634801,10.0,6.914038839046499,8.0,1.6970567841753188,2.444481874238472
World War II took place from 1939 to 1945.,World War II,0.9867908507554344,0.0,1.0,0.9867908507554344,-0.7185705131016317,0.7297949241966163,0.010408826335098896,-4.565101146697998,0.9412981350448307,-0.06049536168575287,2.051498523333966,0.117845908054062,1.7029979803384696,2.069856948252816,-13.652839748931001,-3.1321762504181816,-0.64105995431087,0.765056152219795,0.010408826335098896,-4.565101146697998,0.9428747874885414,-0.05882178619503975,1.8984921281160734,0.10562254683520889,1.6968701863870783,1.6701904352386454,-10.898019223284791,-2.643157903977349,2.051498523333966,1.8984921281160727,0.4874485594924354,0.48312517483109574,0.5267338142678146,0.5987341197155849,9.179378321790818,19.0,10.178480035164943,17.0,2.1058938141691668,2.468644017248566
World War II was the most widespread war in history.,World War II,0.9819311206421508,0.0,1.0,0.9819311206421508,-1.5661871533375233,0.4803516939090245,0.0009789523806995987,-6.929027557373047,0.3526265879624031,-1.0430055856704712,4.788356075932666,0.13875987744879184,3.782803368262293,2.1545882131729392,-18.79424584005028,-5.425431447484517,-1.6803837750727932,0.49601131547779037,0.0009789523806995987,-6.929027557373047,0.3654337203906358,-1.006670355796814,5.367615532934332,0.14661772606851345,4.694523787466994,1.4686585155636374,-15.123453975655138,-5.0411513252183795,4.788356075932666,5.367615532934332,0.20883994091964478,0.4641258101599642,0.1863024640763208,0.680893474829459,5.56950972191957,12.0,6.12804127346513,9.0,1.6077789686022506,2.0426804244883767
World War II directly involved more than 100 million people.,World War II,0.9756905151378366,0.0,1.0,0.9756905151378366,-1.5164713943998018,0.5121336249899904,0.0006901338377393488,-7.278625011444092,0.6115082683692324,-0.4918268024921417,4.556120046782068,0.13040333170828813,3.9512989172419593,2.60043781149039,-22.74707091599703,-5.873268455510372,-1.5164713943998018,0.5121336249899904,0.0006901338377393488,-7.278625011444092,0.6115082683692324,-0.4918268024921417,4.556120046782068,0.13040333170828813,3.9512989172419593,2.60043781149039,-22.74707091599703,-5.873268455510372,4.556120046782068,4.556120046782068,0.21948499814140934,0.38455063050589533,0.21948499814140934,0.38455063050589533,5.76825945758843,15.0,5.76825945758843,15.0,1.4893581877228945,1.4893581877228945
World War II involved people from over 30 countries.,World War II,0.9848769593283124,0.0,1.0,0.9848769593283124,-1.8129891496008406,0.47198357981177747,0.0025212997713439634,-5.982980728149414,0.6003179377148873,-0.5102958679199219,6.128739799424454,0.1448138880746418,4.190456748769488,1.991555548234264,-23.568858944810927,-6.536825340745684,-1.9215469230742503,0.4612890499865183,0.0025212997713439634,-5.982980728149414,0.49609170163058236,-0.7369390279054642,6.831518132723161,0.15539486349447826,4.3864592054740585,1.6852157851801477,-23.058563076891005,-6.656433799784494,6.128739799424454,6.831518132723161,0.16316568050317773,0.5021200643319297,0.14638034776047396,0.5933958183836388,6.527560836315086,13.0,7.120749820603665,12.0,1.8104196383880493,2.0555834128787525
The major participants were heavily involved in World War II.,World War II,0.9912865302508928,0.0,1.0,0.9912865302508928,-2.6279900873002284,0.3175200711389826,0.00011518218384694499,-9.068995475769043,0.13236669520213631,-2.047080636024475,13.845912840319023,0.12185455651347833,6.8283615917393705,2.021409081119663,-31.535881047602743,-9.103624705982732,-2.9573554153968065,0.3118444392150047,0.00011518218384694499,-9.068995475769043,0.16154237370104327,-1.8229877948760986,19.247004060421066,0.12410166067199856,8.326472457130558,1.4066914280381309,-26.616198738571256,-8.87206624619042,13.845912840319023,19.247004060421062,0.07222347934243958,0.49470441650835845,0.05195613804936887,0.7108879602647961,5.936452998100302,12.0,6.397991642383165,9.0,1.7137063682423848,2.132663880794388
They committed their entire scientific capabilities to the war effort.,World War II,0.9957153478262348,0.0,1.0,0.9957153478262348,-3.761968216548363,0.2798030842932099,6.358635296235453e-05,-9.663111686706543,0.18092352102542322,-2.392129957675934,43.03304102455158,0.09680498003802486,11.335890441005539,1.8566958196298724,-45.14361859858036,-13.031840175042085,-4.370570777356624,0.2316162858346104,6.358635296235453e-05,-9.663111686706543,0.013399941536601387,-4.956925868988037,79.08876089285953,0.09548540211376279,11.353514053260291,1.2433393388514649,-43.705707773566246,-13.8209583314196,43.03304102455158,79.08876089285953,0.023237958001375535,0.5385911840957058,0.012644021586767385,0.8042856593950855,6.46309420914847,12.0,8.042856593950853,10.0,1.8657345907248901,2.5433745730988733
This commitment blurred the distinction between civilian resources and military resources.,World War II,0.9905500124430924,0.0007034631948346,1.0,0.9905500124430924,-3.5486828843796894,0.4220046637769901,1.2359553730317327e-06,-13.603666305541992,0.39805257774831904,-0.9245398938655853,34.76749450705044,0.13688557404835594,22.789454650967475,2.2537481491768347,-49.68156038131565,-13.277955527657522,-4.113513368414715,0.3492794575724793,1.2359553730317327e-06,-13.603666305541992,0.2984635632643496,-1.234937846660614,61.16122243877829,0.12097881927690418,24.352136197518856,2.003442672554572,-49.36216042097658,-14.24962830341616,34.76749450705044,61.16122243877829,0.028762498252418264,0.44370530059680485,0.016350229117820348,0.4991408108148704,6.211874208355267,14.0,5.989689729778445,12.0,1.6601932155287868,1.7290744889249607
World War II was marked by significant events.,World War II,0.9984627517783522,0.0,1.0,0.9984627517783522,-2.664694630447775,0.36545179815406115,0.0001749646525334335,-8.65092658996582,0.1824801851834287,-2.1673789024353027,14.363562681519012,0.16627937948281685,6.912683585136674,1.1855622026694657,-26.64694630447775,-8.426504301035633,-3.1789705260889605,0.3019974372003186,0.0001749646525334335,-8.65092658996582,0.03321132289893189,-3.428684115409851,24.022010784839356,0.1660073436149767,7.251474750916679,0.7381024036298179,-25.431764208711684,-8.991486464758681,14.363562681519012,24.02201078483936,0.06962061030211242,0.8434816813055904,0.0416284885123403,1.3548255568363277,8.434816813055903,10.0,10.838604454690621,8.0,2.6673232775539333,3.8320253542552307
World War II was marked by turning points.,World War II,0.9925395379388956,0.0,1.0,0.9925395379388956,-2.741359213553369,0.45171422124643723,1.9381038581733768e-05,-10.851215362548828,0.3450094246797046,-1.065938949584961,15.508049528671686,0.15443598789726037,13.603460851195987,1.4799436185301449,-27.41359213553369,-8.668938999516575,-3.2748007911723107,0.40982569674605085,1.9381038581733768e-05,-10.851215362548828,0.27335913682524304,-1.3571792840957642,26.4379582812682,0.16256215185856238,15.514545035404169,1.0324830213442242,-26.198406329378486,-9.262535385892047,15.508049528671686,26.4379582812682,0.06448264162112546,0.6757014169182899,0.037824403433926256,0.9685389292872502,6.7570141691828995,10.0,7.748311434298001,8.0,2.1367554956648283,2.7394417789686907
The invasion of Poland by Germany occurred in 1939.,World War II,0.9877711901224684,0.0,1.0,0.9877711901224684,-1.4004858076572417,0.4507830309717004,0.005572322680887295,-5.189943313598633,0.3654331540708502,-1.0066719055175781,4.057170492649721,0.10456897217177458,2.2717090194199927,3.343315371733002,-21.007287114858627,-5.424058209656341,-1.4723198996348814,0.4689253867099122,0.005572322680887295,-5.189943313598633,0.5486160417708917,-0.6003564596176147,4.359336642783114,0.10825216253216628,2.8601790305694985,2.3007453333790573,-16.195518895983696,-4.883132678462622,4.057170492649721,4.359336642783114,0.24647719434312068,0.2991042988210985,0.22939269938133844,0.4346417595602902,4.486564482316478,15.0,4.781059355163192,11.0,1.1584259681131615,1.4415436346813497
The Battle of Britain occurred in 1940.,World War II,0.9867879426870824,0.0,1.0,0.9867879426870824,-1.3674422818450973,0.46966201300313365,0.005946540598279677,-5.124945640563965,0.48474393099916196,-0.7241345047950745,3.925298038962095,0.11985837054827099,2.195012176563748,2.660442930677625,-17.776749663986266,-4.930383263429979,-1.4769217152148486,0.4529820069669438,0.005946540598279677,-5.124945640563965,0.43808464661256646,-0.8392865359783173,4.379443735146161,0.11523278911234688,2.5348104244419822,2.0629840070952232,-14.769217152148485,-4.67043654584148,3.925298038962095,4.379443735146161,0.25475772541960007,0.3758772603121752,0.22833950165285677,0.4847347320971461,4.886404384058278,13.0,4.847347320971461,10.0,1.3552447353364734,1.5328658144185094
